Experimental ID,Track type,Cell type class,Cell type
SRX019498,CTCF,Adipocyte,Adipose stromal cell
SRX019505,CTCF,Adipocyte,Adipose stromal cell
SRX019512,CTCF,Adipocyte,Adipose stromal cell
SRX019519,CTCF,Adipocyte,Adipose stromal cell
SRX019520,PPARG,Adipocyte,Adipose stromal cell
SRX019521,PPARG,Adipocyte,Adipose stromal cell
SRX13551226,CTCF,Adipocyte,Adipose stem cells
SRX13551227,CTCF,Adipocyte,Adipose stem cells
SRX13551244,CTCF,Adipocyte,Adipose stem cells
SRX13551245,CTCF,Adipocyte,Adipose stem cells
SRX13551262,CTCF,Adipocyte,Adipose stem cells
SRX13551263,CTCF,Adipocyte,Adipose stem cells
SRX13551280,CTCF,Adipocyte,Adipose stem cells
SRX13551281,CTCF,Adipocyte,Adipose stem cells
SRX4174970,PPARG,Adipocyte,Adipocytes
SRX4174971,PPARG,Adipocyte,Adipocytes
SRX4174972,PPARG,Adipocyte,Adipocytes
SRX4174973,PPARG,Adipocyte,Adipocytes
SRX4174974,PPARG,Adipocyte,Adipocytes
SRX469458,EBF1,Adipocyte,Adipose stromal cell
SRX469460,EBF1,Adipocyte,Adipose stromal cell
SRX4796925,PPARG,Adipocyte,Adipose Tissue
SRX4796926,PPARG,Adipocyte,Adipose Tissue
SRX4796927,PPARG,Adipocyte,Adipose Tissue
SRX4796928,PPARG,Adipocyte,Adipose Tissue
SRX4796929,PPARG,Adipocyte,Adipose Tissue
SRX9683838,NR3C1,Adipocyte,Adipocytes
SRX9683839,NR3C1,Adipocyte,Adipocytes
SRX9683840,NR3C1,Adipocyte,Adipocytes
SRX9683841,NR3C1,Adipocyte,Adipocytes
SRX9683842,NR3C1,Adipocyte,Adipocytes
SRX9683843,NR3C1,Adipocyte,Adipocytes
SRX9683844,NR3C1,Adipocyte,Adipocytes
SRX9683845,NR3C1,Adipocyte,Adipocytes
SRX9683846,NR3C1,Adipocyte,Adipocytes
SRX9683847,NR3C1,Adipocyte,Adipocytes
SRX9683848,NR3C1,Adipocyte,Adipocytes
SRX9683849,NR3C1,Adipocyte,Adipocytes
SRX9683850,NR3C1,Adipocyte,Adipocytes
SRX9683851,NR3C1,Adipocyte,Adipocytes
SRX9683852,NR3C1,Adipocyte,Adipocytes
SRX9683853,NR3C1,Adipocyte,Adipocytes
SRX9683854,NR3C1,Adipocyte,Adipocytes
SRX003794,CTCF,Blood,CD4+ T cells
SRX021983,ATRX,Blood,Erythroblasts
SRX029315,GABPA,Blood,CD34 Hematopoietic stem cells
SRX029433,GATA1,Blood,CD34+
SRX029434,GATA2,Blood,CD34+
SRX029435,RUNX1,Blood,CD34+
SRX029436,FLI1,Blood,CD34+
SRX029437,TAL1,Blood,CD34+
SRX029598,TAL1,Blood,CD34 Hematopoietic stem cells
SRX032595,HMGN1,Blood,CD4+ T cells
SRX032596,YY1,Blood,CD4+ T cells
SRX037935,CTCF,Blood,CD34+
SRX037936,CTCF,Blood,CD36+
SRX037937,CTCF,Blood,CD36+
SRX037938,TAL1,Blood,CD36+
SRX037939,TAL1,Blood,CD36+
SRX037940,GATA1,Blood,CD36+
SRX037941,GATA1,Blood,CD36+
SRX037946,SMARCA4,Blood,CD34+
SRX037947,SMARCA4,Blood,CD36+
SRX041286,STAT1,Blood,T cells
SRX041287,STAT1,Blood,T cells
SRX041288,STAT4,Blood,T cells
SRX041289,STAT4,Blood,T cells
SRX041290,STAT5A,Blood,T cells
SRX041291,STAT5A,Blood,T cells
SRX041292,STAT5B,Blood,T cells
SRX041293,STAT5B,Blood,T cells
SRX058249,TAL1,Blood,CD34+
SRX062339,RUNX1,Blood,CD34+
SRX092313,TBX21,Blood,Th1 Cells
SRX092314,GATA3,Blood,Th1 Cells
SRX092315,GATA3,Blood,Th2 Cells
SRX093183,SPI1,Blood,Monocytes
SRX093184,CEBPB,Blood,Monocytes
SRX093189,SPI1,Blood,Macrophages
SRX093190,CEBPB,Blood,Macrophages
SRX093191,EGR2,Blood,Macrophages
SRX093192,EGR2,Blood,Macrophages
SRX097067,GATA1,Blood,CD34+
SRX097068,GATA1,Blood,CD34+
SRX097069,GATA1,Blood,CD34+
SRX097070,GATA1,Blood,CD34+
SRX097071,SMAD1,Blood,CD34+
SRX097072,SMAD1,Blood,CD34 Hematopoietic stem cells
SRX097073,SMAD1,Blood,CD34 Hematopoietic stem cells
SRX097074,TCF7L2,Blood,CD34 Hematopoietic stem cells
SRX097075,TCF7L2,Blood,CD34 Hematopoietic stem cells
SRX100320,GATA2,Blood,CD34 Hematopoietic stem cells
SRX100321,SMAD1,Blood,CD34+
SRX1012536,FOXO1,Blood,B cells
SRX1012537,FOXO1,Blood,B cells
SRX1012538,BCL6,Blood,B cells
SRX1012539,BCL6,Blood,B cells
SRX10142206,CTCF,Blood,B cells
SRX10142207,CTCF,Blood,B cells
SRX10206211,RAD21,Blood,Monocytes
SRX10206213,ZBTB3,Blood,Monocytes
SRX10206214,CTCF,Blood,Monocytes
SRX1023790,SPI1,Blood,Macrophages
SRX1023791,SPI1,Blood,Macrophages
SRX1023792,SPI1,Blood,Macrophages
SRX1023793,SPI1,Blood,Macrophages
SRX1023794,SPI1,Blood,Macrophages
SRX1023795,SPI1,Blood,Macrophages
SRX1023796,SPI1,Blood,Macrophages
SRX1023797,SPI1,Blood,Macrophages
SRX103444,BRD4,Blood,CD4+ T cells
SRX103445,BRD4,Blood,CD4+ T cells
SRX1036365,RUNX1,Blood,Peripheral blood stem cells
SRX1042046,BPTF,Blood,Erythroid Cells
SRX1042048,SETD1A,Blood,Erythroid Cells
SRX1042049,USF1,Blood,Erythroid Cells
SRX1042050,USF2,Blood,Erythroid Cells
SRX10852977,MED1,Blood,T cells
SRX10852978,MED1,Blood,T cells
SRX10852979,MED1,Blood,T cells
SRX10852980,MED1,Blood,T cells
SRX10852981,MED1,Blood,T cells
SRX10852982,MED1,Blood,T cells
SRX10852983,MED1,Blood,T cells
SRX10852984,MED1,Blood,T cells
SRX10852985,MED1,Blood,T cells
SRX10852986,MED1,Blood,T cells
SRX10852987,MED1,Blood,T cells
SRX10852988,MED1,Blood,T cells
SRX10852989,MED12,Blood,T cells
SRX10852990,MED12,Blood,T cells
SRX10852991,MED12,Blood,T cells
SRX10852992,MED12,Blood,T cells
SRX10852993,MED12,Blood,T cells
SRX10852994,MED12,Blood,T cells
SRX11120905,RAD21,Blood,B cells
SRX11478228,RAD21,Blood,Lymphoblastoid cell line
SRX11478229,RAD21,Blood,Lymphoblastoid cell line
SRX11478230,RAD21,Blood,Lymphoblastoid cell line
SRX11478231,RAD21,Blood,Lymphoblastoid cell line
SRX12027417,EBF1,Blood,B-cell (CD19+)
SRX12027421,EBF1,Blood,B-cell (CD19+)
SRX12027422,EBF1,Blood,B-cell (CD19+)
SRX12129503,BRD4,Blood,T cells
SRX12129506,BRD4,Blood,T cells
SRX12151157,GATA1,Blood,CD34+
SRX12151158,GATA1,Blood,CD34+
SRX12151159,KLF1,Blood,CD34+
SRX12151160,KLF1,Blood,CD34+
SRX12622730,NR3C1,Blood,Lymphoblastoid cell line
SRX12622732,NR3C1,Blood,Lymphoblastoid cell line
SRX12622734,NR3C1,Blood,Lymphoblastoid cell line
SRX12622736,NR3C1,Blood,Lymphoblastoid cell line
SRX130608,BCL6,Blood,B cells
SRX130609,BCOR,Blood,B cells
SRX130610,NCOR2,Blood,B cells
SRX13183649,GATA1,Blood,CD34+
SRX13183650,GATA1,Blood,CD34+
SRX13183651,GATA1,Blood,CD34+
SRX13183653,GATA1,Blood,CD34+
SRX13183654,GATA1,Blood,CD34+
SRX13183655,GATA1,Blood,CD34+
SRX13183657,GATA1,Blood,CD34+
SRX13183658,GATA1,Blood,CD34+
SRX13183659,GATA1,Blood,CD34+
SRX1322299,EBNA1,Blood,B cells
SRX13681293,ATRX,Blood,Lymphoblastoid cell line
SRX13681294,ATRX,Blood,Lymphoblastoid cell line
SRX13681295,ATRX,Blood,Lymphoblastoid cell line
SRX13681296,ATRX,Blood,Lymphoblastoid cell line
SRX13681297,ATRX,Blood,Lymphoblastoid cell line
SRX13681298,ATRX,Blood,Lymphoblastoid cell line
SRX13681305,RUNX3,Blood,Lymphoblastoid cell line
SRX13681306,RUNX3,Blood,Lymphoblastoid cell line
SRX13681307,RUNX3,Blood,Lymphoblastoid cell line
SRX13681308,RUNX3,Blood,Lymphoblastoid cell line
SRX1425808,CTCF,Blood,T cells
SRX1425809,CTCF,Blood,T cells
SRX1460847,RELA,Blood,Th1 Cells
SRX1460848,RELA,Blood,Th1 Cells
SRX1460849,AFF4,Blood,Th1 Cells
SRX1460850,AFF4,Blood,Th1 Cells
SRX1460851,BRD4,Blood,Th1 Cells
SRX1460852,BRD4,Blood,Th1 Cells
SRX1460853,MED1,Blood,Th1 Cells
SRX1460854,MED1,Blood,Th1 Cells
SRX1477664,MED12,Blood,CD34 Hematopoietic stem cells
SRX1477665,MED12,Blood,CD34 Hematopoietic stem cells
SRX1477666,MED12,Blood,CD34 Hematopoietic stem cells
SRX14888587,YY1,Blood,Macrophages
SRX15036323,GATA3,Blood,CD4+ T cells
SRX151229,SMC1A,Blood,Lymphoblastoid cells
SRX151230,NIPBL,Blood,Lymphoblastoid cells
SRX15710546,CTCF,Blood,B cells
SRX15710548,MAU2,Blood,B cells
SRX15710549,RAD21,Blood,B cells
SRX1738529,CTCF,Blood,Hematopoietic Stem Cells
SRX1738530,STAG1,Blood,Hematopoietic Stem Cells
SRX1738531,CTCF,Blood,Erythroid Cells
SRX1738532,STAG1,Blood,Erythroid Cells
SRX17491426,AGO2,Blood,Macrophages
SRX17491428,AGO2,Blood,Macrophages
SRX1799591,TBX21,Blood,Th1 Cells
SRX1799593,TBX21,Blood,Th1 Cells
SRX185893,BCL6,Blood,B cells
SRX1901615,CHD7,Blood,CD34+
SRX19123211,DAXX,Blood,B cells
SRX19123214,DAXX,Blood,B cells
SRX19123217,DAXX,Blood,B cells
SRX1920484,STAT5A,Blood,Memory T cells
SRX1920486,STAT5A,Blood,Memory T cells
SRX1920488,STAT5A,Blood,Memory T cells
SRX19487524,NFE2L2,Blood,Erythroid progenitors
SRX19487525,NFE2L2,Blood,Erythroid progenitors
SRX19487526,NFE2L2,Blood,Erythroid progenitors
SRX19487527,NFE2L2,Blood,Erythroid progenitors
SRX1968072,BCL11B,Blood,Thymus
SRX1968074,BCL11B,Blood,Thymus
SRX1968076,BCL11B,Blood,Thymus
