Experimental ID,Track type,Cell type class,Cell type
DRX000550,PARK7,Neural,SH-SY5Y
DRX001460,MLL-AF6,Blood,ML-2
DRX002911,LRIF1,Neural,hTERT RPE-1
DRX002912,SMCHD1,Neural,hTERT RPE-1
DRX002915,SMCHD1,Neural,hTERT RPE-1
DRX002918,LRIF1,Neural,hTERT RPE-1
DRX013180,CTCF,Digestive tract,DLD-1
DRX013181,RAD21,Digestive tract,DLD-1
DRX013190,CTCF,Kidney,293
DRX013191,RAD21,Kidney,293
DRX013200,CTCF,Uterus,HeLa
DRX013201,RAD21,Uterus,HeLa
DRX013210,CTCF,Breast,MCF-7
DRX013211,RAD21,Breast,MCF-7
DRX021114,Epitope tags,Kidney,293
DRX021116,Epitope tags,Kidney,293
DRX021118,MBD1,Digestive tract,HCT 116
DRX021119,MBD2,Digestive tract,HCT 116
DRX021120,MBD4,Digestive tract,HCT 116
DRX021253,GRWD1,Uterus,HeLa
DRX021254,GRWD1,Uterus,HeLa
DRX022350,TAF7,Kidney,293
DRX022353,ICE1,Kidney,293
DRX022354,ICE1,Kidney,293
DRX022355,ICE1,Kidney,293
DRX022357,MED26,Kidney,293
DRX022358,MED26,Kidney,293
DRX022359,MED26,Kidney,293
DRX051430,CTNNB1,Digestive tract,DLD-1
DRX059607,MLLT6,Blood,HB1119
DRX059608,AFF1,Blood,HB1119
DRX059609,BMI1,Blood,HB1119
DRX059610,CBX8,Blood,HB1119
DRX059611,DOT1L,Blood,HB1119
DRX059612,KMT2B,Blood,HB1119
DRX059613,TAF1C,Blood,HB1119
DRX059614,KMT2B,Blood,HB1119
DRX059615,KMT2B,Blood,HB1119
DRX059624,DOT1L,Kidney,293
DRX059627,CBX8,Kidney,293
DRX059628,BMI1,Kidney,293
DRX059630,MLLT1,Kidney,293
DRX059632,TAF1C,Kidney,293
DRX059635,AFF1,Kidney,293
DRX059637,MLLT6,Kidney,293
DRX069273,RAD51,Digestive tract,HCT 116
DRX069274,POLQ,Digestive tract,HCT 116
DRX069275,POLH,Digestive tract,HCT 116
DRX090760,RAD51,Digestive tract,HCT 116
DRX090761,POLQ,Digestive tract,HCT 116
DRX090762,POLH,Digestive tract,HCT 116
DRX135461,TP53,Lung,NCI-H1299
DRX135462,TP53,Lung,NCI-H1299
DRX144853,RUNX2,Blood,CAL-1
DRX156329,MGMT,Neural,U-87 MG
DRX156330,MGMT,Neural,U-87 MG
DRX156331,MGMT,Neural,U-87 MG
DRX156332,MGMT,Neural,U-87 MG
DRX156347,MGMT,Neural,U-87 MG
DRX156348,MGMT,Neural,U-87 MG
DRX156349,MGMT,Neural,U-87 MG
DRX156350,MGMT,Neural,U-87 MG
DRX169019,ZNF217,Unclassified,Unclassified
DRX169021,ZNF217,Unclassified,Unclassified
DRX169023,ZNF217,Unclassified,Unclassified
DRX205076,CTCF,Lung,SVts-8
DRX205077,CTCF,Lung,SVts-8
DRX227594,LDB2,Pluripotent stem cell,iPSC derived neural cells
DRX233482,CTCF,Lung,SVts-8
DRX233483,CTCF,Lung,SVts-8
SRX003182,POU2F1,Uterus,HeLa
SRX003313,STAT1,Uterus,HeLa
SRX003314,STAT1,Uterus,HeLa
SRX003315,STAT1,Uterus,HeLa
SRX003316,STAT1,Uterus,HeLa
SRX003317,STAT1,Uterus,HeLa
SRX003318,STAT1,Uterus,HeLa
SRX003319,STAT1,Uterus,HeLa
SRX003320,STAT1,Uterus,HeLa
SRX003321,STAT1,Uterus,HeLa
SRX003322,STAT1,Uterus,HeLa
SRX003323,STAT1,Uterus,HeLa
SRX003324,STAT1,Uterus,HeLa
SRX003325,STAT1,Uterus,HeLa
SRX003794,CTCF,Blood,CD4+ T cells
SRX003796,CTCF,Uterus,HeLa
SRX003798,CTCF,Blood,Jurkat
SRX003842,EZH2,Pluripotent stem cell,ES cells
SRX003846,RNF2,Pluripotent stem cell,ES cells
SRX003937,ESR1,Breast,MCF-7
SRX003938,ESR1,Breast,MCF-7
SRX003939,ESR1,Breast,MCF-7
SRX003940,ESR1,Breast,MCF-7
SRX011571,POU5F1,Pluripotent stem cell,hESC H1
SRX011572,POU5F1,Pluripotent stem cell,hESC H1
SRX011573,KLF4,Pluripotent stem cell,hESC H1
SRX011574,MYC,Pluripotent stem cell,hESC H1
SRX011575,TAF2,Pluripotent stem cell,hESC H1
SRX011576,EP300,Pluripotent stem cell,hESC H1
SRX011577,TAF2,Pluripotent stem cell,hESC H1
SRX011616,SOX2,Pluripotent stem cell,hESC H1
SRX011617,NANOG,Pluripotent stem cell,hESC H1
SRX011618,NANOG,Pluripotent stem cell,hESC H1
SRX014750,PML,Blood,NB-4
SRX014751,RXRA,Blood,NB-4
SRX014752,RARA,Blood,NB-4
SRX014753,PML,Blood,Leukemia
SRX014754,RXRA,Blood,Leukemia
SRX014766,MethylCap,Blood,NB-4
SRX014767,MethylCap,Blood,NB-4
SRX014768,PML,Blood,NB-4
SRX014769,RXRA,Blood,NB-4
SRX014770,RARA,Blood,NB-4
SRX014773,PML,Blood,Leukemia
SRX014774,RXRA,Blood,Leukemia
SRX014775,PML,Blood,MR4
SRX014776,PML,Blood,MR4
SRX014779,PML,Blood,UPR9
SRX014780,PML,Blood,UPR9
SRX014781,RARA,Blood,UPR9
SRX014782,RARA,Blood,UPR9
SRX014783,RXRA,Blood,UPR9
SRX014784,RXRA,Blood,UPR9
SRX014810,GATA1,Blood,K-562
SRX014811,GATA2,Blood,K-562
SRX015140,JUN,Blood,K-562
SRX015141,FOS,Blood,K-562
SRX015142,MYC,Blood,K-562
SRX015825,ETS1,Blood,Jurkat (Clone E6-1)
SRX015826,RUNX1,Blood,Jurkat (Clone E6-1)
SRX015827,CREBBP,Blood,Jurkat (Clone E6-1)
SRX016028,RB1,Lung,IMR-90
SRX016029,RB1,Lung,IMR-90
SRX016030,RB1,Lung,IMR-90
SRX016031,RBL2,Lung,IMR-90
SRX016032,RB1,Lung,IMR-90
SRX016033,RB1,Lung,IMR-90
SRX016034,RBL2,Lung,IMR-90
SRX016035,RB1,Lung,IMR-90
SRX016036,RBL2,Lung,IMR-90
SRX016037,RB1,Lung,IMR-90
SRX016038,RBL2,Lung,IMR-90
SRX016556,BDP1,Lung,IMR-90
SRX016557,BRF1,Lung,IMR-90
SRX016559,SNAPC2,Lung,IMR-90
SRX016998,BRF1,Uterus,HeLa
SRX016999,BRF2,Uterus,HeLa
SRX017005,GTF3C1,Uterus,HeLa
SRX017325,PHF8,Neural,SH-SY5Y
SRX017326,ZNF711,Neural,SH-SY5Y
SRX018277,CREBBP,Neural,T98G
SRX018278,EP300,Neural,T98G
SRX018279,EP300,Neural,T98G
SRX018280,CREBBP,Neural,T98G
SRX018281,CREBBP,Neural,T98G
SRX018282,EP300,Neural,T98G
SRX018607,BRF1,Uterus,HeLa
SRX018608,GTF3C1,Uterus,HeLa
SRX018625,HNF4A,Liver,Hep G2
SRX018626,HNF4A,Liver,Hep G2
SRX018627,HNF4G,Liver,Hep G2
SRX018833,TFAP2C,Breast,MCF-7
SRX019498,CTCF,Adipocyte,Adipose stromal cell
SRX019505,CTCF,Adipocyte,Adipose stromal cell
SRX019512,CTCF,Adipocyte,Adipose stromal cell
SRX019519,CTCF,Adipocyte,Adipose stromal cell
SRX019520,PPARG,Adipocyte,Adipose stromal cell
SRX019521,PPARG,Adipocyte,Adipose stromal cell
SRX020506,ESR2,Bone,U2OS
SRX020507,ESR2,Bone,U2OS
SRX020936,FOXA1,Prostate,VCaP
SRX020939,FOXA1,Prostate,LNCAP
SRX021983,ATRX,Blood,Erythroblasts
SRX022562,AR,Prostate,VCaP
SRX022563,ERG,Prostate,VCaP
SRX022564,AR,Prostate,VCaP
SRX022565,ERG,Prostate,VCaP
SRX022566,AR,Prostate,22Rv1
SRX022567,AR,Prostate,LNCAP
SRX022568,AR,Prostate,LNCAP
SRX022569,AR,Prostate,LNCAP
SRX022570,AR,Prostate,LNCAP
SRX022571,AR,Prostate,VCaP
SRX022572,AR,Prostate,VCaP
SRX022573,ERG,Prostate,VCaP
SRX022574,ERG,Prostate,LNCAP
SRX022575,ERG,Prostate,RWPE-1
SRX022576,ERG,Prostate,RWPE-1
SRX022577,AR,Prostate,Prostate cancer cells
SRX022578,ERG,Prostate,Prostate cancer cells
SRX022741,TDRD3,Breast,MCF-7
SRX023135,PRDM14,Pluripotent stem cell,ES cells
SRX023216,ETV1,Digestive tract,GIST48
SRX026098,IGF1,Epidermis,DFB
SRX026263,CDX2,Digestive tract,Caco-2
SRX026264,CDX2,Digestive tract,Caco-2
SRX026265,GATA6,Digestive tract,Caco-2
SRX026266,GATA6,Digestive tract,Caco-2
SRX026267,HNF4A,Digestive tract,Caco-2
SRX026268,HNF4A,Digestive tract,Caco-2
SRX026748,DDX5,Uterus,HeLa
SRX026880,SOX2,Neural,LN-229
SRX027270,SMARCB1,Uterus,HeLa
SRX027271,SMARCA4,Uterus,HeLa
SRX027272,SMARCC1,Uterus,HeLa
SRX027273,SMARCC2,Uterus,HeLa
SRX027458,SUZ12,Pluripotent stem cell,hESC BG03
SRX027482,EP300,Pluripotent stem cell,hESC H9
SRX027488,SMARCA4,Pluripotent stem cell,hESC H9
SRX027490,EP300,Pluripotent stem cell,hESC derived neural cells
SRX028636,NR2C2,Blood,K-562
SRX028637,NR2C2,Blood,K-562
SRX028638,NR2C2,Liver,Hep G2
SRX028639,NR2C2,Liver,Hep G2
SRX028642,NR2C2,Uterus,HeLa
SRX028643,NR2C2,Uterus,HeLa
SRX028646,ELK1,Uterus,HeLa
SRX029081,RUNX1,Blood,CMK
SRX029083,RUNX1,Blood,K-562
SRX029085,RUNX1,Blood,K-562
SRX029086,GATA1,Blood,K-562
SRX029087,FOS,Blood,K-562
SRX029088,FOS,Blood,K-562
SRX029315,GABPA,Blood,CD34 Hematopoietic stem cells
SRX029433,GATA1,Blood,CD34+
SRX029434,GATA2,Blood,CD34+
SRX029435,RUNX1,Blood,CD34+
SRX029436,FLI1,Blood,CD34+
SRX029437,TAL1,Blood,CD34+
SRX029597,TAL1,Blood,T-ALL
SRX029598,TAL1,Blood,CD34 Hematopoietic stem cells
SRX032595,HMGN1,Blood,CD4+ T cells
SRX032596,YY1,Blood,CD4+ T cells
SRX035160,BCL6,Blood,JURL-MK1
SRX036635,ESR1,Bone,U2OS
SRX036636,ESR1,Bone,U2OS
SRX036637,NCOA1,Bone,U2OS
SRX036638,NCOA1,Bone,U2OS
SRX036640,NCOA1,Bone,U2OS
SRX036641,NCOA1,Bone,U2OS
SRX037417,PRAME,Blood,K-562
SRX037418,NFYA,Blood,K-562
SRX037419,NFYB,Blood,K-562
SRX037935,CTCF,Blood,CD34+
SRX037936,CTCF,Blood,CD36+
SRX037937,CTCF,Blood,CD36+
SRX037938,TAL1,Blood,CD36+
SRX037939,TAL1,Blood,CD36+
SRX037940,GATA1,Blood,CD36+
SRX037941,GATA1,Blood,CD36+
SRX037946,SMARCA4,Blood,CD34+
SRX037947,SMARCA4,Blood,CD36+
SRX039137,FOXA1,Breast,MCF-7
SRX039138,FOXA1,Breast,MCF-7
SRX039139,FOS,Breast,MCF-7
SRX039140,FOS,Breast,MCF-7
SRX039141,JUN,Breast,MCF-7
SRX039142,JUN,Breast,MCF-7
SRX039145,FOXA1,Breast,T-47D
SRX039146,FOXA1,Breast,T-47D
SRX040560,LIN9,Uterus,HeLa
SRX040561,LIN9,Uterus,HeLa
SRX040562,MYBL2,Uterus,HeLa
SRX040563,MYBL2,Uterus,HeLa
SRX041286,STAT1,Blood,T cells
SRX041287,STAT1,Blood,T cells
SRX041288,STAT4,Blood,T cells
SRX041289,STAT4,Blood,T cells
SRX041290,STAT5A,Blood,T cells
SRX041291,STAT5A,Blood,T cells
SRX041292,STAT5B,Blood,T cells
SRX041293,STAT5B,Blood,T cells
SRX045434,VDR,Blood,THP-1
SRX045435,VDR,Blood,THP-1
SRX054457,NR1H3,Blood,THP-1
SRX054458,NR1H3,Blood,THP-1
SRX054571,Epitope tags,Breast,MCF-7
SRX054572,Epitope tags,Breast,MCF-7
SRX054573,Epitope tags,Breast,MCF-7
SRX054574,Epitope tags,Breast,MCF-7
SRX054575,Epitope tags,Breast,MCF-7
SRX054576,Epitope tags,Breast,MCF-7
SRX058249,TAL1,Blood,CD34+
SRX059360,EP300,Pluripotent stem cell,hESC derived neural crests
SRX059367,NR2F1,Pluripotent stem cell,hESC derived neural crests
SRX059368,NR2F2,Pluripotent stem cell,hESC derived neural crests
SRX059371,L3MBTL2,Blood,K-562
SRX059372,L3MBTL2,Blood,K-562
SRX059373,E2F6,Blood,K-562
SRX059700,TFAP4,Prostate,LNCAP
SRX062335,RUNX1,Blood,Kasumi-1
SRX062336,RUNX1,Blood,Kasumi-1
SRX062337,RUNX1,Blood,Kasumi-1
SRX062338,RUNX1,Blood,Kasumi-1
SRX062339,RUNX1,Blood,CD34+
SRX070876,GATA2,Cardiovascular,HUVEC
SRX070877,GATA2,Cardiovascular,HUVEC
SRX070878,FOS,Cardiovascular,HUVEC
