Experiment ID,Track type,Cell type class,Cell type
SRX019498,CTCF,Adipocyte,Adipose stromal cell
SRX019505,CTCF,Adipocyte,Adipose stromal cell
SRX019512,CTCF,Adipocyte,Adipose stromal cell
SRX019519,CTCF,Adipocyte,Adipose stromal cell
SRX019520,PPARG,Adipocyte,Adipose stromal cell
SRX019521,PPARG,Adipocyte,Adipose stromal cell
SRX027401,E2F4,Adipocyte,Adipocytes
SRX027402,CEBPA,Adipocyte,Adipocytes
SRX027403,HSF1,Adipocyte,Adipocytes
SRX12412428,LMNB1,Adipocyte,Adipose stem cells
SRX12412429,LMNB1,Adipocyte,Adipose stem cells
SRX12412430,LMNB1,Adipocyte,Adipose stem cells
SRX12412431,LMNB1,Adipocyte,Adipose stem cells
SRX12412432,LMNB1,Adipocyte,Adipose stem cells
SRX12412433,LMNB1,Adipocyte,Adipose stem cells
SRX12412434,LMNB1,Adipocyte,Adipose stem cells
SRX12412435,LMNB1,Adipocyte,Adipose stem cells
SRX13551226,CTCF,Adipocyte,Adipose stem cells
SRX13551227,CTCF,Adipocyte,Adipose stem cells
SRX13551244,CTCF,Adipocyte,Adipose stem cells
SRX13551245,CTCF,Adipocyte,Adipose stem cells
SRX13551262,CTCF,Adipocyte,Adipose stem cells
SRX13551263,CTCF,Adipocyte,Adipose stem cells
SRX13551280,CTCF,Adipocyte,Adipose stem cells
SRX13551281,CTCF,Adipocyte,Adipose stem cells
SRX15003482,HNRNPA2B1,Adipocyte,Adipose-derived stem cells
SRX15003483,HNRNPA2B1,Adipocyte,Adipose-derived stem cells
SRX15003484,HNRNPA2B1,Adipocyte,Adipose-derived stem cells
SRX15003485,HNRNPA2B1,Adipocyte,Adipose-derived stem cells
SRX18768993,LMNA,Adipocyte,Adipose stem cells
SRX18768994,LMNA,Adipocyte,Adipose stem cells
SRX18768995,LMNA,Adipocyte,Adipose stem cells
SRX18768996,LMNA,Adipocyte,Adipose stem cells
SRX18768997,LMNA,Adipocyte,Adipose stem cells
SRX18768998,LMNA,Adipocyte,Adipose stem cells
SRX19304507,CTCF,Adipocyte,Adipose stem cells
SRX19304509,CTCF,Adipocyte,Adipose stem cells
SRX19304518,CTCF,Adipocyte,Adipose stem cells
SRX19304527,CTCF,Adipocyte,Adipose stem cells
SRX19304538,CTCF,Adipocyte,Adipose stem cells
SRX19304546,CTCF,Adipocyte,Adipose stem cells
SRX19304559,CTCF,Adipocyte,Adipose stem cells
SRX19304567,CTCF,Adipocyte,Adipose stem cells
SRX19304575,CTCF,Adipocyte,Adipose stem cells
SRX19304584,CTCF,Adipocyte,Adipose stem cells
SRX19304593,CTCF,Adipocyte,Adipose stem cells
SRX19304598,CTCF,Adipocyte,Adipose stem cells
SRX19304607,CTCF,Adipocyte,Adipose stem cells
SRX19304615,CTCF,Adipocyte,Adipose stem cells
SRX19304625,CTCF,Adipocyte,Adipose stem cells
SRX19304635,CTCF,Adipocyte,Adipose stem cells
SRX19304644,CTCF,Adipocyte,Adipose stem cells
SRX19304655,CTCF,Adipocyte,Adipose stem cells
SRX19304664,CTCF,Adipocyte,Adipose stem cells
SRX19304673,CTCF,Adipocyte,Adipose stem cells
SRX22532981,ZNF189,Adipocyte,Adipocytes
SRX3321891,CTCF,Adipocyte,Omental fat pad
SRX3321989,CTCF,Adipocyte,Omental fat pad
SRX3321997,CTCF,Adipocyte,Colon
SRX3321998,EP300,Adipocyte,Subcutaneous adipose tissue
SRX3322044,CTCF,Adipocyte,Omental fat pad
SRX3322060,EP300,Adipocyte,Subcutaneous adipose tissue
SRX3322140,EP300,Adipocyte,Omental fat pad
SRX3322293,EP300,Adipocyte,Colon
SRX3322544,EP300,Adipocyte,Omental fat pad
SRX3322609,CTCF,Adipocyte,Colon
SRX3322694,EP300,Adipocyte,Colon
SRX3322855,CTCF,Adipocyte,Colon
SRX3322904,EP300,Adipocyte,Omental fat pad
SRX3322952,EP300,Adipocyte,Subcutaneous adipose tissue
SRX3322953,EP300,Adipocyte,Subcutaneous adipose tissue
SRX3322954,EP300,Adipocyte,Colon
SRX3322962,CTCF,Adipocyte,Subcutaneous adipose tissue
SRX3322994,CTCF,Adipocyte,Colon
SRX3323044,EP300,Adipocyte,Omental fat pad
SRX3323073,CTCF,Adipocyte,Subcutaneous adipose tissue
SRX4174970,PPARG,Adipocyte,Adipocytes
SRX4174971,PPARG,Adipocyte,Adipocytes
SRX4174972,PPARG,Adipocyte,Adipocytes
SRX4174973,PPARG,Adipocyte,Adipocytes
SRX4174974,PPARG,Adipocyte,Adipocytes
SRX469458,EBF1,Adipocyte,Adipose stromal cell
SRX469460,EBF1,Adipocyte,Adipose stromal cell
SRX4711138,LMNB1,Adipocyte,Adipose stem cells
SRX4711139,LMNB1,Adipocyte,Adipose stem cells
SRX4711140,LMNB1,Adipocyte,Adipose stem cells
SRX4711141,LMNB1,Adipocyte,Adipose stem cells
SRX4711142,LMNB1,Adipocyte,Adipose stem cells
SRX4711143,LMNB1,Adipocyte,Adipose stem cells
SRX4711144,LMNB1,Adipocyte,Adipose stem cells
SRX4711145,LMNB1,Adipocyte,Adipose stem cells
SRX4796925,PPARG,Adipocyte,Adipose Tissue
SRX4796926,PPARG,Adipocyte,Adipose Tissue
SRX4796927,PPARG,Adipocyte,Adipose Tissue
SRX4796928,PPARG,Adipocyte,Adipose Tissue
SRX4796929,PPARG,Adipocyte,Adipose Tissue
SRX660077,CREBBP,Adipocyte,Adipose-Derived Mesenchymal Stem Cells
SRX660078,CREBBP,Adipocyte,Adipose-Derived Mesenchymal Stem Cells
SRX660083,PPARG,Adipocyte,Adipose-Derived Mesenchymal Stem Cells
SRX660084,PPARG,Adipocyte,Adipose-Derived Mesenchymal Stem Cells
SRX660085,PPARG,Adipocyte,Adipose-Derived Mesenchymal Stem Cells
SRX660086,PPARG,Adipocyte,Adipose-Derived Mesenchymal Stem Cells
SRX660087,KLF11,Adipocyte,Adipose-Derived Mesenchymal Stem Cells
SRX660088,KLF11,Adipocyte,Adipose-Derived Mesenchymal Stem Cells
SRX660089,KLF11,Adipocyte,Adipose-Derived Mesenchymal Stem Cells
SRX660090,KLF11,Adipocyte,Adipose-Derived Mesenchymal Stem Cells
SRX7141987,O-GlcNAc,Adipocyte,Adipocytes
SRX7141988,O-GlcNAc,Adipocyte,Adipocytes
SRX7141989,O-GlcNAc,Adipocyte,Adipocytes
SRX7141990,O-GlcNAc,Adipocyte,Adipocytes
SRX7141991,O-GlcNAc,Adipocyte,Adipocytes
SRX7141992,O-GlcNAc,Adipocyte,Adipocytes
SRX7509299,CTCF,Adipocyte,Colon
SRX7509300,CTCF,Adipocyte,Colon
SRX751297,MED1,Adipocyte,Adipose-Derived Mesenchymal Stem Cells
SRX751298,MED1,Adipocyte,Adipose-Derived Mesenchymal Stem Cells
SRX751299,MED1,Adipocyte,Adipose-Derived Mesenchymal Stem Cells
SRX751300,MED1,Adipocyte,Adipose-Derived Mesenchymal Stem Cells
SRX760967,LMNA,Adipocyte,Pre-adipocytes
SRX760968,LMNA,Adipocyte,Pre-adipocytes
SRX760969,LMNA,Adipocyte,Pre-adipocytes
SRX760970,LMNA,Adipocyte,Pre-adipocytes
SRX760971,LMNA,Adipocyte,Pre-adipocytes
SRX7807102,CEBPB,Adipocyte,Adipocytes
SRX7807103,CEBPB,Adipocyte,Adipocytes
SRX7807106,CTCF,Adipocyte,Adipocytes
SRX7807107,CTCF,Adipocyte,Adipocytes
SRX7807126,TEAD1,Adipocyte,Adipocytes
SRX7807127,TEAD1,Adipocyte,Adipocytes
SRX7807128,MED1,Adipocyte,Adipocytes
SRX7807129,MED1,Adipocyte,Adipocytes
SRX8151644,ARNTL,Adipocyte,Preadipocytes
SRX8151645,ARNTL,Adipocyte,Preadipocytes
SRX8151646,ARNTL,Adipocyte,Preadipocytes
SRX8151647,ARNTL,Adipocyte,Preadipocytes
SRX8151648,ARNTL,Adipocyte,Preadipocytes
SRX8151649,ARNTL,Adipocyte,Preadipocytes
SRX821806,PPARG,Adipocyte,Adipose Tissue
SRX821807,PPARG,Adipocyte,White adipose tissue
SRX821808,PPARG,Adipocyte,White adipose tissue
SRX821809,PPARG,Adipocyte,White adipose tissue
SRX821810,PPARG,Adipocyte,White adipose tissue
SRX821811,PPARG,Adipocyte,White adipose tissue
SRX821812,PPARG,Adipocyte,White adipose tissue
SRX821813,PPARG,Adipocyte,White adipose tissue
SRX821814,PPARG,Adipocyte,White adipose tissue
SRX821815,PPARG,Adipocyte,White adipose tissue
SRX821816,PPARG,Adipocyte,White adipose tissue
SRX821817,PPARG,Adipocyte,White adipose tissue
SRX821818,PPARG,Adipocyte,Adipose Tissue
SRX821819,PPARG,Adipocyte,Adipose Tissue
SRX821820,PPARG,Adipocyte,White adipose tissue
SRX821821,PPARG,Adipocyte,White adipose tissue
SRX9012289,GPS2,Adipocyte,Adipose-Derived Mesenchymal Stem Cells
SRX9012290,GPS2,Adipocyte,Adipose-Derived Mesenchymal Stem Cells
SRX9012291,GPS2,Adipocyte,Adipose-Derived Mesenchymal Stem Cells
SRX9012292,GPS2,Adipocyte,Adipose-Derived Mesenchymal Stem Cells
SRX9683838,NR3C1,Adipocyte,Adipocytes
SRX9683839,NR3C1,Adipocyte,Adipocytes
SRX9683840,NR3C1,Adipocyte,Adipocytes
SRX9683841,NR3C1,Adipocyte,Adipocytes
SRX9683842,NR3C1,Adipocyte,Adipocytes
SRX9683843,NR3C1,Adipocyte,Adipocytes
SRX9683844,NR3C1,Adipocyte,Adipocytes
SRX9683845,NR3C1,Adipocyte,Adipocytes
SRX9683846,NR3C1,Adipocyte,Adipocytes
SRX9683847,NR3C1,Adipocyte,Adipocytes
SRX9683848,NR3C1,Adipocyte,Adipocytes
SRX9683849,NR3C1,Adipocyte,Adipocytes
SRX9683850,NR3C1,Adipocyte,Adipocytes
SRX9683851,NR3C1,Adipocyte,Adipocytes
SRX9683852,NR3C1,Adipocyte,Adipocytes
SRX9683853,NR3C1,Adipocyte,Adipocytes
SRX9683854,NR3C1,Adipocyte,Adipocytes
DRX044425,CTCF,Blood,T cells
DRX044426,CTCF,Blood,T cells
DRX440344,EZH2,Blood,CD4+ T cells
DRX440349,EZH2,Blood,CD4+ T cells
DRX440350,TP73,Blood,CD4+ T cells
DRX486779,SMAD3,Blood,CD4+ T cells
DRX486781,SMAD3,Blood,CD4+ T cells
DRX486783,SMAD3,Blood,CD4+ T cells
ERX200492,CTCF,Blood,B cells
