ID,keyword_classification,keyword_confidence,keyword_reason,final_classification,llm_reason,classification_method
DRX440344,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. cell_line=C20,LLM
DRX440349,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. cell_line=C20,LLM
SRX017709,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. cell type=activated CD4+ T cell,LLM
SRX037935,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. condition=CD34 WT,LLM
SRX037940,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. condition=BRG1 RNAi KD,LLM
SRX037941,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. condition=BRG1 KD shLuc control,LLM
SRX10977238,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. donor ID=ENCDO615NVN, treatments=treatment_term_id: CHEBI:86158; treatment_term_name: calcium; treatment_type: chemical; duration: 5.5; duration_units: day;",LLM
SRX10977366,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. donor ID=ENCDO222AAA, age=5 day, sample type=organoid, tissue=brain, health state=healthy, dev stage=embryonic",LLM
SRX11513464,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. differentiated, donor B, 24 hours differentiation",LLM
SRX11513465,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. differentiated, donor B",LLM
SRX12118509,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. Cell_type_class=Blood, Cell_type=Naive B cells, Metadata=source_name=naïve B-cells, treatment=NA, tissue=tonsil, cell type=naive B-cells, knock down=NA",LLM
SRX12129506,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=PLX,LLM
SRX12209241,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. cell type=CD4+ T cells, source_name=CD3/CD28 stimulated CD4+ T cells",LLM
SRX13006802,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. donor ID=ENCDO907CMO, age=74 year",LLM
SRX14280059,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. disease state=NAFLD,LLM
SRX14280087,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. disease state=Normal control,LLM
SRX15717771,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. cell type=Primary human islets, treatment=untreated",LLM
SRX16495661,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. donor ID=ENCDO781BMZ,LLM
SRX16495697,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. donor ID=ENCDO470GFA, age=90 or above year",LLM
SRX170349,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. genotype/wild-type, developmental stage=Adult",LLM
SRX1738529,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell type=Hematopoietic Stem Cells, source_name=Human Stem and Progenitor Cell",LLM
SRX18672589,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. cell_line=C20, treatment=untreated",LLM
SRX18672592,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell_line=C20, treatment=CTCF-KD",LLM
SRX18768994,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. cell_line=Human primary adipose stem cells,LLM
SRX18768997,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. cell_line=Human primary adipose stem cells,LLM
