ID	Transcription_Factor	Cell_type_class	Cell_type	Metadata
SRX017709	KAT5	Blood	CD4+ T cells	source_name=CD4+ T cell | cell type=activated CD4+ T cell | sirna=n/a | treatment=n/a
SRX037935	CTCF	Blood	CD34+	source_name=CD34 | condition=CD34 WT
SRX12118509	POU2F2	Blood	Naive B cells	source_name=naïve B-cells | treatment=NA | tissue=tonsil | cell type=naive B-cells | knock down=NA
SRX13006802	CTCF	Neural	Frontal cortex	sample_type=tissue | tissue=middle frontal area 46 | dev stage=adult | age=74 year | donor ID=ENCDO907CMO
SRX14280087	LMNB1	Liver	Liver	source_name=Liver | tissue=liver | disease state=Normal control
SRX15717771	HNF4A	Pancreas	Pancreatic islets	source_name=Human islets | cell type=Primary human islets | treatment=untreated
SRX16495661	CTCF	Blood	CD8+ T cells	age=21 year | sample type=primary cell | cell type=CD8-positive, alpha-beta T cell | dev stage=adult | donor ID=ENCDO781BMZ
SRX16495697	CTCF	Neural	Frontal cortex	age=90 or above year | sample type=tissue | tissue=middle frontal area 46 | dev stage=adult | donor ID=ENCDO470GFA
SRX170349	EP300	Blood	CD36+	source_name=Blood | tissue=Blood | developmental stage=Adult | genotype/variation=wild type | cell type=CD36
SRX18672589	CTCF	Neural	Microglia	source_name=Microglia | cell line=C20 | treatment=untreated
SRX18768994	LMNA	Adipocyte	Adipose stem cells	source_name=Adipose | cell type=Human primary adipose stem cells | tissue=Adipose | time=Day 0 | replicate=Rep2
SRX18768997	LMNA	Adipocyte	Adipose stem cells	source_name=Adipose | cell type=Human primary adipose stem cells | tissue=Adipose | time=Day 3 | replicate=Rep1
SRX19123217	DAXX	Blood	B cells	source_name=Human B lymphocytes | cell line=Human B lymphocytes | disease state=healthy control
SRX212351	HIF1A	Blood	Macrophages	source_name=macrophage | donor=1 | stress=Normoxy 20% O2 | treatment=none
SRX212353	HIF1A	Blood	Macrophages	source_name=macrophage | donor=1 | stress=Hypoxy 1% O2 4 hours | treatment=none
SRX23045260	GLI1	Epidermis	Dermal fibroblast	source_name=Human dermal fibroblasts | cell type=Human dermal fibroblasts | treatment=Vehicle
SRX23335291	EZH2	Blood	CD4+ T cells	source_name=CD4 T-cells | cell type=CD4 T-cells | age=23 | passage number=None
SRX23548768	TP53	Cardiovascular	Vascular smooth muscle cells	source_name=vascular smooth muscle cell | cell type=vascular smooth muscle cell | genotype=control
SRX2635902	YY1	Liver	Liver	tissue=liver | age=32 year | donor ID=ENCDO060AAA | dev stage=adult | sample type=tissue | health state=healthy with non-obstructive CAD (coronary artery disease)
SRX2770856	SPI1	Blood	Macrophages	source_name=Primary human monocyte-derived macrophages, untreated, PU.1 ChIP | disease state=healthy | tissue=peripheral blood | cell type=primary human monocyte-derived macrophages | treatment=none
SRX3195440	MLLT3	Blood	CD34+ cells	source_name=FLAG MLL-AF9 ChIPseq | cell type=human CD34+ | genotype=control untreated
SRX3322085	CTCF	Digestive tract	Gastroesophageal sphincter	tissue=gastroesophageal sphincter | sample_type=tissue | age=37 year | donor ID=ENCDO845WKR | dev_stage=adult
SRX3584196	RUNX1	Gonad	Epididymis	source_name=Epididymis | cell type=Primary human epididymis cells
SRX3734300	TP53	Epidermis	Foreskin	source_name=Foreskin | treatment=DMSO
SRX4370433	CTCF	Neural	Anterior temporal cortex	source_name=Adult anterior temporal cortex | developmental stage=Adult | tissue=brain (anterior temporal cortex)
SRX4723358	GATA3	Neural	Neurons	source_name=2 week neuron_homerTF_GATA3_WT126 | individual=wt126 | sh=none
SRX5360084	EZH2	Epidermis	Dermal fibroblast	source_name=Dermal Fibroblasts | neoplastic stage=untransformed
SRX5391034	MLXIP	Muscle	Skeletal myotubes	source_name=Primary skeletal myotube | cell type=Primary human myocytes | genotype=control | passages=P7
SRX5716451	SOX2	Neural	Neural progenitor cells	source_name=hNPCs | genotype/variation=wild type | sirna=none | lentiviral expression=none
SRX5774914	POU5F1	Epidermis	Dermal fibroblast	source_name=Foreskin fibroblasts | tissue=Foreskin fibroblasts | cell line=A2B5+ iOPCs(H)
SRX5839976	CREBBP	Blood	Macrophages	source_name=Primary human monocyte-derived macrophages | tissue=peripheral blood | cell type=monocytes
SRX6578928	CTCF	Blood	T cells	source_name=Peripheral blood T cells | tissue=Peripheral blood | disease state=Healthy T cells | treatment=N/A
SRX6763478	EGR1	Blood	Monocytes	source_name=PRIMARY-MONOCYTE | cell type=PRIMARY-MONOCYTE | treatment=primary monocytes
SRX6784062	CTCF	Lung	Lung	sample_type=tissue | tissue=upper lobe of left lung | dev_stage=adult | age=51 year | donor ID=ENCDO271OUW
SRX7509593	CTCF	Gonad	Testis	sample_type=tissue | tissue=testis | dev_stage=adult | age=37 year | donor ID=ENCDO845WKR
SRX8090646	BRD4	Others	Synoviocytes	source_name=Fibroblast like Synoviocytes | diagnosis=Rheumatoid arthritis | cell type=Fibroblast like Synoviocytes | treatment=DMSO | donor=ST1412
SRX885891	CEBPB	Blood	Macrophages	source_name=Macrophage-control | treatment=Control | cell type=Macrophage
SRX9029210	POU2F2	Blood	Neutrophils	source_name=human neutrophil | treatment=no treatment | time=20 h | cell type=neutrophil
SRX9221933	ESR1	Liver	Hepatocytes	source_name=Primary Hepatocytes | tissue/cell type=Primary hepatocytes | treatment=DMSO | treatment time=8 hours
SRX9345717	CTCF	Blood	Erythroid Cells	source_name=iPSC diffrentiation to Erythroid cells | cell type=Erythroid | differentiation day=Day 21 | genotype=Wild type
