ID,keyword_classification,keyword_confidence,keyword_reason,final_classification,llm_reason,classification_method
DRX440382,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. ChIPseq EZH2 of WT mouse,LLM
ERX204066,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. ChIPseq, Liver ChIP, Hepatocytes",LLM
SRX018602,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. Nrl ko or Retina trial,LLM
SRX027447,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. Cell type is from a specific organism (pups) and has been crossed for genetic variation, making it non-native.",LLM
SRX028842,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. Cell type is Macrophages and the sample is derived from a specific strain (C57BL/6) and treatment condition (Brd2_0H_minus), which indicates it's not a native sample.",LLM
SRX10462798,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. Cell_line=Tet2+/- or Nasal Mucosa trial,LLM
SRX105503,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. strain=CD1, liver sample, mouse trial",LLM
SRX1063034,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. Pre-activated CD4+ T cells trial or experiment with C57BL/6 strain and spleen tissue,LLM
SRX1063037,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell_line=CD4+ T cells, Pre-activated trial, IL21 treatment trial",LLM
SRX10652556,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. CD4+ T cells, Splenocytes, and Junbfl/fl genotype indicate a specific experimental setup.",LLM
SRX10659669,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. Cell_line=null, Age=8 weeks old, Tissue=Liver",LLM
SRX10828736,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. Liver sample from C57BL/6 mice with XBP1 knockout or liver trial,LLM
SRX10828756,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. Liver sample from C57BL/6 mice, a common model for liver research.",LLM
SRX10873024,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. Cell type is from a specific strain and developmental stage, indicating it's likely a controlled experiment or a well-defined sample. The use of formaldehyde for tissue preparation also suggests that the sample is prepared for sequencing in a laboratory setting.",LLM
SRX10989779,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. Liver sample from C57BJ/L6 mice, a common strain used in mouse genetics and liver research.",LLM
SRX11187698,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. Uterus sample with Pgr (Progesterone receptor) genotype variation and treatment trial,LLM
SRX11366190,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. strain=C57BL/6, Liver trial, Wild-type genotype",LLM
