ID,keyword_classification,keyword_confidence,keyword_reason,final_classification,llm_reason,classification_method
DRX440344,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. Cell type is CD4+ T cells and the sample is a ChIPseq experiment for EZH2, which is a histone methyltransferase. This indicates that the sample is not native but rather a modified or experimental sample.",LLM
DRX440349,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. Cell_line=TL-Om1 or CD4+ T cells,LLM
SRX017709,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. Cell type=Activated CD4+ T cell, source_name=CD4+ T cell",LLM
SRX037935,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. CD34 WT,LLM
SRX037940,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. RNAi trial, CD36 cell line, BRG1 knockout",LLM
SRX037941,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. Cell_lineKD trial or shRNA experiment,LLM
SRX10977238,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. foreskin keratinocyte, newborn sample, primary cell trial",LLM
SRX10977366,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. Embryonic sample, organoid, and healthy brain tissue",LLM
SRX11513464,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. Cell type differentiation trial and specific cell line information,LLM
SRX11513465,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. Cell_type_class=Dendritic Cells, Tolerogenic dendritic cells differentiated from monocytes",LLM
SRX12118509,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. Cell type=Naive B cells, source_name=naïve B-cells",LLM
SRX12129506,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. Cell type=T cells, Treatment trial, and source name indicate this sample is not native.",LLM
SRX12209241,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. Cell type=CD4+ T cells, Control trial",LLM
SRX13006802,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. donor ID=ENCDO907CMO, adult sample with specific cell type and tissue information",LLM
SRX14280059,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. Liver Disease (NAFLD) or Liver Tissue sample with specific disease condition,LLM
SRX14280087,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. Liver sample, Normal control",LLM
SRX15717771,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. Primary human islets, untreated",LLM
SRX16495661,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. primary cell, CD8+ T cells",LLM
SRX16495697,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. donor ID=ENCDO470GFA, age=90 or above, neural tissue sample",LLM
SRX170349,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. Cell type classification and wild-type genotype indicate a native sample.,LLM
SRX1738529,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. cell_line=Hematopoietic Stem Cells (HSPC) or Human Stem and Progenitor Cell,LLM
SRX18672589,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. Cell_line=C20, Untreated sample, Microglia",LLM
SRX18672592,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell_line=C20, treatment=CTCF-KD, source_name=Microglia",LLM
SRX18768994,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. Cell type=Adipose stem cells, Human primary adipose stem cells",LLM
SRX18768997,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. cell_line=Adipose stem cells, Human primary adipose stem cells",LLM
SRX19123217,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. Cell type class=Blood, Cell type=B cells, source_name=Human B lymphocytes, disease state=healthy control",LLM
SRX212182,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. fetal lung fibroblasts or Lung fibroblasts trial,LLM
SRX212351,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. Cell type and source are native, but the specific condition (donor=1) might be considered non-native due to the mention of a single donor. However, without further information on this donor, it's difficult to conclude. The treatment and stress conditions do not indicate a modification or alteration from normal physiological conditions.",LLM
SRX212353,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. Cell type is macrophages and the sample was under hypoxic conditions, but there's no indication of treatment or modification that would classify it as non-native.",LLM
SRX2166886,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. fetal retina or embryonic cell sample,LLM
