ID,keyword_classification,keyword_confidence,keyword_reason,final_classification,llm_reason,classification_method
DRX440344,unknown,0,No relevant keywords,non-native,"Non-Native. Cell type is CD4+ T cells and the sample is a ChIPseq experiment for EZH2, which is a histone methyltransferase. This indicates that the sample is not native but rather a modified or experimental sample.",LLM (Fallback)
DRX440349,unknown,0,No relevant keywords,non-native,Non-Native. Cell_line=TL-Om1 or CD4+ T cells,LLM (Fallback)
SRX017709,unknown,0,No relevant keywords,native,"Native. Cell type=Activated CD4+ T cell, source_name=CD4+ T cell",LLM (Fallback)
SRX037935,native,50,"Highest weight keyword: 'wt' (category: weak_native, score: 100.0). Matches found: 'wt' in 'condition' (weak_native/100.0)",native,Native. CD34 WT,LLM (Native Validation)
SRX037940,non-native,95,"Highest weight keyword: 'RNAi' (category: strong_non_native, score: 100.0). Matches found: 'RNAi' in 'condition' (strong_non_native/100.0); 'kd' in 'condition' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX037941,non-native,95,"Highest weight keyword: 'kd' (category: strong_non_native, score: 100.0). Matches found: 'kd' in 'condition' (strong_non_native/100.0); 'control' in 'condition' (weak_native/100.0)",non-native,,Keyword (Non-Native)
SRX10977238,unknown,0,No relevant keywords,native,"Native. foreskin keratinocyte, newborn sample, primary cell trial",LLM (Fallback)
SRX10977366,non-native,95,"Highest weight keyword: 'embryonic' (category: strong_non_native, score: 100.0). Matches found: 'embryonic' in 'dev stage' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX11513464,native,50,"Highest weight keyword: 'donor' (category: weak_native, score: 100.0). Matches found: 'donor' in 'individual' (weak_native/100.0)",non-native,Non-Native. Cell type differentiation trial and specific cell line information,LLM (Native Validation)
SRX11513465,native,50,"Highest weight keyword: 'donor' (category: weak_native, score: 100.0). Matches found: 'donor' in 'individual' (weak_native/100.0)",non-native,"Non-Native. Cell_type_class=Dendritic Cells, Tolerogenic dendritic cells differentiated from monocytes",LLM (Native Validation)
SRX12118509,unknown,0,No relevant keywords,native,"Native. Cell type=Naive B cells, source_name=naïve B-cells",LLM (Fallback)
SRX12129506,unknown,0,No relevant keywords,non-native,"Non-Native. Cell type=T cells, Treatment trial, and source name indicate this sample is not native.",LLM (Fallback)
SRX12209241,non-native,95,"Highest weight keyword: 'stimulated' (category: strong_non_native, score: 83.33333333333334). Matches found: 'stimulated' in 'source_name' (strong_non_native/83.33333333333334); 'control' in 'case or control' (weak_native/100.0)",non-native,,Keyword (Non-Native)
SRX13006802,unknown,0,No relevant keywords,native,"Native. donor ID=ENCDO907CMO, adult sample with specific cell type and tissue information",LLM (Fallback)
SRX14280059,unknown,0,No relevant keywords,non-native,Non-Native. Liver Disease (NAFLD) or Liver Tissue sample with specific disease condition,LLM (Fallback)
SRX14280087,native,50,"Highest weight keyword: 'normal' (category: weak_native, score: 100.0). Matches found: 'normal' in 'disease state' (weak_native/100.0); 'control' in 'disease state' (weak_native/100.0)",native,"Native. Liver sample, Normal control",LLM (Native Validation)
SRX15717771,native,50,"Highest weight keyword: 'untreated' (category: weak_native, score: 100.0). Matches found: 'untreated' in 'treatment' (weak_native/100.0)",native,"Native. Primary human islets, untreated",LLM (Native Validation)
SRX16495661,unknown,0,No relevant keywords,native,"Native. primary cell, CD8+ T cells",LLM (Fallback)
SRX16495697,unknown,0,No relevant keywords,non-native,"Non-Native. donor ID=ENCDO470GFA, age=90 or above, neural tissue sample",LLM (Fallback)
SRX170349,native,50,"Highest weight keyword: 'wild-type' (category: weak_native, score: 100.0). Matches found: 'wild-type' in 'genotype/variation' (weak_native/100.0)",native,Native. Cell type classification and wild-type genotype indicate a native sample.,LLM (Native Validation)
SRX1738529,unknown,0,No relevant keywords,native,Native. cell_line=Hematopoietic Stem Cells (HSPC) or Human Stem and Progenitor Cell,LLM (Fallback)
SRX18672589,native,50,"Highest weight keyword: 'untreated' (category: weak_native, score: 100.0). Matches found: 'untreated' in 'treatment' (weak_native/100.0)",native,"Native. Cell_line=C20, Untreated sample, Microglia",LLM (Native Validation)
SRX18672592,unknown,0,No relevant keywords,non-native,"Non-Native. cell_line=C20, treatment=CTCF-KD, source_name=Microglia",LLM (Fallback)
SRX18768994,unknown,0,No relevant keywords,native,"Native. Cell type=Adipose stem cells, Human primary adipose stem cells",LLM (Fallback)
SRX18768997,unknown,0,No relevant keywords,native,"Native. cell_line=Adipose stem cells, Human primary adipose stem cells",LLM (Fallback)
SRX19123217,native,75,"Highest weight keyword: 'healthy donor' (category: strong_native, score: 76.92307692307692). Matches found: 'healthy donor' in 'disease state' (strong_native/76.92307692307692)",native,"Native. Cell type class=Blood, Cell type=B cells, source_name=Human B lymphocytes, disease state=healthy control",LLM (Native Validation)
SRX212182,non-native,95,"Highest weight keyword: 'fetal' (category: strong_non_native, score: 100.0). Matches found: 'fetal' in 'source_name' (strong_non_native/100.0); 'no treatment' in 'treatment' (weak_native/77.77777777777779)",non-native,,Keyword (Non-Native)
SRX212351,unknown,0,No relevant keywords,native,"Native. Cell type and source are native, but the specific condition (donor=1) might be considered non-native due to the mention of a single donor. However, without further information on this donor, it's difficult to conclude. The treatment and stress conditions do not indicate a modification or alteration from normal physiological conditions.",LLM (Fallback)
SRX212353,unknown,0,No relevant keywords,native,"Native. Cell type is macrophages and the sample was under hypoxic conditions, but there's no indication of treatment or modification that would classify it as non-native.",LLM (Fallback)
SRX2166886,non-native,95,"Highest weight keyword: 'fetal' (category: strong_non_native, score: 100.0). Matches found: 'fetal' in 'age' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX2253219,unknown,0,No relevant keywords,non-native,"Non-Native. Cell_line=Cll cells, CLL diagnosis, B cells trial",LLM (Fallback)
SRX2268292,non-native,95,"Highest weight keyword: 'fetal' (category: strong_non_native, score: 100.0). Matches found: 'fetal' in 'source_name' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX23045260,native,50,"Highest weight keyword: 'vehicle' (category: weak_native, score: 100.0). Matches found: 'vehicle' in 'treatment' (weak_native/100.0)",native,"Native. Cell type=Human dermal fibroblasts, Treatment=Vehicle",LLM (Native Validation)
SRX23045263,unknown,0,No relevant keywords,native,"Native. Cell type=Human dermal fibroblasts, Treatment Trial (TGFb trial)",LLM (Fallback)
SRX23335286,unknown,0,No relevant keywords,non-native,"Non-Native. foreskin fibroblasts, immortalized cell line or primary cell culture",LLM (Fallback)
SRX23335288,unknown,0,No relevant keywords,non-native,"Non-Native. cell_line=dermal fibroblasts, passage number=2, source name=dermal fibroblasts",LLM (Fallback)
SRX23335289,unknown,0,No relevant keywords,non-native,"Non-Native. cell_line=dermal fibroblasts, passage number=2, source name=dermal fibroblasts",LLM (Fallback)
SRX23335290,unknown,0,No relevant keywords,non-native,"Non-Native. cell_line=dermal fibroblasts, passage number=2, source name=dermal fibroblasts",LLM (Fallback)
SRX23335291,unknown,0,No relevant keywords,native,"Native. Cell type=CD4+ T cells, source_name=CD4 T-cells",LLM (Fallback)
SRX23383574,non-native,95,"Highest weight keyword: 'neonatal' (category: strong_non_native, score: 100.0). Matches found: 'neonatal' in 'cell line' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX23548768,native,50,"Highest weight keyword: 'control' (category: weak_native, score: 100.0). Matches found: 'control' in 'genotype' (weak_native/100.0)",native,"Native. cell type=vascular smooth muscle cells, control genotype",LLM (Native Validation)
SRX23548770,non-native,95,"Highest weight keyword: 'overexpression' (category: strong_non_native, score: 80.0). Matches found: 'overexpression' in 'genotype' (strong_non_native/80.0)",non-native,,Keyword (Non-Native)
