ID,keyword_classification,keyword_confidence,keyword_reason,final_classification,llm_reason,classification_method
DRX440344,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. Cell_type=CD4+ T cells,LLM
DRX440349,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. Cell_type=CD4+ T cells,LLM
SRX017709,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. Cell_type=CD4+ T cells,LLM
SRX037935,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. condition=CD34 WT,LLM
SRX037940,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. condition=BRG1 RNAi KD,LLM
SRX037941,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. condition=BRG1 KD,LLM
SRX10977238,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. dev_stage=newborn,LLM
SRX10977366,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. dev stage=embryonic,LLM
SRX11513464,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. source_name=Dendritic cells differentiated from monocytes,LLM
SRX11513465,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. source_name=Tolerogenic dendritic cells differentiated from monocytes,LLM
SRX12118509,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. Cell_type=Naive B cells,LLM
SRX12129506,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=PLX,LLM
SRX12209241,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. source_name=CD3/CD28 stimulated CD4+ T cells,LLM
SRX13006802,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. dev stage=adult, age=74 year",LLM
SRX14280059,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. disease state=NAFLD,LLM
SRX14280087,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. disease state=Normal control,LLM
SRX15717771,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. cell type=Primary human islets,LLM
SRX16495661,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. sample type=primary cell,LLM
SRX16495697,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. dev stage=adult,LLM
SRX170349,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. genotype/variation=wild type, developmental stage=Adult",LLM
SRX1738529,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. Cell_type=Hematopoietic Stem Cells,LLM
SRX18672589,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. cell line=C20,LLM
SRX18672592,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell line=C20, treatment=CTCF-KD",LLM
SRX18768994,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. cell type=Human primary adipose stem cells,LLM
SRX18768997,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. cell type=Human primary adipose stem cells,LLM
SRX19123217,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. cell line=Human B lymphocytes,LLM
SRX212182,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. source_name=fetal lung fibroblast,LLM
SRX212351,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. treatment=none,LLM
SRX212353,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. treatment=none,LLM
SRX2166886,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. age=fetal week 15,LLM
