ID	Transcription_Factor	Cell_type_class	Cell_type	Metadata
DRX440344	EZH2	Blood	CD4+ T cells	sample_name=ChIPseq EZH2 of hCD4 | age=not applicable | cell_type=CD4 positive T cell | isolate=not applicable | tissue=PBMC
DRX440349	EZH2	Blood	CD4+ T cells	sample_name=ChIPseq EZH2 of TL-Om1 | age=not applicable | cell_type=CD4 positive T cell | isolate=not applicable | tissue=not applicable
SRX037940	GATA1	Blood	CD36+	source_name=CD36 | condition=BRG1 RNAi KD
SRX037941	GATA1	Blood	CD36+	source_name=CD36 | condition=BRG1 KD shLuc control
SRX10977238	CTCF	Epidermis	Foreskin	sample_type=primary cell | cell type=foreskin keratinocyte | dev_stage=newborn | age=2-4 day | donor ID=ENCDO615NVN | treatments=treatment_term_id: CHEBI:86158; treatment_term_name: calcium; treatment_type: chemical; duration: 5.5; duration_units: day; | health state=Healthy | passage number=2
SRX10977366	CTCF	Neural	Brain	sample type=organoid | tissue=brain | health state=healthy | dev stage=embryonic | age=5 day | donor ID=ENCDO222AAA
SRX11513464	NR3C1	Blood	Dendritic Cells	source_name=Dendritic cells differentiated from monocytes 24 hours (replicate B) | cell type=DC | individual=donor B | time=24 hours differentiation
SRX11513465	NR3C1	Blood	Dendritic Cells	source_name=Tolerogenic dendritic cells differentiated from monocytes 24 hours (replicate B) | cell type=tolDC | individual=donor B | time=24 hours differentiation
SRX12129506	BRD4	Blood	T cells	source_name=Blood | cell type=T cells | treatment=PLX
SRX12209241	NFKB1	Blood	CD4+ T cells	source_name=CD3/CD28 stimulated CD4+ T cells | cell type=CD4+ T cells | case or control=Control | age=53
SRX14280059	LMNB1	Liver	Liver	source_name=Liver | tissue=liver | disease state=NAFLD
SRX16495661	CTCF	Blood	CD8+ T cells	age=21 year | sample type=primary cell | cell type=CD8-positive, alpha-beta T cell | dev stage=adult | donor ID=ENCDO781BMZ
SRX1738529	CTCF	Blood	Hematopoietic Stem Cells	source_name=Human Stem and Progenitor Cell | cell type=HSPC
SRX18672589	CTCF	Neural	Microglia	source_name=Microglia | cell line=C20 | treatment=untreated
SRX18672592	CTCF	Neural	Microglia	source_name=Microglia | cell line=C20 | treatment=CTCF-KD
SRX18768994	LMNA	Adipocyte	Adipose stem cells	source_name=Adipose | cell type=Human primary adipose stem cells | tissue=Adipose | time=Day 0 | replicate=Rep2
SRX18768997	LMNA	Adipocyte	Adipose stem cells	source_name=Adipose | cell type=Human primary adipose stem cells | tissue=Adipose | time=Day 3 | replicate=Rep1
SRX212182	RELA	Lung	Lung fibroblasts	source_name=fetal lung fibroblast | treatment=no treat | experiment=ChIP-seq | restriction enzyme=no
SRX212351	HIF1A	Blood	Macrophages	source_name=macrophage | donor=1 | stress=Normoxy 20% O2 | treatment=none
SRX2166886	BRD4	Neural	Retina	source_name=retina | age=fetal week 15
SRX2253219	CD74	Blood	B cells	source_name=Cll cells | diagnosis=CLL | patient number=p1 | patient age=71 | patient sex=Male | disease level=Binet B | activation=CD74 | cell type=B cells
SRX2268292	CHD1	Bone	Osteoblasts	source_name=Fetal osteoblast | differentiation-induction=Undifferentiated
SRX23335286	EZH2	Epidermis	Foreskin	source_name=foreskin fibroblasts | cell type=foreskin fibroblasts | age=0 | passage number=2
SRX23335289	EZH2	Epidermis	Dermal fibroblast	source_name=dermal fibroblasts | cell type=dermal fibroblasts | age=97 | passage number=2
SRX23335290	EZH2	Epidermis	Dermal fibroblast	source_name=dermal fibroblasts | cell type=dermal fibroblasts | age=86 | passage number=2
SRX23335291	EZH2	Blood	CD4+ T cells	source_name=CD4 T-cells | cell type=CD4 T-cells | age=23 | passage number=None
SRX23383574	TP63	Epidermis	Keratinocytes	source_name=epidermis | tissue=epidermis | cell line=primary, neonatal keratinocytes | cell type=progenitor
SRX23548770	TP53	Cardiovascular	Vascular smooth muscle cells	source_name=vascular smooth muscle cell | cell type=vascular smooth muscle cell | genotype=miR-1204 overexpression
SRX25152580	NELFA	Blood	CD4+ T cells	source_name=Blood | tissue=Blood | cell type=CD4+ Teff | genotype=MED12-KO | condition=Rest | donor=D5
SRX25331425	MYCN	Neural	Brain	source_name=Brain | tissue=Brain | cell line=ICR_CXJ_046 | genotype=DHG-G34
SRX25501815	LMNA	Epidermis	Dermal fibroblast	source_name=skin | tissue=skin | cell line=HDF-2 | cell type=Human dermal fibroblasts | treatment=With AR silencing
