ID,keyword_classification,keyword_confidence,keyword_reason,final_classification,llm_reason,classification_method
DRX440344,unknown,0,No relevant keywords,non-native,Non-Native. Cell_type_class=Blood | Cell_type=CD4+ T cells | Metadata=sample_name=ChIPseq EZH2 of hCD4,LLM (Fallback)
DRX440349,unknown,0,No relevant keywords,non-native,"Non-Native. cell_type_class=Blood, Cell_type=CD4+ T cells, sample_name=ChIPseq EZH2 of TL-Om1",LLM (Fallback)
SRX017709,unknown,0,No relevant keywords,native,"Native. source_name=CD4+ T cell, treatment=n/a",LLM (Fallback)
SRX037935,native,50,"Highest weight keyword: 'wt' (category: weak_native, score: 100.0). Matches found: 'wt' in 'condition' (weak_native/100.0)",native,Native. condition=CD34 WT,LLM (Native Validation)
SRX037940,non-native,95,"Highest weight keyword: 'RNAi' (category: strong_non_native, score: 100.0). Matches found: 'RNAi' in 'condition' (strong_non_native/100.0); 'kd' in 'condition' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX037941,non-native,95,"Highest weight keyword: 'kd' (category: strong_non_native, score: 100.0). Matches found: 'kd' in 'condition' (strong_non_native/100.0); 'control' in 'condition' (weak_native/100.0)",non-native,,Keyword (Non-Native)
SRX10977238,unknown,0,No relevant keywords,non-native,Non-Native. dev_stage=newborn | age=2-4 day | donor ID=ENCDO615NVN,LLM (Fallback)
SRX10977366,non-native,95,"Highest weight keyword: 'embryonic' (category: strong_non_native, score: 100.0). Matches found: 'embryonic' in 'dev stage' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX11513464,native,50,"Highest weight keyword: 'donor' (category: weak_native, score: 100.0). Matches found: 'donor' in 'individual' (weak_native/100.0)",non-native,"Non-Native. individual=donor B, cell type=DC, time=24 hours differentiation",LLM (Native Validation)
SRX11513465,native,50,"Highest weight keyword: 'donor' (category: weak_native, score: 100.0). Matches found: 'donor' in 'individual' (weak_native/100.0)",non-native,Non-Native. ,LLM (Native Validation)
SRX12118509,unknown,0,No relevant keywords,native,Native. Cell_type_class=Blood | Cell_type=Naive B cells | source_name=naïve B-cells,LLM (Fallback)
SRX12129506,unknown,0,No relevant keywords,non-native,"Non-Native. treatment=PLX, Cell_type=T cells, source_name=Blood",LLM (Fallback)
SRX12209241,non-native,95,"Highest weight keyword: 'stimulated' (category: strong_non_native, score: 83.33333333333334). Matches found: 'stimulated' in 'source_name' (strong_non_native/83.33333333333334); 'control' in 'case or control' (weak_native/100.0)",non-native,,Keyword (Non-Native)
SRX13006802,unknown,0,No relevant keywords,non-native,"Non-Native. donor ID=ENCDO907CMO, age=74 year",LLM (Fallback)
SRX14280059,unknown,0,No relevant keywords,non-native,"Non-Native. disease state=NAFLD, source_name=Liver, tissue=liver",LLM (Fallback)
