ID,keyword_classification,keyword_confidence,keyword_reason,final_classification,llm_reason,classification_method
DRX440344,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. sample_name=ChIPseq EZH2,LLM
DRX440349,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. EZH2 of TL-Om1,LLM
SRX017709,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. Cell_type=CD4+ T cells, cell type=activated CD4+ T cell",LLM
SRX037935,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. condition=CD34 WT,LLM
SRX037940,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. condition=BRG1 RNAi KD,LLM
SRX037941,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. condition=BRG1 KD,LLM
SRX10977238,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatments=treatment_term_id: CHEBI:86158; treatment_term_name: calcium,LLM
SRX10977366,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. dev stage=embryonic,LLM
SRX11513464,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. source_name=Dendritic cells differentiated from monocytes 24 hours,LLM
SRX11513465,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. Cell_type=Dendritic Cells | Metadata=source_name=Tolerogenic dendritic cells differentiated from monocytes 24 hours,LLM
SRX12118509,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. knock down=NA,LLM
SRX12129506,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=PLX,LLM
SRX12209241,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. case or control=Control,LLM
SRX13006802,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. sample_type=tissue, dev stage=adult, age=74 year",LLM
SRX14280059,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. disease state=NAFLD,LLM
SRX14280087,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. disease state=Normal control,LLM
SRX15717771,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. treatment=untreated,LLM
SRX16495661,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. Cell_type_class=Blood | Cell_type=CD8+ T cells | sample type=primary cell | dev stage=adult,LLM
SRX16495697,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. sample type=tissue | dev stage=adult | donor ID=ENCDO470GFA | age=90 or above year,LLM
SRX170349,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype/variation=wild type,LLM
SRX1738529,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. cell type=HSPC,LLM
SRX18672589,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. cell line=C20,LLM
SRX18672592,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell line=C20, treatment=CTCF-KD",LLM
SRX18768994,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. cell type=Human primary adipose stem cells,LLM
SRX18768997,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. cell type=Human primary adipose stem cells,LLM
SRX19123217,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. disease state=healthy control | cell line=Human B lymphocytes,LLM
SRX212182,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. source_name=fetal,LLM
