ID,keyword_classification,keyword_confidence,keyword_reason,final_classification,llm_reason,classification_method
DRX044425,unknown,0,No relevant keywords,non-native,Non-Native. cell_line=ED cells,LLM (Fallback)
DRX044426,unknown,0,No relevant keywords,non-native,Non-Native. cell_line=ED cells,LLM (Fallback)
DRX440344,unknown,0,No relevant keywords,non-native,Non-Native. sample_name=ChIPseq EZH2 of hCD4,LLM (Fallback)
DRX440349,unknown,0,No relevant keywords,non-native,Non-Native. sample_name=ChIPseq EZH2 of TL-Om1,LLM (Fallback)
DRX440350,unknown,0,No relevant keywords,non-native,Non-Native. sample_name=ChIPseq TAp73 of TL-Om1,LLM (Fallback)
DRX486779,unknown,0,No relevant keywords,native,Native. Cell_type=CD4+ T cells,LLM (Fallback)
DRX486781,unknown,0,No relevant keywords,native,Native. Cell_type_class=Blood | Cell_type=CD4+ T cells | cell_type=CD4 positive T cell,LLM (Fallback)
DRX486783,unknown,0,No relevant keywords,native,Native. cell_type=CD4+ T cells,LLM (Fallback)
ERX200492,unknown,0,Metadata column empty,native,Native. B cells,LLM (Fallback)
SRX003794,unknown,0,No relevant keywords,native,Native. cell type=primary CD4+ T cells,LLM (Fallback)
SRX017698,unknown,0,No relevant keywords,native,Native. treatment=n/a,LLM (Fallback)
SRX017699,unknown,0,No relevant keywords,native,Native. sirna=n/a | treatment=n/a,LLM (Fallback)
SRX017700,unknown,0,No relevant keywords,native,Native. treatment=n/a,LLM (Fallback)
SRX017701,unknown,0,No relevant keywords,native,Native. treatment=n/a,LLM (Fallback)
SRX017702,unknown,0,No relevant keywords,native,Native. sirna=n/a | treatment=n/a,LLM (Fallback)
SRX017703,unknown,0,No relevant keywords,native,Native. sirna=n/a | treatment=n/a,LLM (Fallback)
SRX017704,unknown,0,No relevant keywords,native,Native. sirna=n/a | treatment=n/a,LLM (Fallback)
SRX017705,unknown,0,No relevant keywords,native,Native. sirna=n/a | treatment=n/a,LLM (Fallback)
SRX017706,unknown,0,No relevant keywords,native,Native. sirna=n/a | treatment=n/a,LLM (Fallback)
SRX017709,unknown,0,No relevant keywords,native,Native. Cell_type_class=Blood | Cell_type=CD4+ T cells | Metadata=source_name=CD4+ T cell | cell type=activated CD4+ T cell | sirna=n/a | treatment=n/a,LLM (Fallback)
SRX017710,unknown,0,No relevant keywords,native,Native. treatment=n/a,LLM (Fallback)
SRX018991,unknown,0,No relevant keywords,native,Native. cell line=primary cells,LLM (Fallback)
SRX019498,unknown,0,No relevant keywords,non-native,Non-Native. cell type=Adipose stromal cell (ASC) pre-adipocyte,LLM (Fallback)
SRX019505,unknown,0,No relevant keywords,non-native,Non-Native. Metadata=ChIP,LLM (Fallback)
SRX019520,unknown,0,No relevant keywords,non-native,Non-Native. source_name=hASC,LLM (Fallback)
SRX019786,unknown,0,No relevant keywords,native,"Native. source_name=primary keratinocyte, cell line=primary cells",LLM (Fallback)
SRX021983,unknown,0,No relevant keywords,native,Native. Cell_type=Erythroblasts,LLM (Fallback)
SRX026653,native,50,"Highest weight keyword: 'normal' (category: weak_native, score: 75.0). Matches found: 'normal' in 'source_name' (weak_native/75.0); 'normal' in 'disease state' (weak_native/100.0)",native,Native. disease state=normal | treatment=no,LLM (Native Validation)
SRX026659,non-native,95,"Highest weight keyword: 'leukemic' (category: strong_non_native, score: 84.21052631578947). Matches found: 'leukemic' in 'source_name' (strong_non_native/84.21052631578947); 'leukemic' in 'disease state' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX026660,non-native,95,"Highest weight keyword: 'leukemic' (category: strong_non_native, score: 84.21052631578947). Matches found: 'leukemic' in 'source_name' (strong_non_native/84.21052631578947); 'leukemic' in 'disease state' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX026719,unknown,0,No relevant keywords,non-native,Non-Native. sonication cycles=15,LLM (Fallback)
SRX027401,unknown,0,No relevant keywords,non-native,Non-Native. Cell_type_class=Adipocyte | cell type=Mesenchymal stem cells-derived adipocytes,LLM (Fallback)
SRX027402,unknown,0,No relevant keywords,non-native,Non-Native. cell type=Mesenchymal stem cells-derived adipocytes,LLM (Fallback)
SRX027403,unknown,0,No relevant keywords,non-native,Non-Native. cell type=Mesenchymal stem cells-derived,LLM (Fallback)
SRX029315,unknown,0,No relevant keywords,native,Native. Cell_type=CD34 Hematopoietic stem cells,LLM (Fallback)
SRX029433,unknown,0,No relevant keywords,non-native,Non-Native. source_name=Megakaryocytes | cell type=megakaryocytes cultured from cord blood CD34-positive cells,LLM (Fallback)
SRX029434,unknown,0,No relevant keywords,non-native,Non-Native. cultured,LLM (Fallback)
SRX029435,unknown,0,No relevant keywords,non-native,Non-Native. cord blood,LLM (Fallback)
SRX029436,unknown,0,No relevant keywords,non-native,Non-Native. cord blood,LLM (Fallback)
SRX029437,unknown,0,No relevant keywords,non-native,Non-Native. cell type=megakaryocytes cultured from cord blood CD34-positive cells,LLM (Fallback)
SRX029598,unknown,0,No relevant keywords,native,Native. Primary pro-erythroblasts derived ex vivo from CD34+ multipotential hematopoietic progenitors,LLM (Fallback)
SRX032595,unknown,0,No relevant keywords,native,Native. CD4+ T cells,LLM (Fallback)
SRX032596,unknown,0,No relevant keywords,non-native,Non-Native. Metadata=YY1 ChIP,LLM (Fallback)
SRX032874,unknown,0,No relevant keywords,native,Native. Cell_type_class=Liver | Cell_type=Liver | Metadata=source_name=Homogenized Human Liver | cell type=Liver tissue,LLM (Fallback)
SRX037935,native,50,"Highest weight keyword: 'wt' (category: weak_native, score: 100.0). Matches found: 'wt' in 'condition' (weak_native/100.0)",native,Native. genotype=CD34 WT,LLM (Native Validation)
SRX037936,non-native,95,"Highest weight keyword: 'kd' (category: strong_non_native, score: 100.0). Matches found: 'kd' in 'condition' (strong_non_native/100.0); 'control' in 'condition' (weak_native/100.0)",non-native,,Keyword (Non-Native)
SRX037937,non-native,95,"Highest weight keyword: 'RNAi' (category: strong_non_native, score: 100.0). Matches found: 'RNAi' in 'condition' (strong_non_native/100.0); 'kd' in 'condition' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX037938,non-native,95,"Highest weight keyword: 'RNAi' (category: strong_non_native, score: 100.0). Matches found: 'RNAi' in 'condition' (strong_non_native/100.0); 'kd' in 'condition' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX037939,non-native,95,"Highest weight keyword: 'kd' (category: strong_non_native, score: 100.0). Matches found: 'kd' in 'condition' (strong_non_native/100.0); 'control' in 'condition' (weak_native/100.0)",non-native,,Keyword (Non-Native)
SRX037940,non-native,95,"Highest weight keyword: 'RNAi' (category: strong_non_native, score: 100.0). Matches found: 'RNAi' in 'condition' (strong_non_native/100.0); 'kd' in 'condition' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX037941,non-native,95,"Highest weight keyword: 'kd' (category: strong_non_native, score: 100.0). Matches found: 'kd' in 'condition' (strong_non_native/100.0); 'control' in 'condition' (weak_native/100.0)",non-native,,Keyword (Non-Native)
SRX037946,native,50,"Highest weight keyword: 'wt' (category: weak_native, score: 100.0). Matches found: 'wt' in 'condition' (weak_native/100.0)",native,Native. condition=CD34 WT,LLM (Native Validation)
