ID	Transcription_Factor	Cell_type_class	Cell_type	Metadata
DRX486779	SMAD3	Blood	CD4+ T cells	sample_name=ChIP-seq_ED-pSmad3 | age=not applicable | cell_type=CD4 positive T cell | isolate=not applicable | tissue=not applicable
DRX486781	SMAD3	Blood	CD4+ T cells	sample_name=ChIP-seq_MT1-pSmad3 | age=not applicable | cell_type=CD4 positive T cell | isolate=not applicable | tissue=not applicable
DRX486783	SMAD3	Blood	CD4+ T cells	sample_name=ChIP-seq_Hut78-pSmad3 | age=not applicable | cell_type=CD4 positive T cell | isolate=not applicable | tissue=not applicable
ERX200492	CTCF	Blood	B cells	
SRX003794	CTCF	Blood	CD4+ T cells	cell type=primary CD4+ T cells
SRX017698	CREBBP	Blood	CD4+ T cells	source_name=CD4+ T cell | cell type=CD4+ T cell | sirna=n/a | treatment=n/a
SRX017699	EP300	Blood	CD4+ T cells	source_name=CD4+ T cell | cell type=CD4+ T cell | sirna=n/a | treatment=n/a
SRX017700	KAT2B	Blood	CD4+ T cells	source_name=CD4+ T cell | cell type=CD4+ T cell | sirna=n/a | treatment=n/a
SRX017701	KAT8	Blood	CD4+ T cells	source_name=CD4+ T cell | cell type=CD4+ T cell | sirna=n/a | treatment=n/a
SRX017702	KAT5	Blood	CD4+ T cells	source_name=CD4+ T cell | cell type=CD4+ T cell | sirna=n/a | treatment=n/a
SRX017703	HDAC1	Blood	CD4+ T cells	source_name=CD4+ T cell | cell type=CD4+ T cell | sirna=n/a | treatment=n/a
SRX017704	HDAC2	Blood	CD4+ T cells	source_name=CD4+ T cell | cell type=CD4+ T cell | sirna=n/a | treatment=n/a
SRX017705	HDAC3	Blood	CD4+ T cells	source_name=CD4+ T cell | cell type=CD4+ T cell | sirna=n/a | treatment=n/a
SRX017706	HDAC6	Blood	CD4+ T cells	source_name=CD4+ T cell | cell type=CD4+ T cell | sirna=n/a | treatment=n/a
SRX017709	KAT5	Blood	CD4+ T cells	source_name=CD4+ T cell | cell type=activated CD4+ T cell | sirna=n/a | treatment=n/a
SRX017710	HDAC6	Blood	CD4+ T cells	source_name=CD4+ T cell | cell type=CD4+ T cell | sirna=n/a | treatment=n/a
SRX018991	TP63	Epidermis	Keratinocytes	source_name=primary keratinocyte | tissue=epidermis | cell line=primary cells | cell type=keratinocytes
SRX019786	TP63	Epidermis	Keratinocytes	source_name=primary keratinocyte | tissue=epidermis | cell line=primary cells | cell type=keratinocytes
SRX021983	ATRX	Blood	Erythroblasts	source_name=Human Cultured Primary Erythroblasts | cell type=Human Cultured Primary Erythroblasts
SRX026653	ERG	Blood	CD34 Hematopoietic stem cells	source_name=CD34+ nr29 (normal) | cell type=hematopoietic cell | disease state=normal | treatment=no
SRX029315	GABPA	Blood	CD34 Hematopoietic stem cells	source_name=CD34+CD133+ hematopoietic progenitor cells (HPCs) | cell type=CD34+CD133+ hematopoietic progenitor cells (HPCs)
SRX029598	TAL1	Blood	CD34 Hematopoietic stem cells	source_name=Primary pro-erythroblasts derived ex vivo from CD34+ multipotential hematopoietic progenitors | cell type=Pro-erythroblasts
SRX032595	HMGN1	Blood	CD4+ T cells	source_name=CD4+ T cells, HMGN1 ChIP | cell type=CD4+ T cells
SRX032874	FOXA2	Liver	Liver	source_name=Homogenized Human Liver | cell type=Liver tissue
SRX037935	CTCF	Blood	CD34+	source_name=CD34 | condition=CD34 WT
SRX037946	SMARCA4	Blood	CD34+	source_name=CD34 | condition=CD34 WT
SRX037947	SMARCA4	Blood	CD36+	source_name=CD36 | condition=CD36 WT
SRX038915	MEIS1	Blood	Hematopoietic Stem Cells	source_name=Hematopoietic Stem &amp; Progenitor Cells, MEIS1 ChIP | cell type=CD133+ expanded umbilical cord blood (UCB) cells | cell number=3 million | biological replicate=2
SRX041286	STAT1	Blood	T cells	source_name=T cell | cell type=T cell | treatment=control
SRX041288	STAT4	Blood	T cells	source_name=T cell | cell type=T cell | treatment=control
SRX041290	STAT5A	Blood	T cells	source_name=T cell | cell type=T cell | treatment=control
SRX041292	STAT5B	Blood	T cells	source_name=T cell | cell type=T cell | treatment=control
SRX058249	TAL1	Blood	CD34+	source_name=CD34 | condition=CD34 WT
SRX092313	TBX21	Blood	Th1 Cells	source_name=Th1 cells | cell type=Th1 | cell number=100000000
SRX092314	GATA3	Blood	Th1 Cells	source_name=Th1 cells | cell type=Th1 | cell number=100000000
SRX092315	GATA3	Blood	Th2 Cells	source_name=Th2 cells | cell type=Th2 | cell number=100000000
SRX093183	SPI1	Blood	Monocytes	source_name=Blood monocytes | cell type=Blood monocytes
SRX093184	CEBPB	Blood	Monocytes	source_name=Blood monocytes | cell type=Blood monocytes
SRX093189	SPI1	Blood	Macrophages	source_name=Monocyte-derived macrophage | cell type=Monocyte-derived macrophage
SRX093190	CEBPB	Blood	Macrophages	source_name=Monocyte-derived macrophage | cell type=Monocyte-derived macrophage
SRX093191	EGR2	Blood	Macrophages	source_name=Monocyte-derived macrophage | cell type=Monocyte-derived macrophage
SRX099628	EP300	Cardiovascular	Heart	source_name=HumanAdultHeart_acCBP-p300 | gender=male | developmental stage=adult (45yr) | tissue=heart | catalog/batch number=4771/lot 2
SRX10059515	CEBPD	Others	Fibroblasts	source_name=amnion fibroblasts | cell type=fibroblasts | treatment=untreated | tissue=amnion
SRX1012538	BCL6	Blood	B cells	source_name=germinal center B cells from tonsil tissues | tissue=Germinal center B cells
SRX10131662	CDK9	Lung	Bronchial tracheal epithelial cells	source_name=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC) | cell type=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC) | passage=&lt;10 | ad5 mutant=wt E1A | treatment=none
SRX10131664	NELFCD	Lung	Bronchial tracheal epithelial cells	source_name=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC) | cell type=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC) | passage=&lt;10 | ad5 mutant=wt E1A | treatment=none
SRX10131666	MLLT3	Lung	Bronchial tracheal epithelial cells	source_name=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC) | cell type=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC) | passage=&lt;10 | ad5 mutant=wt E1A | treatment=none
SRX10131668	MLLT1	Lung	Bronchial tracheal epithelial cells	source_name=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC) | cell type=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC) | passage=&lt;10 | ad5 mutant=wt E1A | treatment=none
SRX10131670	BRD4	Lung	Bronchial tracheal epithelial cells	source_name=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC) | cell type=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC) | passage=&lt;10 | ad5 mutant=wt E1A | treatment=none
SRX10131678	MLLT3	Lung	Bronchial tracheal epithelial cells	source_name=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC) | cell type=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC) | passage=&lt;10 | ad5 mutant=wt E1A | treatment=DMSO
SRX10131680	MLLT1	Lung	Bronchial tracheal epithelial cells	source_name=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC) | cell type=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC) | passage=&lt;10 | ad5 mutant=wt E1A | treatment=DMSO
SRX10131682	BRD4	Lung	Bronchial tracheal epithelial cells	source_name=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC) | cell type=Primary Human Bronchial/Tracheal Epithelial Cells (HBTEC) | passage=&lt;10 | ad5 mutant=wt E1A | treatment=DMSO
SRX10145207	REL	Blood	CD4+ T cells	source_name=Freshly isolated naive CD4 T cells from a pool of three healthy donors PBMCs | diagnosis=Healthy | cell type=Naive CD4 T cells | treatment=NS
SRX10145210	REL	Blood	Naive B cells	source_name=Freshly isolated naive B cells from a pool of three healthy donors PBMCs | diagnosis=Healthy | cell type=Naive B cells | treatment=NS
SRX1027437	CEBPB	Others	Mesenchymal stem cells	source_name=hMSC | cell type=Human Mesenchymal Stem Cells
SRX1027440	NR3C1	Others	Mesenchymal stem cells	source_name=hMSC | cell type=Human Mesenchymal Stem Cells
SRX1027443	CEBPB	Others	Mesenchymal stem cells	source_name=hMSC | cell type=Human Mesenchymal Stem Cells
SRX1027448	CEBPB	Others	Mesenchymal stem cells	source_name=hMSC | cell type=Human Mesenchymal Stem Cells
SRX1027451	ATF4	Others	Mesenchymal stem cells	source_name=hMSC | cell type=Human Mesenchymal Stem Cells
