ID	Transcription_Factor	Cell_type_class	Cell_type	Metadata
DRX044425	CTCF	Blood	T cells	sample_name=003_ED_ChIP_CTCF_1 | cell_line=ED cells | cell_type=T cell | replicate=biological replicate 1
DRX044426	CTCF	Blood	T cells	sample_name=004_ED_ChIP_CTCF_2 | cell_line=ED cells | cell_type=T cell | replicate=biological replicate 2
DRX440344	EZH2	Blood	CD4+ T cells	sample_name=ChIPseq EZH2 of hCD4 | age=not applicable | cell_type=CD4 positive T cell | isolate=not applicable | tissue=PBMC
DRX440349	EZH2	Blood	CD4+ T cells	sample_name=ChIPseq EZH2 of TL-Om1 | age=not applicable | cell_type=CD4 positive T cell | isolate=not applicable | tissue=not applicable
DRX440350	TP73	Blood	CD4+ T cells	sample_name=ChIPseq TAp73 of TL-Om1 | age=not applicable | cell_type=CD4 positive T cell | isolate=not applicable | tissue=not applicable
SRX019498	CTCF	Adipocyte	Adipose stromal cell	source_name=hASC, ChIP | cell type=Adipose stromal cell (ASC) pre-adipocyte
SRX019505	CTCF	Adipocyte	Adipose stromal cell	source_name=hASC, ChIP | cell type=Adipose stromal cell (ASC) adipocyte
SRX019520	PPARG	Adipocyte	Adipose stromal cell	source_name=hASC, ChIP | cell type=Adipose stromal cell (ASC) adipocyte
SRX026659	ERG	Blood	Hematopoietic cells	source_name=UAE (leukemic) | cell type=hematopoietic cell | disease state=leukemic | treatment=no
SRX026660	ERG	Blood	Hematopoietic cells	source_name=UAE (leukemic) | cell type=hematopoietic cell | disease state=leukemic | treatment=5 hrs zinc
SRX026719	CTCF	Pancreas	Pancreatic islets	source_name=Pancreatic islets | tissue=Pancreatic islets | sonication cycles=15
SRX027401	E2F4	Adipocyte	Adipocytes	source_name=Adipocytes | strain=Fully differentiated | cell type=Mesenchymal stem cells-derived adipocytes | passages=less than 7 | catalogue number=sc-1082X | lot number=A2909
SRX027402	CEBPA	Adipocyte	Adipocytes	source_name=Adipocytes | strain=Fully differentiated | cell type=Mesenchymal stem cells-derived adipocytes | passages=less than 7 | catalogue number=sc-9314X | lot number=F1609
SRX027403	HSF1	Adipocyte	Adipocytes	source_name=Adipocytes | strain=Fully differentiated | cell type=Mesenchymal stem cells-derived adipocytes | passages=less than 7 | catalogue number=sc-9144X | lot number=L0407
SRX029433	GATA1	Blood	CD34+	source_name=Megakaryocytes | cell type=megakaryocytes cultured from cord blood CD34-positive cells
SRX029434	GATA2	Blood	CD34+	source_name=Megakaryocytes | cell type=megakaryocytes cultured from cord blood CD34-positive cells
SRX029435	RUNX1	Blood	CD34+	source_name=Megakaryocytes | cell type=megakaryocytes cultured from cord blood CD34-positive cells
SRX029436	FLI1	Blood	CD34+	source_name=Megakaryocytes | cell type=megakaryocytes cultured from cord blood CD34-positive cells
SRX029437	TAL1	Blood	CD34+	source_name=Megakaryocytes | cell type=megakaryocytes cultured from cord blood CD34-positive cells
SRX032596	YY1	Blood	CD4+ T cells	source_name=CD4+ T cells, YY1 ChIP | cell type=CD4+ T cells
SRX037936	CTCF	Blood	CD36+	source_name=CD36 | condition=BRG1 KD shLuc control
SRX037937	CTCF	Blood	CD36+	source_name=CD36 | condition=BRG1 RNAi KD
SRX037938	TAL1	Blood	CD36+	source_name=CD36 | condition=BRG1 RNAi KD
SRX037939	TAL1	Blood	CD36+	source_name=CD36 | condition=BRG1 KD shLuc control
SRX037940	GATA1	Blood	CD36+	source_name=CD36 | condition=BRG1 RNAi KD
SRX037941	GATA1	Blood	CD36+	source_name=CD36 | condition=BRG1 KD shLuc control
SRX038908	TAL1	Blood	Hematopoietic Stem Cells	source_name=Hematopoietic Stem &amp; Progenitor Cells, TAL1 ChIP | cell type=CD133+ expanded umbilical cord blood (UCB) cells | cell number=3 million | biological replicate=2
SRX038910	SPI1	Blood	Hematopoietic Stem Cells	source_name=Hematopoietic Stem &amp; Progenitor Cells, Pu.1 ChIP | cell type=CD133+ expanded umbilical cord blood (UCB) cells | cell number=3 million | biological replicate=1
SRX038912	IKZF1	Blood	Hematopoietic Stem Cells	source_name=Hematopoietic Stem &amp; Progenitor Cells, Ikaros ChIP | cell type=CD133+ expanded umbilical cord blood (UCB) cells | cell number=3 million | biological replicate=1
SRX038914	MEIS1	Blood	Hematopoietic Stem Cells	source_name=Hematopoietic Stem &amp; Progenitor Cells, MEIS1 ChIP | cell type=CD133+ expanded umbilical cord blood (UCB) cells | cell number=3 million | biological replicate=1
SRX038916	MEIS1	Blood	Hematopoietic Stem Cells	source_name=Hematopoietic Stem &amp; Progenitor Cells, MEIS1 ChIP | cell type=CD133+ expanded umbilical cord blood (UCB) cells | cell number=3 million | biological replicate=1
SRX041287	STAT1	Blood	T cells	source_name=T cell | cell type=T cell | treatment=IFNg
SRX041289	STAT4	Blood	T cells	source_name=T cell | cell type=T cell | treatment=IL-12
SRX041291	STAT5A	Blood	T cells	source_name=T cell | cell type=T cell | treatment=IL-2
SRX041293	STAT5B	Blood	T cells	source_name=T cell | cell type=T cell | treatment=IL-2
SRX062339	RUNX1	Blood	CD34+	source_name=Peripheral blood MNC CD34+ from non-t(8;21)AML patient | cell type=Peripheral blood MNC CD34+ | target=RUNX1
SRX067535	CTCF	Bone	Osteobl	source_name=Osteobl | lab description=Bernstein - Broad Institute | datatype=ChipSeq | datatype description=Chromatin IP Sequencing | cell organism=human | cell description=osteoblasts (NHOst) | cell lineage=mesoderm | cell sex=U | treatment=None | treatment description=No special treatment or protocol applies | control=std | control description=Standard input signal for most experiments. | controlid=wgEncodeEH001056 | replicate=1,2
SRX079858	NFKBIA	Epidermis	Keratinocytes	source_name=primary epidermal keratinocytes; normal, human neonatal foreskin (origin: ATCCA® ref. PCS-200-010) | cell type=primary epidermal keratinocyte | cell differentiation protocol=normal undifferentiated keratinocytes
SRX097067	GATA1	Blood	CD34+	source_name=GATA1 ChIP-seq CD34 erythroid BIO | cell type=Pro-erythroblasts
SRX097069	GATA1	Blood	CD34+	source_name=GATA1 ChIP-seq CD34 erythroid BMP | cell type=Pro-erythroblasts
SRX097071	SMAD1	Blood	CD34+	source_name=SMAD1 ChIP-seq CD34 ertyhroid BMP | cell type=Pro-erythroblasts
SRX097072	SMAD1	Blood	CD34 Hematopoietic stem cells	source_name=SMAD1 ChIP-seq CD34+ progenitors BMP | cell type=Hematopoietic Stem &amp; Progenitor Cells
SRX097074	TCF7L2	Blood	CD34 Hematopoietic stem cells	source_name=TCF7L2 ChIP-seq CD34 progenitors BIO | cell type=Hematopoietic Stem &amp; Progenitor Cells
SRX099053	TP63	Epidermis	Keratinocytes	source_name=p63_IP | cell type=Human neonatal foreskin keratinocytes
SRX099629	EP300	Cardiovascular	Heart	source_name=HumanFetaltHeart_acCBP-p300 | developmental stage=fetus (gestational week 16) | tissue=heart | catalog/batch number=4771/lot 2
SRX100320	GATA2	Blood	CD34 Hematopoietic stem cells	source_name=GATA2 ChIP-seq CD34+ progenitors BMP | cell type=Hematopoietic Stem &amp; Progenitor Cells
