ID,keyword_classification,keyword_confidence,keyword_reason,final_classification,llm_reason,classification_method
DRX440344,unknown,0,No relevant keywords,non-native,Non-Native. Metadata=ChIPseq EZH2 of hCD4,LLM (Fallback)
DRX440349,unknown,0,No relevant keywords,non-native,Non-Native. sample_name=ChIPseq EZH2 of TL-Om1,LLM (Fallback)
SRX017709,unknown,0,No relevant keywords,native,Native. activated,LLM (Fallback)
SRX037935,native,50,"Highest weight keyword: 'wt' (category: weak_native, score: 100.0). Matches found: 'wt' in 'condition' (weak_native/100.0)",native,Native. condition=CD34 WT,LLM (Native Validation)
SRX037940,non-native,95,"Highest weight keyword: 'RNAi' (category: strong_non_native, score: 100.0). Matches found: 'RNAi' in 'condition' (strong_non_native/100.0); 'kd' in 'condition' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX037941,non-native,95,"Highest weight keyword: 'kd' (category: strong_non_native, score: 100.0). Matches found: 'kd' in 'condition' (strong_non_native/100.0); 'control' in 'condition' (weak_native/100.0)",non-native,,Keyword (Non-Native)
SRX10977238,unknown,0,No relevant keywords,non-native,Non-Native. treatments=treatment_term_id: CHEBI:86158; treatment_term_name: calcium; treatment_type: chemical; duration: 5.5; duration_units: day;,LLM (Fallback)
SRX10977366,non-native,95,"Highest weight keyword: 'embryonic' (category: strong_non_native, score: 100.0). Matches found: 'embryonic' in 'dev stage' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX11513464,native,50,"Highest weight keyword: 'donor' (category: weak_native, score: 100.0). Matches found: 'donor' in 'individual' (weak_native/100.0)",native,Native. Metadata=source_name=Dendritic cells differentiated from monocytes 24 hours (replicate B),LLM (Native Validation)
SRX11513465,native,50,"Highest weight keyword: 'donor' (category: weak_native, score: 100.0). Matches found: 'donor' in 'individual' (weak_native/100.0)",non-native,Non-Native. Metadata=source_name=Tolerogenic dendritic cells differentiated from monocytes,LLM (Native Validation)
SRX12118509,unknown,0,No relevant keywords,native,Native. knock down=NA,LLM (Fallback)
SRX12129506,unknown,0,No relevant keywords,non-native,Non-Native. treatment=PLX,LLM (Fallback)
SRX12209241,non-native,95,"Highest weight keyword: 'stimulated' (category: strong_non_native, score: 83.33333333333334). Matches found: 'stimulated' in 'source_name' (strong_non_native/83.33333333333334); 'control' in 'case or control' (weak_native/100.0)",non-native,,Keyword (Non-Native)
SRX13006802,unknown,0,No relevant keywords,native,Native. Cell_type=Frontal cortex,LLM (Fallback)
SRX14280059,unknown,0,No relevant keywords,non-native,Non-Native. disease state=NAFLD,LLM (Fallback)
SRX14280087,native,50,"Highest weight keyword: 'normal' (category: weak_native, score: 100.0). Matches found: 'normal' in 'disease state' (weak_native/100.0); 'control' in 'disease state' (weak_native/100.0)",native,Native. disease state=Normal control,LLM (Native Validation)
SRX15717771,native,50,"Highest weight keyword: 'untreated' (category: weak_native, score: 100.0). Matches found: 'untreated' in 'treatment' (weak_native/100.0)",native,Native. treatment=untreated,LLM (Native Validation)
SRX16495661,unknown,0,No relevant keywords,native,"Native. sample type=primary cell, dev stage=adult, age=21 year",LLM (Fallback)
SRX16495697,unknown,0,No relevant keywords,native,Native. dev stage=adult | age=90 or above year,LLM (Fallback)
SRX170349,native,50,"Highest weight keyword: 'wild-type' (category: weak_native, score: 100.0). Matches found: 'wild-type' in 'genotype/variation' (weak_native/100.0)",native,Native. genotype/variation=wild type,LLM (Native Validation)
SRX1738529,unknown,0,No relevant keywords,non-native,Non-Native. source_name=Human Stem and Progenitor Cell,LLM (Fallback)
SRX18672589,native,50,"Highest weight keyword: 'untreated' (category: weak_native, score: 100.0). Matches found: 'untreated' in 'treatment' (weak_native/100.0)",non-native,Non-Native. cell line=C20,LLM (Native Validation)
SRX18672592,unknown,0,No relevant keywords,non-native,Non-Native. cell line=C20 | treatment=CTCF-KD,LLM (Fallback)
SRX18768994,unknown,0,No relevant keywords,native,Native. cell type=Human primary adipose stem cells,LLM (Fallback)
SRX18768997,unknown,0,No relevant keywords,native,Native. cell type=Human primary adipose stem cells,LLM (Fallback)
SRX19123217,native,75,"Highest weight keyword: 'healthy donor' (category: strong_native, score: 76.92307692307692). Matches found: 'healthy donor' in 'disease state' (strong_native/76.92307692307692)",native,Native. disease state=healthy control,LLM (Native Validation)
SRX212182,non-native,95,"Highest weight keyword: 'fetal' (category: strong_non_native, score: 100.0). Matches found: 'fetal' in 'source_name' (strong_non_native/100.0); 'no treatment' in 'treatment' (weak_native/77.77777777777779)",non-native,,Keyword (Non-Native)
SRX212351,unknown,0,No relevant keywords,native,Native. treatment=none,LLM (Fallback)
SRX212353,unknown,0,No relevant keywords,non-native,Non-Native. stress=Hypoxy 1% O2 4 hours,LLM (Fallback)
SRX2166886,non-native,95,"Highest weight keyword: 'fetal' (category: strong_non_native, score: 100.0). Matches found: 'fetal' in 'age' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX2253219,unknown,0,No relevant keywords,non-native,Non-Native. diagnosis=CLL,LLM (Fallback)
SRX2268292,non-native,95,"Highest weight keyword: 'fetal' (category: strong_non_native, score: 100.0). Matches found: 'fetal' in 'source_name' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX23045260,native,50,"Highest weight keyword: 'vehicle' (category: weak_native, score: 100.0). Matches found: 'vehicle' in 'treatment' (weak_native/100.0)",native,Native. treatment=Vehicle,LLM (Native Validation)
SRX23045263,unknown,0,No relevant keywords,non-native,Non-Native. treatment=TGFb,LLM (Fallback)
SRX23335286,unknown,0,No relevant keywords,non-native,Non-Native. age=0,LLM (Fallback)
SRX23335288,unknown,0,No relevant keywords,non-native,Non-Native. passage number=2,LLM (Fallback)
SRX23335289,unknown,0,No relevant keywords,non-native,Non-Native. passage number=2,LLM (Fallback)
SRX23335290,unknown,0,No relevant keywords,non-native,Non-Native. passage number=2,LLM (Fallback)
SRX23335291,unknown,0,No relevant keywords,native,Native. Cell_type=CD4+ T cells,LLM (Fallback)
SRX23383574,non-native,95,"Highest weight keyword: 'neonatal' (category: strong_non_native, score: 100.0). Matches found: 'neonatal' in 'cell line' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX23548768,native,50,"Highest weight keyword: 'control' (category: weak_native, score: 100.0). Matches found: 'control' in 'genotype' (weak_native/100.0)",native,Native. genotype=control,LLM (Native Validation)
SRX23548770,non-native,95,"Highest weight keyword: 'overexpression' (category: strong_non_native, score: 80.0). Matches found: 'overexpression' in 'genotype' (strong_non_native/80.0)",non-native,,Keyword (Non-Native)
SRX25152580,unknown,0,No relevant keywords,non-native,Non-Native. genotype=MED12-KO,LLM (Fallback)
SRX25331425,unknown,0,No relevant keywords,non-native,Non-Native. cell line=ICR_CXJ_046,LLM (Fallback)
SRX25501815,unknown,0,No relevant keywords,non-native,Non-Native. cell line=HDF-2 | treatment=With AR silencing,LLM (Fallback)
SRX2635902,unknown,0,No relevant keywords,native,Native. health state=healthy with non-obstructive CAD (coronary artery disease),LLM (Fallback)
SRX2770856,native,50,"Highest weight keyword: 'untreated' (category: weak_native, score: 100.0). Matches found: 'untreated' in 'source_name' (weak_native/100.0)",native,"Native. untreated, treatment=none",LLM (Native Validation)
SRX2966972,non-native,95,"Highest weight keyword: 'fetal' (category: strong_non_native, score: 100.0). Matches found: 'fetal' in 'source_name' (strong_non_native/100.0); 'fetal' in 'cell type' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX3195440,native,50,"Highest weight keyword: 'control' (category: weak_native, score: 100.0). Matches found: 'control' in 'genotype' (weak_native/100.0); 'untreated' in 'genotype' (weak_native/100.0)",native,Native. genotype=control untreated,LLM (Native Validation)
SRX3322085,unknown,0,No relevant keywords,native,Native. age=37 year | dev_stage=adult,LLM (Fallback)
SRX3584196,unknown,0,No relevant keywords,native,Native. cell type=Primary human epididymis cells,LLM (Fallback)
SRX3585704,non-native,95,"Highest weight keyword: 'fetal' (category: strong_non_native, score: 100.0). Matches found: 'fetal' in 'source_name' (strong_non_native/100.0); 'fetal' in 'cell type' (strong_non_native/100.0); 'donor' in 'donor' (weak_native/100.0); 'wt' in 'genotype' (weak_native/100.0)",non-native,,Keyword (Non-Native)
SRX3666488,non-native,95,"Highest weight keyword: 'stimulated' (category: strong_non_native, score: 86.95652173913044). Matches found: 'stimulated' in 'source_name' (strong_non_native/86.95652173913044); 'stimulated' in 'cell type' (strong_non_native/86.95652173913044)",non-native,,Keyword (Non-Native)
SRX3679898,unknown,0,No relevant keywords,non-native,Non-Native. genotype/variation=shKMT2D,LLM (Fallback)
SRX3679900,unknown,0,No relevant keywords,non-native,Non-Native. genotype/variation=shSC,LLM (Fallback)
SRX3679902,unknown,0,No relevant keywords,non-native,Non-Native. genotype/variation=shKMT2D,LLM (Fallback)
SRX3734300,native,50,"Highest weight keyword: 'DMSO' (category: weak_native, score: 100.0). Matches found: 'DMSO' in 'treatment' (weak_native/100.0)",native,Native. treatment=DMSO,LLM (Native Validation)
SRX3768737,non-native,95,"Highest weight keyword: 'overexpression' (category: strong_non_native, score: 84.84848484848484). Matches found: 'overexpression' in 'genotype/variation' (strong_non_native/84.84848484848484)",non-native,,Keyword (Non-Native)
SRX382353,non-native,95,"Highest weight keyword: 'immortalized' (category: strong_non_native, score: 100.0). Matches found: 'immortalized' in 'cell type' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX393518,unknown,0,No relevant keywords,non-native,Non-Native. treatment=100 ng/ml final TSA,LLM (Fallback)
SRX4370433,unknown,0,No relevant keywords,native,"Native. tissue=brain (anterior temporal cortex), developmental stage=Adult",LLM (Fallback)
SRX4723358,unknown,0,No relevant keywords,non-native,Non-Native. source_name=2 week neuron_homerTF_GATA3_WT126,LLM (Fallback)
SRX5360084,unknown,0,No relevant keywords,native,Native. neoplastic stage=untransformed,LLM (Fallback)
SRX5360094,unknown,0,No relevant keywords,non-native,Non-Native. neoplastic stage=transformed,LLM (Fallback)
SRX5371741,native,50,"Highest weight keyword: 'donor' (category: weak_native, score: 100.0). Matches found: 'donor' in 'individual' (weak_native/100.0)",native,"Native. Cell_type=CD4+ T cells, Metadata=source_name=primary blood",LLM (Native Validation)
SRX5391034,native,50,"Highest weight keyword: 'control' (category: weak_native, score: 100.0). Matches found: 'control' in 'genotype' (weak_native/100.0)",native,Native. genotype=control,LLM (Native Validation)
SRX5391035,non-native,95,"Highest weight keyword: 'kd' (category: strong_non_native, score: 100.0). Matches found: 'kd' in 'genotype' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX5574342,native,50,"Highest weight keyword: 'donor' (category: weak_native, score: 90.9090909090909). Matches found: 'donor' in 'donr id' (weak_native/90.9090909090909)",non-native,Non-Native. Cell_type_class=Blood | Cell_type=Monocytes | Metadata=source_name=cMO_PU.1-ChIP | tissue/cell type=peripheral blood | cell subtype=primary monocytes,LLM (Native Validation)
SRX5624369,unknown,0,No relevant keywords,non-native,Non-Native. treatment=TNF (10ng/ml) for 16 hours,LLM (Fallback)
