ID,keyword_classification,keyword_confidence,keyword_reason,final_classification,llm_reason,classification_method
DRX440382,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. sample_name=ChIPseq EZH2 of WT mouse, strain=C57BL/6J",LLM
ERX204066,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. ArrayExpress-Genotype=Wildtype, ArrayExpress-DevelopmentalStage=Adult",LLM
SRX018602,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=Nrl-/-,LLM
SRX027447,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. genotype/wild-type, source_name=pups testis, strain=9R/13R cross",LLM
SRX028842,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. cell_line=C57BL/6, Bone-marrow-derived macrophages, Brd2_0H_minus",LLM
SRX10462798,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype=Tet2+/-,LLM
SRX105503,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. strain=CD1 outbred mice, age=2-3 months",LLM
SRX1063034,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. genotype=WT, treatment=Cont STAT1",LLM
SRX1063037,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. genotype=S3KO, treatment=IL21 STAT1",LLM
SRX10652556,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. genotype=Junbfl/fl, strain=C57BL/6, polarizing condition=Th1",LLM
SRX10659669,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. cell_line=C20,LLM
SRX10828736,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. genotype=XBP1 LKO, age=3-4 months",LLM
SRX10828756,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. genotype=WT, age=3-4 months",LLM
SRX10873024,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. developmental stage=P5, tissue=heart, strain=C57BL/6",LLM
SRX10989779,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. genotype=C57BJ/L6 WT mice, source_name=LIVER, gender=male, strain=C57BJ/L6 background, age=12-16 weeks of age, tissue=Liver, timepoint=ZT12, diet=FASTING",LLM
SRX11187698,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype/variation=Pgrcre/-PgrALsL/+ | surgery=Ovariectomy for 2 weeks | treatment=1h progesterone treatment,LLM
SRX11366190,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. genotype=WT, age=3 months, treatment=T09",LLM
SRX1176003,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. cell_line=C57BL/6, treatment=none",LLM
SRX13065852,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=Krt14-Cre+;Ppp1r13l-/-,LLM
SRX14059359,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=treated with 100 ng/ml LPS for 4 h,LLM
SRX142514,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell_line=C2C12, antibody description=mouse monoclonal antibody; epitope mapping within amino acids 138-158 of myogenin of rat origin. Antibody Target: Myogenin, treatment=60 h with 2.0% Equine Serum and Insulin (Wold), age=immortalized",LLM
SRX145053,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell=MEL, cell organism=mouse, age=immortalized",LLM
