ID,keyword_classification,keyword_confidence,keyword_reason,final_classification,llm_reason,classification_method
DRX440382,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. strain=C57BL/6J, sample_name=ChIPseq EZH2 of WT mouse",LLM
ERX204066,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. ArrayExpress-Genotype=Wildtype, Metadata=ArrayExpress-DevelopmentalStage=Adult, Cell_type=Hepatocytes",LLM
SRX018602,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. genotype=Nrl-/-, Metadata=Nrl ko",LLM
SRX027447,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype/variation=wild type,LLM
SRX028842,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=Brd2_0H_minus,LLM
SRX10462798,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=Tet2+/-,LLM
SRX105503,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. strain=CD1 outbred mice, age=2-3 months, Cell_type_class=Liver, Cell_type=Liver, source_name=liver, tissue=liver",LLM
SRX1063034,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. treatment=Cont STAT1, genotype=WT",LLM
SRX1063037,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. genotype=S3KO, treatment=IL21 STAT1",LLM
SRX10652556,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=Junbfl/fl,LLM
SRX10659669,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. source_name=ChIP HNF4a on FoxA Dev double null,LLM
SRX10828736,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=XBP1 LKO,LLM
SRX10828756,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. genotype=WT, strain=C57BL/6, age=3-4 months",LLM
SRX10873024,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. developmental stage=P5, source_name=P5 heart, tissue=heart, strain=C57BL/6",LLM
SRX10989779,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. genotype=C57BJ/L6 WT mice, strain=C57BJ/L6 background, age=12-16 weeks of age",LLM
SRX11187698,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. treatment=1h progesterone treatment, surgery=Ovariectomy for 2 weeks",LLM
SRX11366190,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=T09,LLM
SRX1176003,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. treatment=none, Cell_type_class=Blood, Cell_type=CD8+ T cells, strain=C57BL/6",LLM
SRX13065852,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=Krt14-Cre+;Ppp1r13l-/- and deletion=specific deletion of Ppp1r13l exon8,LLM
