ID	Transcription_Factor	Cell_type_class	Cell_type	Metadata
DRX440382	Ezh2	Spleen	Spleen	sample_name=ChIPseq EZH2 of WT mouse | age=not applicable | breed=not applicable | cultivar=not applicable | dev_stage=not applicable | ecotype=not applicable | isolate=not applicable | strain=C57BL/6J | tissue=spleen
ERX204066	Cebpa	Liver	Hepatocytes	ArrayExpress-DevelopmentalStage=Adult | ArrayExpress-Genotype=Wildtype | ArrayExpress-OrganismPart=Liver | sample description=ChIPseq | strain=C57BL/6
SRX027447	Dmc1	Gonad	Testis	source_name=pups testis | strain=9R/13R cross | genotype/variation=wild type | antibody lot=G0909
SRX10828756	Srsf2	Liver	Liver	source_name=liver | strain=C57BL/6 | genotype=WT | age=3-4 months | tissue=liver | time=--
SRX10989779	Xbp1	Liver	Liver	source_name=LIVER | gender=male | strain=C57BJ/L6 background | age=12-16 weeks of age | genotype=C57BJ/L6 WT mice | tissue=Liver | timepoint=ZT12 | diet=FASTING
SRX1176003	Stat5a	Blood	CD8+ T cells	source_name=CD8 T cell | cell type=effector CD8 T cell | strain=C57BL/6 | treatment=none
SRX15840026	Ncoa3	Kidney	Kidney	source_name=kidney tissue | genotype=wild type C57BL6 | treatment=vehicle (EtOH, PBS)
SRX15840131	Vdr	Kidney	Kidney	source_name=kidney tissue | genotype=wild type C57BL6 | treatment=vehicle (EtOH, PBS)
SRX17605394	Kmt2d	Blood	Monocytes	source_name=Bone-Marrow | tissue=Bone-Marrow | strain=C57BL6 | cell type=Monocyte | genotype=Wild-type | treatment=NA
SRX20826938	Tbx3	Liver	Liver	source_name=Liver (P56) | tissue=Liver (P56) | genotype=BL/6Jax
SRX2162110	Hdac2	Cardiovascular	Heart Ventricles	source_name=Heart | tissue=Heart | cell type=isolated adult ventricular cardiomyocytes | strain background=C57BL/6 | genotype/variation=WT | injected with=Not injected
SRX2647492	Stat2	Blood	CD4+ T cells	source_name=CD4+ T cells | strain=C57BL/6 | genotype=WT | culture condition=ChIP-seq in vitro culture protocol (IFN-β)
SRX3331742	Hif1a	Neural	Prefrontal Cortex	source_name=Mice prefrontal cortex | genotype/variation=wild type | stress=yes
SRX3601924	Glyr1	Blood	Macrophages	source_name=BMDM_ChIP_NDF7_6hKLA | strain=C57BI/6 (Harlan Laboratories) | age=8-10 weeks | cell type=Primary BMDM | genotype/variation=WT | chip antibodies=NDF7, home-made
SRX4325335	Foxa1	Liver	Liver	source_name=liver | strain=C3H/HeN | replicate animal=1
SRX7368531	Pou2af1	Blood	B cells	source_name=ChIP WT CD40/IL4 OBF1 rep1 | genotype=Wild type | cell type=CD19+ splenic B cells | sample type=Primary cells | stimulation=anti-CD40/IL4
SRX8241996	Irf8	Blood	Monocytes	source_name=bone marrow cells | cell type=monocytes | genotype=Wild type | cell isolation=Primary isolated cells | tissue=bone marrow | strain=C57BL/6 | sorting methods=MACS selection | surface markers=CD117– CD135– Ly6G– CD115+
SRX8994289	Pou2f2	Blood	B cells	source_name=B cells | cells=Mouse splenic B cells-resting | strain=C57BL/6 | genotype/variation=WT
