ID	Transcription_Factor	Cell_type_class	Cell_type	Metadata
SRX018602	Crx	Neural	Retina	source_name=Retina, Nrl ko, Crx ChIP | strain=C57BL/6 | genotype=Nrl-/- | age=8 weeks | tissue=retina
SRX028842	Brd2	Blood	Macrophages	source_name=Macrophages | strain=C57BL/6 | cell type=Bone-marrow-derived macrophages | treatment=Brd2_0H_minus | time=0H
SRX10462798	5-hmC	Others	Nasal Mucosa	source_name=Ctl Tet2+/- 5hmC_nasal musosa | strain background=C57BL/6 | age=10-12 week | genotype=Tet2+/- | treatment=No | tissue=nasal mucosa | molecule subtype=5hmC captured DNA
SRX1063037	Stat1	Blood	CD4+ T cells	source_name=Pre-activated CD4+ T cells | strain=C57BL/6 | tissue=Spleen | genotype=S3KO | treatment=IL21 STAT1 | cell type=Pre-activated CD4+ T cells
SRX10652556	Irf4	Blood	CD4+ T cells	source_name=Splenocytes | strain=C57BL/6 | genotype=Junbfl/fl | polarizing condition=Th1 | cell type=Naive CD4+ T cells | antibody target=IRF4
SRX10659669	Hnf4a	Liver	Liver	source_name=ChIP HNF4a on FoxA Dev double null | age=8 weeks old | tissue=Liver
SRX10828736	Srsf2	Liver	Liver	source_name=liver | strain=C57BL/6 | genotype=XBP1 LKO | age=3-4 months | tissue=liver | time=CT8
SRX11187698	Pgr	Uterus	Uterus	source_name=Uterus | genotype/variation=Pgrcre/-PgrALsL/+ | surgery=Ovariectomy for 2 weeks | treatment=1h progesterone treatment | tissue=Uterus
SRX11366190	Ppara	Liver	Liver	source_name=Liver | strain=C57BL/6 | genotype=WT | tissue=Liver | age=3 months | treatment=T09
SRX13065852	Trp63	Epidermis	Keratinocytes	source_name=Primary keratinocytes | cell type=Keratinocytes isolated from mouse skin | strain=C57BL/6 | genotype=Krt14-Cre+;Ppp1r13l-/- | deletion=specific deletion of Ppp1r13l exon8 in CK14-positive basal epithelial cells only
SRX14059359	Hnrnpul1	Blood	RAW 264.7	source_name=RAW 264.7 cells | cell type=murine macrophage cells | treatment=treated with 100 ng/ml LPS for 4 h
SRX142514	Myog	Muscle	C2C12	source_name=C2C12 | lab description=Wold - Califonia Institute of Technology | datatype=ChipSeq | datatype description=Chromatin IP Sequencing | cell=C2C12 | cell organism=mouse | cell description=Myoblast cell line derived from thigh muscle of C3H mice after crush injury | cell sex=F | antibody description=mouse monoclonal antibody; epitope mapping within amino acids 138-158 of myogenin of rat origin. Antibody Target: Myogenin | control=Control_32bp | control description=This data represents a control being compared to experiments using read length of 32 bp | treatment=EqS_2.0pct_60hr | treatment description=60 h with 2.0% Equine Serum and Insulin (Wold) | age=immortalized | age description=Immortal cells | control=Control_32bp | control description=This data represents a control being compared to experiments using read length of 32 bp | controlid=10194 | labexpid=10158 | strain=C3H | strain description=Strain C3H, Very related to C57BL/6
SRX145053	Ctcf	Blood	MEL	source_name=MEL | lab description=Hardison - Penn State University | datatype=ChipSeq | datatype description=Chromatin IP Sequencing | cell=MEL | cell organism=mouse | cell description=Leukemia (K562 analog) | cell sex=M | age=immortalized | age description=Immortal cells | control=Input | control description=Control signal which may be subtracted from experimental raw signal before peaks are called. | controlid=wgEncodeEM001929 | strain=C57BL/6 | strain description=C57 black 6, the most common inbred strain of laboratory mouse
SRX14563995	Creb1	Blood	Macrophages	source_name=An_IFNg_CREB1, BMDM | strain=C57BL/6 | age=8-12 weeks | treatment=Anisomycin + IFNg | cell type=Bone marrow derived macrophage (BMDM)
SRX14617697	Nfyb	Blood	CH12	source_name=Ch12 cell line | cell type=Ch12 WT cell line | treatment=None | target=Nfyb | experimental type=ChIP-Seq
SRX14818057	Irf9	Blood	Naive T cells	source_name=Spleen | strain=C57BL/6 | tissue=Spleen | cell type=Naive CD4 T Cells | genotype=IFNb/IRF9 DKO | treatment=stimulated under Th1 culture conditions (10 ng/ml IL-12) for 5 days in vitro. IFNb (100U/ml) were treated for last 3 days.
SRX149201	Ikzf1	Blood	B3	source_name=ChIP-Seq data from Wildtype B3 Cells using Rabbit anti-C-terminal Ikaros antibody | cell line=pre-B cell line B3 | cell line reference=Brown et al. 1997
SRX1495349	Smarca4	Cardiovascular	Heart	source_name=Heart | strain=C57BL/6 | tissue=heart 4 days post-injury (MI) | age=Adult (10-12 weeks postnatally)
SRX17469441	Dnmt3a	Neural	Cortical neuron	source_name=cultured cortical neurons | strain=C57BL/6J | cell type=cultured cortical neurons | treatment=NSD1 sh1
SRX188806	Rcor2	Blood	CH12	source_name=CH12 | lab description=Snyder - Stanford University | datatype=ChipSeq | datatype description=Chromatin IP Sequencing | cell=CH12 | cell organism=mouse | cell description=B-cell lymphoma (GM12878 analog) | cell sex=F | treatment=None | treatment description=No special treatment or protocol applies | control=IgG-rab | control description=Input signal from Normal Rabbit IgG ChIP-seq. | age=immortalized | age description=Immortal cells | control=IgG-rab | control description=Input signal from Normal Rabbit IgG ChIP-seq. | controlid=wgEncodeEM001939 | strain=B10.H-2aH-4bp/Wts | strain description=Derived by inbreeding from selected F2 progeny of B10.A X B10.129
SRX204705	Cebpa	Liver	Liver	source_name=C/EBPalpha 48h | time point=48h | strain=C57BL6/J | age=7 weeks old | gender=male | tissue=Total hepatectomized liver
SRX20969410	Ctcf	Blood	Bone Marrow Cells	source_name=Lineage- bone marrow cells in femora and tibiae | strain=C57BL/6 | donor genotype=CD45.2(+) Brd9fl/fl | recipient genotype=CD45.1(+) CD45.2(-) | timing of preparation=5 months after pIpC injection
SRX21711865	Smarca4	Blood	Macrophages	source_name=BMDM | cell type=BMDM | treatment=WT | stimulation=0hr LipidA
SRX22512363	Ctcf	Neural	Neural progenitor cells	source_name=Neural progenitor cells | cell type=Neural progenitor cells from ganglionic eminence | strain=C57BL/6 | genotype=Setdb1-KO | age=Embryonic day 15.5 | fetus id=2322-1KO
SRX2424023	Ctcf	Cardiovascular	Heart	dev stage=postnatal | donor ID=ENCDO956IXV | tissue=heart | age=0 day | sample type=tissue
SRX2500398	Chd7	Neural	Cerebellar granule neurons	source_name=Cerebellar granule neuron progenitor | strain=C57BL/6 | developmental stage=P7 | tissue=granule neuron progenitor
