ID,keyword_classification,keyword_confidence,keyword_reason,final_classification,llm_reason,classification_method
DRX440382,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype=wild-type (WT),LLM
ERX204066,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. ArrayExpress-Genotype=Wildtype,LLM
SRX018602,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=Nrl-/-,LLM
SRX027447,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype/variation=wild type,LLM
SRX028842,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=Brd2_0H_minus,LLM
SRX10462798,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=Tet2+/-,LLM
SRX105503,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. strain=CD1 outbred mice,LLM
SRX1063034,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. cell type=Pre-activated CD4+ T cells,LLM
SRX1063037,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. genotype=S3KO, treatment=IL21 STAT1",LLM
SRX10652556,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=Junbfl/fl,LLM
SRX10659669,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. double null,LLM
SRX10828736,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=XBP1 LKO,LLM
SRX10873024,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. tissue preparation=Fixed by Formaldehyde,LLM
SRX11187698,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. surgery=Ovariectomy for 2 weeks | treatment=1h progesterone treatment,LLM
SRX11366190,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype=WT,LLM
SRX1176003,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. treatment=none,LLM
SRX13065852,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=Krt14-Cre+;Ppp1r13l-/- | deletion=specific deletion of Ppp1r13l exon8 in CK14-positive basal epithelial cells only,LLM
SRX14059359,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=treated with 100 ng/ml LPS for 4 h,LLM
SRX142514,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell=C2C12, cell_line=C2C12, age=immortalized, age description=Immortal cells",LLM
SRX145053,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. age=immortalized | age description=Immortal cells | cell description=Leukemia,LLM
SRX14563995,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=Anisomycin + IFNg,LLM
SRX14818057,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. genotype=IFNb/IRF9 DKO, treatment=stimulated under Th1 culture conditions",LLM
SRX149201,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. Wildtype,LLM
SRX1495349,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. tissue=heart 4 days post-injury (MI),LLM
SRX17469441,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=NSD1 sh1,LLM
SRX17605394,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. genotype=Wild-type, treatment=NA",LLM
SRX188806,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. age=immortalized,LLM
SRX20201036,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype=WT,LLM
SRX204705,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. source_name=C/EBPalpha 48h,LLM
SRX20969410,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. timing of preparation=5 months after pIpC injection,LLM
SRX21711865,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. stimulation=0hr LipidA,LLM
SRX22512363,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=Setdb1-KO | age=Embryonic day 15.5,LLM
SRX2424023,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. age=0 day,LLM
SRX2500398,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. developmental stage=P7,LLM
SRX2647492,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. culture condition=ChIP-seq in vitro culture protocol (IFN-β),LLM
SRX2741794,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. tissue=Phenylhydrazine treated spleen,LLM
SRX319874,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=Kdo2 Lipid A (KLA) 12h,LLM
SRX341761,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. genotype=MLL3-/-, cell type=MyoD-induced immortalized brown preadipocytes, age=E18.5 embryos",LLM
SRX3582922,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. 12 wk High Fat Diet,LLM
SRX3601924,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype/variation=WT | cell type=Primary BMDM,LLM
SRX3858835,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. age=Postnatal day 0,LLM
SRX392764,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. haftl derived C10 cells,LLM
SRX4178770,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=IFNg,LLM
SRX4325335,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. strain=C3H/HeN,LLM
SRX4348502,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. genotype=IRF9WT, condition=IFNaIL2",LLM
SRX4895097,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. source_name=CH12 B cell line | cell line=CH12 | cell type=lymphoma cell line | genotype/variation=Med14Nsmash | treatment=APR60h,LLM
SRX5689484,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=Foxp3Thy1.1/Rosa-Cas9,LLM
SRX6417441,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=NR ( 400 mg/kg),LLM
SRX661408,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype/variation=GRdim,LLM
SRX7368531,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. stimulation=anti-CD40/IL4,LLM
SRX7368548,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=OBF1KO,LLM
SRX745826,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=Dexamethasone and GW7647 4 hrs,LLM
SRX7726481,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. WT,LLM
SRX8241996,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype=Wild type,LLM
SRX8725650,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. Cell_type_class=Liver | Cell_type=Hepa-1c1c7 | source_name=Mouse Hepatoma Cell Line | cell line=Hepa-1c1c7,LLM
SRX9311847,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=IL-4 24h,LLM
SRX9311895,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=IL-4 24h,LLM
SRX9344868,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. Cell_type=RAW 264.7 | agent=LPS,LLM
SRX9432511,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. cell line=Raw264.7 | treatment=Ibet only,LLM
SRX978687,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell=immortalized brown adipocytes (iBATs) | treatment=isoproterenol (1 µM, 2 hr)",LLM
