ID	Transcription_Factor	Cell_type_class	Cell_type	Metadata
DRX440382	Ezh2	Spleen	Spleen	sample_name=ChIPseq EZH2 of WT mouse | age=not applicable | breed=not applicable | cultivar=not applicable | dev_stage=not applicable | ecotype=not applicable | isolate=not applicable | strain=C57BL/6J | tissue=spleen
ERX204066	Cebpa	Liver	Hepatocytes	ArrayExpress-DevelopmentalStage=Adult | ArrayExpress-Genotype=Wildtype | ArrayExpress-OrganismPart=Liver | sample description=ChIPseq | strain=C57BL/6
SRX027447	Dmc1	Gonad	Testis	source_name=pups testis | strain=9R/13R cross | genotype/variation=wild type | antibody lot=G0909
SRX028842	Brd2	Blood	Macrophages	source_name=Macrophages | strain=C57BL/6 | cell type=Bone-marrow-derived macrophages | treatment=Brd2_0H_minus | time=0H
SRX10462798	5-hmC	Others	Nasal Mucosa	source_name=Ctl Tet2+/- 5hmC_nasal musosa | strain background=C57BL/6 | age=10-12 week | genotype=Tet2+/- | treatment=No | tissue=nasal mucosa | molecule subtype=5hmC captured DNA
SRX105503	Foxa1	Liver	Liver	source_name=liver | tissue=liver | strain=CD1 outbred mice | age=2-3 months
SRX1063034	Stat1	Blood	CD4+ T cells	source_name=Pre-activated CD4+ T cells | strain=C57BL/6 | tissue=Spleen | genotype=WT | treatment=Cont STAT1 | cell type=Pre-activated CD4+ T cells
SRX10828756	Srsf2	Liver	Liver	source_name=liver | strain=C57BL/6 | genotype=WT | age=3-4 months | tissue=liver | time=--
SRX10873024	Erg	Cardiovascular	Heart	source_name=P5 heart | developmental stage=P5 | tissue=heart | strain=C57BL/6 | tissue preparation=Fixed by Formaldehyde
SRX10989779	Xbp1	Liver	Liver	source_name=LIVER | gender=male | strain=C57BJ/L6 background | age=12-16 weeks of age | genotype=C57BJ/L6 WT mice | tissue=Liver | timepoint=ZT12 | diet=FASTING
SRX11366190	Ppara	Liver	Liver	source_name=Liver | strain=C57BL/6 | genotype=WT | tissue=Liver | age=3 months | treatment=T09
SRX1176003	Stat5a	Blood	CD8+ T cells	source_name=CD8 T cell | cell type=effector CD8 T cell | strain=C57BL/6 | treatment=none
SRX14617697	Nfyb	Blood	CH12	source_name=Ch12 cell line | cell type=Ch12 WT cell line | treatment=None | target=Nfyb | experimental type=ChIP-Seq
SRX149201	Ikzf1	Blood	B3	source_name=ChIP-Seq data from Wildtype B3 Cells using Rabbit anti-C-terminal Ikaros antibody | cell line=pre-B cell line B3 | cell line reference=Brown et al. 1997
SRX15840026	Ncoa3	Kidney	Kidney	source_name=kidney tissue | genotype=wild type C57BL6 | treatment=vehicle (EtOH, PBS)
SRX15840131	Vdr	Kidney	Kidney	source_name=kidney tissue | genotype=wild type C57BL6 | treatment=vehicle (EtOH, PBS)
SRX17605394	Kmt2d	Blood	Monocytes	source_name=Bone-Marrow | tissue=Bone-Marrow | strain=C57BL6 | cell type=Monocyte | genotype=Wild-type | treatment=NA
SRX20201036	Hnf4a	Liver	Liver	source_name=Liver | genotype=WT | age=16 to 20 weeks | diet=fed ad libitum (LabDiet, #5001) | strain=mixed 129/Sv plus C57BL/6 background | cell type=Liver
SRX204705	Cebpa	Liver	Liver	source_name=C/EBPalpha 48h | time point=48h | strain=C57BL6/J | age=7 weeks old | gender=male | tissue=Total hepatectomized liver
SRX20826938	Tbx3	Liver	Liver	source_name=Liver (P56) | tissue=Liver (P56) | genotype=BL/6Jax
SRX2162110	Hdac2	Cardiovascular	Heart Ventricles	source_name=Heart | tissue=Heart | cell type=isolated adult ventricular cardiomyocytes | strain background=C57BL/6 | genotype/variation=WT | injected with=Not injected
SRX21711865	Smarca4	Blood	Macrophages	source_name=BMDM | cell type=BMDM | treatment=WT | stimulation=0hr LipidA
SRX2500398	Chd7	Neural	Cerebellar granule neurons	source_name=Cerebellar granule neuron progenitor | strain=C57BL/6 | developmental stage=P7 | tissue=granule neuron progenitor
SRX2647492	Stat2	Blood	CD4+ T cells	source_name=CD4+ T cells | strain=C57BL/6 | genotype=WT | culture condition=ChIP-seq in vitro culture protocol (IFN-β)
SRX3331742	Hif1a	Neural	Prefrontal Cortex	source_name=Mice prefrontal cortex | genotype/variation=wild type | stress=yes
SRX3601924	Glyr1	Blood	Macrophages	source_name=BMDM_ChIP_NDF7_6hKLA | strain=C57BI/6 (Harlan Laboratories) | age=8-10 weeks | cell type=Primary BMDM | genotype/variation=WT | chip antibodies=NDF7, home-made
SRX3858835	Rnf2	Epidermis	Epidermal progenitor cells	source_name=Epidermal progenitor cells | cell type=Epidermal progenitor cells | tissue=Epidermis | age=Postnatal day 0 | genotype=Control
SRX4178770	Irf9	Blood	Macrophages	source_name=WT IRF9 90 min IFNg, BMDM | strain=C57BL/6 | age=8-10 weeks | treatment=IFNg | genotype=wildtype | cell type=bone marrow derived macrophages
SRX4325335	Foxa1	Liver	Liver	source_name=liver | strain=C3H/HeN | replicate animal=1
SRX4348502	Irf9	Blood	Natural killer cells	source_name=splenic NK cells | genotype=IRF9WT | condition=IFNaIL2
SRX6417441	Arntl	Liver	Liver	source_name=Liver | strain=C57B6/CR | age=22 months | genotype=WT | treatment=NR (~400 mg/kg) | treatment time point=6 months | collection time point=ZT20
SRX7368531	Pou2af1	Blood	B cells	source_name=ChIP WT CD40/IL4 OBF1 rep1 | genotype=Wild type | cell type=CD19+ splenic B cells | sample type=Primary cells | stimulation=anti-CD40/IL4
SRX7726481	Tbx21	Blood	Natural killer cells	source_name=Tbet_NK_WT_exvivo | strain=C57BL/6 | tissue=Spleen | cell type=Natural killer cells | surface marker=CD3e-NKp46+ | culture condition=ex vivo | description for exp id=151211_0411_s07
SRX7902429	Chd8	Neural	Granule neuron progenitors	source_name=Granule neuron progenitors | strain=C57BL/6J | tissue=Cerebellum | age=Postnatal day 7 | genotype=wild type
SRX8241996	Irf8	Blood	Monocytes	source_name=bone marrow cells | cell type=monocytes | genotype=Wild type | cell isolation=Primary isolated cells | tissue=bone marrow | strain=C57BL/6 | sorting methods=MACS selection | surface markers=CD117– CD135– Ly6G– CD115+
SRX8994289	Pou2f2	Blood	B cells	source_name=B cells | cells=Mouse splenic B cells-resting | strain=C57BL/6 | genotype/variation=WT
