ID,keyword_classification,keyword_confidence,keyword_reason,final_classification,llm_reason,classification_method
DRX440382,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. sample_name=ChIPseq EZH2 of WT mouse,LLM
ERX204066,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. ArrayExpress-Genotype=Wildtype,LLM
SRX018602,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=Nrl-/-,LLM
SRX027447,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype/variation=wild type,LLM
SRX028842,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=Brd2_0H_minus,LLM
SRX10462798,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=Tet2+/-,LLM
SRX105503,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. source_name=liver, tissue=liver, strain=CD1 outbred mice, age=2-3 months",LLM
SRX1063034,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype=WT and cell_type=CD4+ T cells (primary cells) with treatment=Cont (control),LLM
SRX1063037,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=S3KO,LLM
SRX10652556,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=Junbfl/fl,LLM
SRX10659669,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. source_name=ChIP HNF4a on FoxA Dev double null,LLM
SRX10828736,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=XBP1 LKO,LLM
SRX10828756,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype=WT,LLM
SRX10873024,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. developmental stage=P5,LLM
SRX10989779,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype=C57BJ/L6 WT mice,LLM
SRX11187698,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype/variation=Pgrcre/-PgrALsL/+,LLM
SRX11366190,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. genotype=WT, treatment=T09",LLM
SRX1176003,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. cell_type=CD8+ T cells, treatment=none",LLM
SRX13065852,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=Krt14-Cre+;Ppp1r13l-/-,LLM
SRX14059359,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. cell_line=RAW 264.7 | treatment=treated with 100 ng/ml LPS for 4 h,LLM
SRX142514,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. cell_line=C2C12 and age=immortalized,LLM
SRX145053,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell description=Leukemia (K562 analog), age=immortalized",LLM
SRX14563995,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=Anisomycin + IFNg,LLM
SRX14617697,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. source_name=Ch12 cell line; cell type=Ch12 WT cell line,LLM
SRX14818057,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=IFNb/IRF9 DKO,LLM
SRX149201,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. cell line=pre-B cell line B3,LLM
SRX1495349,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. tissue=heart 4 days post-injury (MI),LLM
SRX15840026,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. genotype=wild type C57BL6, treatment=vehicle (EtOH, PBS)",LLM
SRX15840131,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. genotype=wild type C57BL6, treatment=vehicle (EtOH, PBS)",LLM
SRX17469441,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=NSD1 sh1,LLM
SRX17605394,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype=Wild-type | treatment=NA,LLM
SRX188806,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. age=immortalized | cell description=B-cell lymphoma (GM12878 analog),LLM
SRX20201036,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype=WT,LLM
SRX204705,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. tissue=Total hepatectomized liver,LLM
SRX20826938,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype=BL/6Jax,LLM
SRX20969410,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. donor genotype=CD45.2(+) Brd9fl/fl | timing of preparation=5 months after pIpC injection,LLM
SRX2162110,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype/variation=WT,LLM
SRX21711865,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. treatment=WT,LLM
SRX22512363,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. genotype=Setdb1-KO, age=Embryonic day 15.5",LLM
SRX2424023,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. age=0 day,LLM
SRX2500398,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. source_name=Cerebellar granule neuron progenitor; strain=C57BL/6; developmental stage=P7,LLM
SRX2647474,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=Tbx21-/-,LLM
SRX2647492,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. culture condition=ChIP-seq in vitro culture protocol (IFN-β),LLM
SRX2741794,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. tissue=Phenylhydrazine treated spleen,LLM
SRX319873,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=Kdo2 Lipid A (KLA) 6h,LLM
SRX319874,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=Kdo2 Lipid A (KLA) 12h,LLM
SRX3331742,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype/variation=wild type,LLM
SRX341761,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell_line=MyoD-induced immortalized brown preadipocytes, genotype=MLL3-/-, age=E18.5 embryos",LLM
SRX3582922,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=12 wk High Fat Diet,LLM
SRX3601924,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. genotype=WT, cell type=Primary BMDM",LLM
SRX3858835,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype=Control,LLM
SRX392764,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. cell type=haftl derived C10 cells | time after induction=3 hours,LLM
SRX4178770,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=IFNg,LLM
SRX4325335,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. source_name=liver; no modifications or non-physiological indicators,LLM
SRX4348502,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. condition=IFNaIL2,LLM
SRX4895097,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. cell line=CH12 | cell type=lymphoma cell line | genotype/variation=Med14Nsmash | treatment=APR60h,LLM
SRX5689484,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype/variation=Foxp3Thy1.1/Rosa-Cas9,LLM
SRX6095535,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. genotype=M1-IKO, treatment=10 ng/g bw 1,25(OH)2D3",LLM
SRX6417441,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=NR (~400 mg/kg),LLM
SRX661408,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype/variation=GRdim,LLM
SRX6924490,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype/variation=tetYAP,LLM
SRX7368531,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. stimulation=anti-CD40/IL4,LLM
SRX7368548,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=OBF1KO,LLM
SRX745826,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=Dexamethasone and GW7647 4 hrs,LLM
SRX7726481,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. source_name=Tbet_NK_WT_exvivo | strain=C57BL/6 | culture condition=ex vivo,LLM
SRX7902429,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype=wild type,LLM
SRX8241996,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. genotype=Wild type, cell isolation=Primary isolated cells",LLM
SRX8725650,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. cell line=Hepa-1c1c7 and treatment=1 µM chromium,LLM
SRX8994289,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype/variation=WT,LLM
SRX9311847,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=IL-4 24h,LLM
SRX9311895,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. strain=Egr2 fl/fl (genetically modified) and treatment=IL-4 24h (treated),LLM
SRX9311913,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. strain=LyzM-Cre Egr2 fl/fl (conditional knockout model),LLM
SRX9344868,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell_type=RAW 264.7, agent=LPS",LLM
SRX9432511,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. cell line=Raw264.7,LLM
