ID,keyword_classification,keyword_confidence,keyword_reason,final_classification,llm_reason,classification_method
DRX440344,unknown,0,No relevant keywords,unknown,LLM API Error: Connection error.,Keyword (unknown / LLM Error)
DRX440349,unknown,0,No relevant keywords,unknown,LLM API Error: Connection error.,Keyword (unknown / LLM Error)
SRX017709,unknown,0,No relevant keywords,unknown,LLM API Error: Connection error.,Keyword (unknown / LLM Error)
SRX037935,native,50,"Highest weight keyword: 'wt' (category: weak_native, score: 100.0). Matches found: 'wt' in 'condition' (weak_native/100.0)",native,LLM API Error: Connection error.,Keyword (native / LLM Error)
SRX037940,non-native,95,"Highest weight keyword: 'RNAi' (category: strong_non_native, score: 100.0). Matches found: 'RNAi' in 'condition' (strong_non_native/100.0); 'kd' in 'condition' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX037941,non-native,95,"Highest weight keyword: 'kd' (category: strong_non_native, score: 100.0). Matches found: 'kd' in 'condition' (strong_non_native/100.0); 'control' in 'condition' (weak_native/100.0)",non-native,,Keyword (Non-Native)
SRX10977238,unknown,0,No relevant keywords,unknown,LLM API Error: Connection error.,Keyword (unknown / LLM Error)
SRX10977366,non-native,95,"Highest weight keyword: 'embryonic' (category: strong_non_native, score: 100.0). Matches found: 'embryonic' in 'dev stage' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX11513464,native,50,"Highest weight keyword: 'donor' (category: weak_native, score: 100.0). Matches found: 'donor' in 'individual' (weak_native/100.0)",native,LLM API Error: Connection error.,Keyword (native / LLM Error)
SRX11513465,native,50,"Highest weight keyword: 'donor' (category: weak_native, score: 100.0). Matches found: 'donor' in 'individual' (weak_native/100.0)",native,LLM API Error: Connection error.,Keyword (native / LLM Error)
SRX12118509,unknown,0,No relevant keywords,unknown,LLM API Error: Connection error.,Keyword (unknown / LLM Error)
SRX12129506,unknown,0,No relevant keywords,unknown,LLM API Error: Connection error.,Keyword (unknown / LLM Error)
SRX12209241,non-native,95,"Highest weight keyword: 'stimulated' (category: strong_non_native, score: 83.33333333333334). Matches found: 'stimulated' in 'source_name' (strong_non_native/83.33333333333334); 'control' in 'case or control' (weak_native/100.0)",non-native,,Keyword (Non-Native)
SRX13006802,unknown,0,No relevant keywords,unknown,LLM API Error: Connection error.,Keyword (unknown / LLM Error)
SRX14280059,unknown,0,No relevant keywords,unknown,LLM API Error: Connection error.,Keyword (unknown / LLM Error)
SRX14280087,native,50,"Highest weight keyword: 'normal' (category: weak_native, score: 100.0). Matches found: 'normal' in 'disease state' (weak_native/100.0); 'control' in 'disease state' (weak_native/100.0)",native,LLM API Error: Connection error.,Keyword (native / LLM Error)
SRX15717771,native,50,"Highest weight keyword: 'untreated' (category: weak_native, score: 100.0). Matches found: 'untreated' in 'treatment' (weak_native/100.0)",native,LLM API Error: Connection error.,Keyword (native / LLM Error)
SRX16495661,unknown,0,No relevant keywords,unknown,LLM API Error: Connection error.,Keyword (unknown / LLM Error)
SRX16495697,unknown,0,No relevant keywords,unknown,LLM API Error: Connection error.,Keyword (unknown / LLM Error)
SRX170349,native,50,"Highest weight keyword: 'wild-type' (category: weak_native, score: 100.0). Matches found: 'wild-type' in 'genotype/variation' (weak_native/100.0)",native,LLM API Error: Connection error.,Keyword (native / LLM Error)
SRX1738529,unknown,0,No relevant keywords,unknown,LLM API Error: Connection error.,Keyword (unknown / LLM Error)
