From	Entry	GeneID	Reviewed
A1BG	P04217	1;	reviewed
A1BG	M0R009		unreviewed
A1CF	Q9NQ94	29974;	reviewed
A1CF	F8W9F8	29974;	unreviewed
A1CF	Q5T0W7		unreviewed
A1CF	Q7Z2U9		unreviewed
A2M	P01023	2;	reviewed
A2M	F5H1E8		unreviewed
A2M	F8W7L3		unreviewed
A2M	H0YFH1		unreviewed
A2M	L0R6B6		unreviewed
A2M	Q9BQ22		unreviewed
A2ML1	A8K2U0	144568;	reviewed
A2ML1	F5GXP1		unreviewed
A2ML1	F5GYG7		unreviewed
A2ML1	H0YGG5		unreviewed
A2ML1	H0YH14		unreviewed
A4GALT	Q9NPC4	53947;	reviewed
A4GALT	A0A0S2Z5J1	53947;	unreviewed
A4GALT	A0A0S2Z671		unreviewed
A4GALT	A0A192ZI69		unreviewed
A4GALT	B0L3P6		unreviewed
A4GALT	B0L3P7		unreviewed
A4GALT	F2VPV4		unreviewed
A4GALT	F2VPV5		unreviewed
A4GALT	M1KVK7		unreviewed
A4GALT	Q540I5		unreviewed
A4GALT	Q540I6		unreviewed
A4GALT	Q5D079		unreviewed
A4GALT	Q6RJV6		unreviewed
A4GALT	Q6RJV7		unreviewed
A4GALT	Q6RJV8		unreviewed
A4GALT	Q6RJV9		unreviewed
A4GALT	Q6RJW0		unreviewed
A4GALT	Q6RJW1		unreviewed
A4GALT	Q7Z2I1		unreviewed
A4GALT	Q7Z7C2		unreviewed
A4GALT	Q7Z7C3		unreviewed
A4GALT	Q7Z7C4		unreviewed
A4GALT	Q7Z7C5		unreviewed
A4GALT	Q7Z7C6		unreviewed
A4GALT	R4X5Z8		unreviewed
A4GALT	S6CPX2		unreviewed
A4GALT	S6CQ09		unreviewed
A4GALT	S6CQT5		unreviewed
A4GALT	S6CRD2		unreviewed
AAAS	Q9NRG9	8086;	reviewed
AAAS	D9DBS9		unreviewed
AAAS	D9DBT0		unreviewed
AAAS	D9DBT1		unreviewed
AAAS	D9DBT2		unreviewed
AAAS	D9DBT3		unreviewed
AAAS	F8VUB6		unreviewed
AAAS	F8VZ44		unreviewed
AAAS	H3BU82		unreviewed
AACS	Q86V21	65985;	reviewed
AACS	A0A5A4UB59		unreviewed
AACS	E7EW25		unreviewed
AACS	L8ECK1		unreviewed
AACS	Q49AJ4		unreviewed
AADAC	P22760	13;	reviewed
AADAC	C9K0E9		unreviewed
AADACL2	Q6P093	344752;	reviewed
AADACL2	F8WFE5		unreviewed
AADAT	Q8N5Z0	51166;	reviewed
AADAT	D6RC56		unreviewed
AADAT	D6REB9		unreviewed
AADAT	D6RFY7		unreviewed
AADAT	Q4W5N8	51166;	unreviewed
AAGAB	Q6PD74	79719;	reviewed
AAGAB	H0YL49		unreviewed
AAK1	Q2M2I8	22848;	reviewed
AAK1	A0A096LNZ0		unreviewed
AAK1	A0A096LP25		unreviewed
AAK1	A0A096LP60		unreviewed
AAK1	B7ZLC4		unreviewed
AAK1	E9PG46		unreviewed
AAK1	L0R804		unreviewed
