ID	Transcription_Factor	Cell_type_class	Cell_type	Metadata
ERX200493	CTCF	Blood	B cells	
ERX200494	CTCF	Blood	B cells	
ERX200495	CTCF	Blood	B cells	
ERX200496	CTCF	Blood	B cells	
ERX200497	CTCF	Blood	B cells	
ERX200498	CTCF	Blood	B cells	
ERX200499	CTCF	Blood	B cells	
ERX200500	CTCF	Blood	B cells	
ERX200501	CTCF	Blood	B cells	
ERX200502	CTCF	Blood	B cells	
ERX200503	CTCF	Blood	B cells	
ERX200504	CTCF	Blood	B cells	
ERX200505	CTCF	Blood	B cells	
ERX200506	CTCF	Blood	B cells	
ERX200507	CTCF	Blood	B cells	
ERX200508	CTCF	Blood	B cells	
ERX200509	CTCF	Blood	B cells	
ERX200512	CTCF	Blood	B cells	
ERX200513	CTCF	Blood	B cells	
ERX200514	CTCF	Blood	B cells	
ERX200515	CTCF	Blood	B cells	
ERX200526	CTCF	Blood	B cells	
ERX200532	CTCF	Blood	B cells	
ERX200534	CTCF	Blood	B cells	
ERX200535	CTCF	Blood	B cells	
ERX200536	CTCF	Blood	B cells	
ERX200537	CTCF	Blood	B cells	
ERX200540	CTCF	Blood	B cells	
ERX200543	CTCF	Blood	B cells	
ERX664188	CTCF	Blood	B cells	
ERX664189	CTCF	Blood	B cells	
ERX664190	CTCF	Blood	B cells	
ERX664191	CTCF	Blood	B cells	
ERX664192	CTCF	Blood	B cells	
ERX664193	CTCF	Blood	B cells	
ERX664196	CTCF	Blood	B cells	
ERX664197	CTCF	Blood	B cells	
ERX664198	CTCF	Blood	B cells	
ERX664199	CTCF	Blood	B cells	
ERX664200	CTCF	Blood	B cells	
ERX664201	CTCF	Blood	B cells	
ERX664210	CTCF	Blood	B cells	
SRX018992	TP63	Epidermis	Keratinocytes	source_name=primary keratinocyte | tissue=epidermis | cell line=primary cells | cell type=keratinocytes
SRX019512	CTCF	Adipocyte	Adipose stromal cell	source_name=hASC, ChIP | cell type=Adipose stromal cell (ASC) adipocyte
SRX019519	CTCF	Adipocyte	Adipose stromal cell	source_name=hASC, ChIP | cell type=Adipose stromal cell (ASC) adipocyte
SRX019521	PPARG	Adipocyte	Adipose stromal cell	source_name=hASC, ChIP | cell type=Adipose stromal cell (ASC) adipocyte
SRX026720	CTCF	Pancreas	Pancreatic islets	source_name=Pancreatic islets | tissue=Pancreatic islets | sonication cycles=15
SRX032875	FOXA2	Liver	Liver	source_name=Homogenized Human Liver | cell type=Liver tissue
SRX032876	FOXA2	Liver	Liver	source_name=Homogenized Human Liver | cell type=Liver tissue
SRX032877	FOXA2	Liver	Liver	source_name=Homogenized Human Liver | cell type=Liver tissue
SRX038909	TAL1	Blood	Hematopoietic Stem Cells	source_name=Hematopoietic Stem &amp; Progenitor Cells, TAL1 ChIP | cell type=CD133+ expanded umbilical cord blood (UCB) cells | cell number=3 million
SRX038911	SPI1	Blood	Hematopoietic Stem Cells	source_name=Hematopoietic Stem &amp; Progenitor Cells, Pu.1 ChIP | cell type=CD133+ expanded umbilical cord blood (UCB) cells | cell number=3 million
SRX038913	IKZF1	Blood	Hematopoietic Stem Cells	source_name=Hematopoietic Stem &amp; Progenitor Cells, Ikaros ChIP | cell type=CD133+ expanded umbilical cord blood (UCB) cells | cell number=3 million
SRX038915	MEIS1	Blood	Hematopoietic Stem Cells	source_name=Hematopoietic Stem &amp; Progenitor Cells, MEIS1 ChIP | cell type=CD133+ expanded umbilical cord blood (UCB) cells | cell number=3 million
SRX038916	MEIS1	Blood	Hematopoietic Stem Cells	source_name=Hematopoietic Stem &amp; Progenitor Cells, MEIS1 ChIP | cell type=CD133+ expanded umbilical cord blood (UCB) cells | cell number=3 million
SRX093192	EGR2	Blood	Macrophages	source_name=Monocyte-derived macrophage | cell type=Monocyte-derived macrophage
SRX097068	GATA1	Blood	CD34+	source_name=GATA1 ChIP-seq CD34 erythroid BIO | cell type=Pro-erythroblasts
SRX097070	GATA1	Blood	CD34+	source_name=GATA1 ChIP-seq CD34 erythroid BMP | cell type=Pro-erythroblasts
SRX097073	SMAD1	Blood	CD34 Hematopoietic stem cells	source_name=SMAD1 ChIP-seq CD34+ progenitors BMP | cell type=Hematopoietic Stem &amp; Progenitor Cells
SRX097075	TCF7L2	Blood	CD34 Hematopoietic stem cells	source_name=TCF7L2 ChIP-seq CD34 progenitors BIO | cell type=Hematopoietic Stem &amp; Progenitor Cells
SRX099055	TP63	Epidermis	Keratinocytes	source_name=p63_IP | cell type=Human neonatal foreskin keratinocytes
SRX10059516	CEBPD	Others	Fibroblasts	source_name=amnion fibroblasts | cell type=fibroblasts | treatment=untreated | tissue=amnion
SRX10059517	CEBPD	Others	Fibroblasts	source_name=amnion fibroblasts | cell type=fibroblasts | treatment=untreated | tissue=amnion
SRX10059519	CEBPD	Others	Fibroblasts	source_name=amnion fibroblasts | cell type=fibroblasts | treatment=treated with cortisol for 12 hours | tissue=amnion
SRX10059520	CEBPD	Others	Fibroblasts	source_name=amnion fibroblasts | cell type=fibroblasts | treatment=treated with cortisol for 12 hours | tissue=amnion
SRX1012537	FOXO1	Blood	B cells	source_name=germinal center B cells from tonsil tissues | tissue=Germinal center B cells
SRX1012539	BCL6	Blood	B cells	source_name=germinal center B cells from tonsil tissues | tissue=Germinal center B cells
SRX10142207	CTCF	Blood	B cells	source_name=Triple negative breast cancer B cell | cell type=Triple negative breast cancer B
SRX1027438	CEBPB	Others	Mesenchymal stem cells	source_name=hMSC | cell type=Human Mesenchymal Stem Cells
SRX1027439	CEBPB	Others	Mesenchymal stem cells	source_name=hMSC | cell type=Human Mesenchymal Stem Cells
SRX1027444	CEBPB	Others	Mesenchymal stem cells	source_name=hMSC | cell type=Human Mesenchymal Stem Cells
SRX1027445	CEBPB	Others	Mesenchymal stem cells	source_name=hMSC | cell type=Human Mesenchymal Stem Cells
SRX1027446	CEBPB	Others	Mesenchymal stem cells	source_name=hMSC | cell type=Human Mesenchymal Stem Cells
SRX1027449	CEBPB	Others	Mesenchymal stem cells	source_name=hMSC | cell type=Human Mesenchymal Stem Cells
SRX1027450	CEBPB	Others	Mesenchymal stem cells	source_name=hMSC | cell type=Human Mesenchymal Stem Cells
SRX1027452	ATF4	Others	Mesenchymal stem cells	source_name=hMSC | cell type=Human Mesenchymal Stem Cells
SRX1046556	RAG1	Blood	Thymus	source_name=thymocytes | cell type=thymocytes | genotype=n/a | strain=n/a | age=Mixture: 4 months or 1.5 years
SRX1046557	RAG1	Blood	Thymus	source_name=thymocytes | cell type=thymocytes | genotype=n/a | strain=n/a | age=Mixture: 4 months or 1.5 years
