0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
DRX003661	Chd4	Blood	Th1 Cells	sample_name=DRS003821	"sample comment=Mouse naÃ¯ve CD4 T cells were stimulated under Th1 conditions for 3 days, then ChIP-seq for Chd4 was performed."																									
DRX003662	Chd4	Blood	Th2 Cells	sample_name=DRS003822	"sample comment=Mouse naÃ¯ve CD4 T cells were stimulated under Th2 conditions for 3 days, then ChIP-seq for Chd4 was performed."																									
DRX011942	Clock	Liver	Liver	sample_name=DRS011789	"sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced."	Strain=C57BL/6J																								
DRX011943	Clock	Liver	Liver	sample_name=DRS011790	"sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced."	Strain=C57BL/6J																								
DRX011944	Clock	Liver	Liver	sample_name=DRS011791	"sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced."	Strain=C57BL/6J																								
DRX011945	Clock	Liver	Liver	sample_name=DRS011792	"sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced."	Strain=C57BL/6J																								
DRX011946	Clock	Liver	Liver	sample_name=DRS011793	"sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced."	Strain=C57BL/6J																								
DRX011947	Clock	Liver	Liver	sample_name=DRS011794	"sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced."	Strain=C57BL/6J																								
DRX011948	Clock	Liver	Liver	sample_name=DRS011795	"sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced."	Strain=C57BL/6J																								
DRX011949	Clock	Liver	Liver	sample_name=DRS011796	"sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced."	Strain=C57BL/6J																								
DRX011950	Clock	Liver	Liver	sample_name=DRS011797	"sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced."	Strain=C57BL/6J																								
DRX011951	Clock	Liver	Liver	sample_name=DRS011798	"sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced."	Strain=C57BL/6J																								
DRX011952	Clock	Liver	Liver	sample_name=DRS011799	"sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced."	Strain=C57BL/6J																								
DRX011953	Clock	Liver	Liver	sample_name=DRS011800	"sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced."	Strain=C57BL/6J																								
DRX011954	Clock	Liver	Liver	sample_name=DRS011801	"sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced."	Strain=C57BL/6J																								
