ID	Transcription_Factor	Cell_type_class	Cell_type	Metadata
DRX045218	Pcgf5	Blood	Granulocytic-monocytic progenitors	sample_name=0010_CE_4M_GMP | strain=C57BL6/NCR | tissue_type=bone marrow
DRX045219	Pcgf5	Blood	Granulocytic-monocytic progenitors	sample_name=0010_CE_4M_GMP | strain=C57BL6/NCR | tissue_type=bone marrow
DRX045221	Pcgf5	Blood	Granulocytic-monocytic progenitors	sample_name=0011_Pcgf5CE_4M_GMP | strain=C57BL6/NCR | tissue_type=bone marrow
DRX045222	Pcgf5	Blood	Granulocytic-monocytic progenitors	sample_name=0011_Pcgf5CE_4M_GMP | strain=C57BL6/NCR | tissue_type=bone marrow
DRX053277	Pcgf1	Blood	MEL	sample_name=0012_3xFlag-Pcgf1_MEL
DRX053279	Pcgf5	Blood	MEL	sample_name=0013_3xFlag-Pcgf5_MEL
DRX139344	Bcor	Blood	Granulocytic-monocytic progenitors	sample_name=Bcor_GMP | strain=C57BL6/NCR | tissue=bone marrow
DRX143501	Kdm2b	Blood	Thymocytes	sample_name=3xFlag-KDM2B_thymocytes | strain=C57BL6/NCR | tissue_type=Thymus
DRX143502	Kdm2b	Blood	Thymocytes	sample_name=3xFlag-KDM2B_thymocytes | strain=C57BL6/NCR | tissue_type=Thymus
DRX143503	Kdm2b	Blood	Thymocytes	sample_name=3xFlag-KDM2B_thymocytes | strain=C57BL6/NCR | tissue_type=Thymus
DRX143504	Kdm2b	Blood	Thymocytes	sample_name=3xFlag-KDM2B_thymocytes | strain=C57BL6/NCR | tissue_type=Thymus
DRX143505	Kdm2b	Blood	Thymocytes	sample_name=3xFlag-KDM2B_thymocytes | strain=C57BL6/NCR | tissue_type=Thymus
DRX151667	Bmi1	Blood	LSK cells	sample_name=Bmi1KI_LSK | strain=C57BL6/NCR | tissue_type=bone marrow
ERX383751	Bcl6	Pancreas	Pancreas	ArrayExpress-OrganismPart=Pancreas | ArrayExpress-Phenotype=Cancer | sample description=Chromatin IP
SRX015575	Irf4	Blood	CD4+ T cells	source_name=murine CD4+ T | genotype/variation=wildtype | stimulation=pre IL21
SRX015576	Irf4	Blood	CD4+ T cells	source_name=murine CD4+ T | genotype/variation=wildtype | stimulation=pre IL21
SRX015577	Irf4	Blood	CD4+ T cells	source_name=murine CD4+ T | genotype/variation=wildtype | stimulation=pre IL21
SRX015579	Irf4	Blood	CD4+ T cells	source_name=murine CD4+ T | genotype/variation=wildtype | stimulation=post IL21
SRX015580	Irf4	Blood	CD4+ T cells	source_name=murine CD4+ T | genotype/variation=wildtype | stimulation=post IL21
SRX015581	Irf4	Blood	CD4+ T cells	source_name=murine CD4+ T | genotype/variation=wildtype | stimulation=post IL21
SRX015583	Stat3	Blood	CD4+ T cells	source_name=murine CD4+ T | genotype/variation=wildtype | stimulation=pre IL21
SRX015584	Stat3	Blood	CD4+ T cells	source_name=murine CD4+ T | genotype/variation=wildtype | stimulation=pre IL21
SRX015585	Stat3	Blood	CD4+ T cells	source_name=murine CD4+ T | genotype/variation=wildtype | stimulation=pre IL21
SRX015586	Stat3	Blood	CD4+ T cells	source_name=murine CD4+ T | genotype/variation=wildtype | stimulation=pre IL21
SRX015587	Stat3	Blood	CD4+ T cells	source_name=murine CD4+ T | genotype/variation=wildtype | stimulation=pre IL21
SRX015589	Stat3	Blood	CD4+ T cells	source_name=murine CD4+ T | genotype/variation=wildtype | stimulation=post IL21
SRX015590	Stat3	Blood	CD4+ T cells	source_name=murine CD4+ T | genotype/variation=wildtype | stimulation=post IL21
SRX015591	Stat3	Blood	CD4+ T cells	source_name=murine CD4+ T | genotype/variation=wildtype | stimulation=post IL21
SRX015592	Stat3	Blood	CD4+ T cells	source_name=murine CD4+ T | genotype/variation=wildtype | stimulation=post IL21
SRX015593	Stat3	Blood	CD4+ T cells	source_name=murine CD4+ T | genotype/variation=wildtype | stimulation=post IL21
SRX015594	Stat3	Blood	CD4+ T cells	source_name=murine CD4+ T | genotype/variation=wildtype | stimulation=post IL21
SRX015606	Stat3	Blood	CD4+ T cells	source_name=murine Irf4 deficient CD4+ T | stimulation=pre IL21 | genotype/variation=IRF4 KO
SRX015608	Stat3	Blood	CD4+ T cells	source_name=murine Irf4 deficient CD4+ T | stimulation=post IL21 | genotype/variation=IRF4 KO
SRX015609	Stat3	Blood	CD4+ T cells	source_name=murine Irf4 deficient CD4+ T | stimulation=post IL21 | genotype/variation=IRF4 KO
SRX018600	Crx	Neural	Retina	source_name=Retina, wt, Crx ChIP | strain=C57BL/6 | genotype=WT | age=8 weeks | tissue=retina
SRX018604	Crx	Neural	Retina	source_name=Retina, Nrl ko, Crx ChIP | strain=C57BL/6 | genotype=Nrl-/- | age=8 weeks | tissue=retina
SRX021430	Spi1	Blood	MEL	source_name=Murine erythroleukemia (MEL) cells stably transfected with Gata-1 fused to ER
SRX021431	Spi1	Blood	MEL	source_name=Murine erythroleukemia (MEL) cells stably transfected with Gata-1 fused to ER
SRX021432	Spi1	Blood	MEL	source_name=Murine erythroleukemia (MEL) cells stably transfected with Gata-1 fused to ER
SRX021612	Esr1	Blood	Myeloid Cells	source_name=Conditional Myb transformed myeloid cell line | strain=CBA | cell line=ERMYB
SRX021614	Esr1	Blood	Myeloid Cells	source_name=Conditional Myb transformed myeloid cell line | strain=CBA | cell line=ERMYB
SRX021615	Esr1	Blood	Myeloid Cells	source_name=Conditional Myb transformed myeloid cell line | strain=CBA | cell line=ERMYB
SRX021616	Esr1	Blood	Myeloid Cells	source_name=Conditional Myb transformed myeloid cell line | strain=CBA | cell line=ERMYB
SRX022852	Sin3a	Muscle	C2C12	source_name=C2C12 myoblasts | origin=C2C12 cell line | genetic background=C3H | cell type=myoblast
SRX022854	Sin3a	Muscle	C2C12	source_name=C2C12 myotubes | origin=C2C12 cell line | genetic background=C3H | cell type=myotube
SRX022856	Sin3b	Muscle	C2C12	source_name=C2C12 myoblasts | origin=C2C12 cell line | genetic background=C3H | cell type=myoblast
SRX022858	Sin3b	Muscle	C2C12	source_name=C2C12 myotubes | origin=C2C12 cell line | genetic background=C3H | cell type=myotube
SRX022859	Sin3b	Muscle	C2C12	source_name=C2C12 myotubes | origin=C2C12 cell line | genetic background=C3H | cell type=myotube
SRX022860	Sin3b	Muscle	C2C12	source_name=C2C12 myotubes | origin=C2C12 cell line | genetic background=C3H | cell type=myotube
SRX022861	Sin3b	Muscle	C2C12	source_name=C2C12 myotubes | origin=C2C12 cell line | genetic background=C3H | cell type=myotube
SRX027110	Supt5	Blood	B cells	source_name=ActivatedBCell_Spt5 | strain=C57BL/6 | cell type=in vitro activated B cells
SRX027438	Dmc1	Gonad	Testis	source_name=adult testis | strain=13R/9R cross | genotype/variation=Hop2 -/- | antibody lot=G0909
SRX027439	Dmc1	Gonad	Testis	source_name=adult testis | strain=13R/9R cross | genotype/variation=Hop2 -/- | antibody lot=G0909
SRX027448	Dmc1	Gonad	Testis	source_name=pups testis | strain=9R/13R cross | genotype/variation=wild type | antibody lot=G0909
SRX027449	Dmc1	Gonad	Testis	source_name=pups testis | strain=9R/13R cross | genotype/variation=wild type | antibody lot=G0909
SRX028981	Bcl6	Blood	Macrophages	source_name=primary bone marrow-derived macrophages | cell type=primary bone marrow-derived macrophages | strain=C57BL/6 | treatment=3 hr LPS stimulated macrophages | donor age=10 month old male
SRX028983	Rela	Blood	Macrophages	source_name=primary bone marrow-derived macrophages | cell type=primary bone marrow-derived macrophages | strain=C57BL/6 | treatment=3 hr LPS stimulated macrophages | donor age=10 month old male
