ID	Transcription_Factor	Cell_type_class	Cell_type	Metadata
DRX001053	Smarca4	Muscle	C2C12	sample_name=DRS001035 | sample comment=C2C12 undifferentiated cells 0.5%formaldehyde 5min fixation
DRX001055	Smarca4	Muscle	C2C12	sample_name=DRS001037 | sample comment=C2C12 differentiated cells 0.5%formaldehyde 5min fixation
DRX001057	Smarca4	Muscle	C2C12	sample_name=DRS001039 | sample comment=C2C12 cells transfected mir3139 targeted Chd2 undifferentiated cells 0.5%formaldehyde 5min fixation
DRX001059	Smarca4	Muscle	C2C12	sample_name=DRS001041 | sample comment=C2C12 cells transfected mir3139 targeted Chd2 differentiated cells 0.5%formaldehyde 5min fixation
DRX001066	Chd2	Muscle	C2C12	sample_name=DRS001048 | sample comment=C2C12 undifferentiated cells 0.5%formaldehyde 5min fixation
DRX003661	Chd4	Blood	Th1 Cells	sample_name=DRS003821 | sample comment=Mouse naÃ¯ve CD4 T cells were stimulated under Th1 conditions for 3 days, then ChIP-seq for Chd4 was performed.
DRX003662	Chd4	Blood	Th2 Cells	sample_name=DRS003822 | sample comment=Mouse naÃ¯ve CD4 T cells were stimulated under Th2 conditions for 3 days, then ChIP-seq for Chd4 was performed.
DRX011942	Clock	Liver	Liver	sample_name=DRS011789 | sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced. | Strain=C57BL/6J
DRX011943	Clock	Liver	Liver	sample_name=DRS011790 | sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced. | Strain=C57BL/6J
DRX011944	Clock	Liver	Liver	sample_name=DRS011791 | sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced. | Strain=C57BL/6J
DRX011945	Clock	Liver	Liver	sample_name=DRS011792 | sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced. | Strain=C57BL/6J
DRX011946	Clock	Liver	Liver	sample_name=DRS011793 | sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced. | Strain=C57BL/6J
DRX011947	Clock	Liver	Liver	sample_name=DRS011794 | sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced. | Strain=C57BL/6J
DRX011948	Clock	Liver	Liver	sample_name=DRS011795 | sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced. | Strain=C57BL/6J
DRX011949	Clock	Liver	Liver	sample_name=DRS011796 | sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced. | Strain=C57BL/6J
DRX011950	Clock	Liver	Liver	sample_name=DRS011797 | sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced. | Strain=C57BL/6J
DRX011951	Clock	Liver	Liver	sample_name=DRS011798 | sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced. | Strain=C57BL/6J
DRX011952	Clock	Liver	Liver	sample_name=DRS011799 | sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced. | Strain=C57BL/6J
DRX011953	Clock	Liver	Liver	sample_name=DRS011800 | sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced. | Strain=C57BL/6J
DRX011954	Clock	Liver	Liver	sample_name=DRS011801 | sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced. | Strain=C57BL/6J
DRX011955	Clock	Liver	Liver	sample_name=DRS011802 | sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced. | Strain=C57BL/6J
DRX011956	Clock	Liver	Liver	sample_name=DRS011803 | sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced. | Strain=C57BL/6J
DRX011957	Clock	Liver	Liver	sample_name=DRS011804 | sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced. | Strain=C57BL/6J
DRX011958	Clock	Liver	Liver	sample_name=DRS011805 | sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced. | Strain=C57BL/6J
DRX011959	Clock	Liver	Liver	sample_name=DRS011806 | sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The LD entrained mice were transferred to constant darkness, and in the second day, the mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced. | Strain=C57BL/6J
DRX011960	Clock	Liver	Liver	sample_name=DRS011807 | sample comment=Mice were entrained to 12-hr light (L) and 12-hr dark (D) cycles for at least 2 weeks in a light-tight chamber at a constant temperature (23 Â± 1Â°C). The mice were sacrificed at different time for liver isolation. Nuclear extracts of the mouse liver were cross-linked by 1% formaldehyde, and then sonicated. The samples were used for ChIP with CLSP4 anti-CLOCK antibody. For control experiment, the DNA prepared by ChIP with 1D4 antibody and input DNA were also sequenced. | Strain=C57BL/6J
