DRX184547	ce10	Input control	Input control	Larvae	L1	NA	25716567,92.4,46.0,18768	Illumina HiSeq 3000 sequencing of SAMD00189806	sample_name=smg-2_Input	dev_stage=L1	genotype=smg-2 (yb979) I	phenotype=Nonsense-mediated mRNA decay (NMD)-deficient	strain=KH1668	tissue=whole
DRX184548	ce10	Histone	H3K4me2	Larvae	L1	NA	32033954,86.8,29.4,15698	Illumina HiSeq 3000 sequencing of SAMD00189807	sample_name=smg-2_H3K4me2	dev_stage=L1	genotype=smg-2 (yb979) I	phenotype=Nonsense-mediated mRNA decay (NMD)-deficient	strain=KH1668	tissue=whole
DRX184549	ce10	Histone	H3K27me3	Larvae	L1	NA	26291984,87.5,34.1,9062	Illumina HiSeq 3000 sequencing of SAMD00189808	sample_name=smg-2_H3K27me3	dev_stage=L1	genotype=smg-2 (yb979) I	phenotype=Nonsense-mediated mRNA decay (NMD)-deficient	strain=KH1668	tissue=whole
DRX184550	ce10	Histone	H3K36me3	Larvae	L1	NA	23827690,82.4,34.3,7332	Illumina HiSeq 3000 sequencing of SAMD00189809	sample_name=smg-2_H3K36me3	dev_stage=L1	genotype=smg-2 (yb979) I	phenotype=Nonsense-mediated mRNA decay (NMD)-deficient	strain=KH1668	tissue=whole
DRX184551	ce10	Input control	Input control	Larvae	L1	NA	37754672,80.4,45.3,19520	Illumina HiSeq 3000 sequencing of SAMD00189810	sample_name=sams_Input	dev_stage=L1	genotype=smg-2 (yb979) I; sams-5 (gk147) IV; sams-1 (ok2946) X	phenotype=Nonsense-mediated mRNA decay (NMD)-deficient	strain=KH2421	tissue=whole
DRX184552	ce10	Histone	H3K4me2	Larvae	L1	NA	28391575,89.4,23.3,11445	Illumina HiSeq 3000 sequencing of SAMD00189811	sample_name=sams_H3K4me2	dev_stage=L1	genotype=smg-2 (yb979) I; sams-5 (gk147) IV; sams-1 (ok2946) X	phenotype=Nonsense-mediated mRNA decay (NMD)-deficient	strain=KH2421	tissue=whole
DRX184553	ce10	Histone	H3K27me3	Larvae	L1	NA	29549494,81.6,30.4,9604	Illumina HiSeq 3000 sequencing of SAMD00189812	sample_name=sams_H3K27me3	dev_stage=L1	genotype=smg-2 (yb979) I; sams-5 (gk147) IV; sams-1 (ok2946) X	phenotype=Nonsense-mediated mRNA decay (NMD)-deficient	strain=KH2421	tissue=whole
DRX184554	ce10	Histone	H3K36me3	Larvae	L1	NA	28727719,82.4,31.4,7320	Illumina HiSeq 3000 sequencing of SAMD00189813	sample_name=sams_H3K36me3	dev_stage=L1	genotype=smg-2 (yb979) I; sams-5 (gk147) IV; sams-1 (ok2946) X	phenotype=Nonsense-mediated mRNA decay (NMD)-deficient	strain=KH2421	tissue=whole
DRX325719	ce10	TFs and others	Epitope tags	Adult	Adult	NA	8702767,76.4,39.2,477	Illumina HiSeq 2500 paired end sequencing of SAMD00425310	sample_name=01_Mock_CeWT_H2Av_Dro	antibody=FLAG_ChIP	biological_replicate=replicate_1	dev_stage=adult	phenotype=wild type	sex=hermaphrodite	spike in=Drosophila chromatin	strain=N2
DRX325720	ce10	TFs and others	him-1	Adult	Adult	NA	11514675,98.3,18.0,780	Illumina HiSeq 2500 paired end sequencing of SAMD00425311	sample_name=01_HIM1_CeWT_H2Av_Dro	antibody=HIM-1_ChIP	biological_replicate=replicate_1	dev_stage=adult	phenotype=wild type	sex=hermaphrodite	spike in=Drosophila chromatin	strain=N2
DRX325721	ce10	TFs and others	csr-1	Adult	Adult	NA	8866489,98.0,14.8,644	Illumina HiSeq 2500 paired end sequencing of SAMD00425312	sample_name=01_CSR1_CeWT_H2Av_Dro	antibody=CSR-1_ChIP	biological_replicate=replicate_1	dev_stage=adult	phenotype=wild type	sex=hermaphrodite	spike in=Drosophila chromatin	strain=N2
DRX325722	ce10	TFs and others	coh-3	Adult	Adult	NA	6786223,96.0,17.3,541	Illumina HiSeq 2500 paired end sequencing of SAMD00425313	sample_name=01_COH3n4_CeWT_H2Av_Dro	antibody=COH-3/4_ChIP	biological_replicate=replicate_1	dev_stage=adult	phenotype=wild type	sex=hermaphrodite	spike in=Drosophila chromatin	strain=N2
DRX325723	ce10	Histone	H3K9me2	Adult	Adult	NA	12457621,99.3,12.3,1021	Illumina HiSeq 2500 paired end sequencing of SAMD00425314	sample_name=01_H3K9me2_CeWT_H2Av_Dro	antibody=histone_H3K9me2_ChIP	biological_replicate=replicate_1	dev_stage=adult	phenotype=wild type	sex=hermaphrodite	spike in=Drosophila chromatin	strain=N2
DRX325724	ce10	Histone	H3K9me2	Adult	Adult	NA	10465047,99.1,12.2,988	Illumina HiSeq 2500 paired end sequencing of SAMD00425315	sample_name=01_H3K9me2_Cehim8_H2Av_Dro	antibody=histone_H3K9me2_ChIP	biological_replicate=replicate_1	dev_stage=adult	phenotype=high incidence of males	sex=not determined	spike in=Drosophila chromatin	strain=him-8(tm611)IV
DRX325725	ce10	Histone	H3K9me2	Adult	Adult	NA	9898854,91.1,15.5,719	Illumina HiSeq 2500 paired end sequencing of SAMD00425316	sample_name=01_H3K9me2_Cemet2set25_H2Av_Dro	antibody=histone_H3K9me2_ChIP	biological_replicate=replicate_1	dev_stage=adult	phenotype=absence of H3K9me2 and me3	sex=hermaphrodite	spike in=Drosophila chromatin	strain=met-2(ok2307)set-25(n5021)III
DRX325726	ce10	TFs and others	cec-5	Adult	Adult	NA	8969932,99.3,12.3,927	Illumina HiSeq 2500 paired end sequencing of SAMD00425317	sample_name=01_CEC5_CeWT_H2Av_Dro	antibody=CEC-5_ChIP	biological_replicate=replicate_1	dev_stage=adult	phenotype=wild type	sex=hermaphrodite	spike in=Drosophila chromatin	strain=N2
DRX325727	ce10	TFs and others	cec-5	Adult	Adult	NA	7081179,99.2,11.9,879	Illumina HiSeq 2500 paired end sequencing of SAMD00425318	sample_name=01_CEC5_Cehim8_H2Av_Dro	antibody=CEC-5_ChIP	biological_replicate=replicate_1	dev_stage=adult	phenotype=high incidence of males	sex=not determined	spike in=Drosophila chromatin	strain=him-8(tm611)IV
DRX325728	ce10	TFs and others	cec-5	Unclassified	Unclassified	NA	8994806,98.6,13.7,683	Illumina HiSeq 2500 paired end sequencing of SAMD00425319	sample_name=01_CEC5_Cemet2set25_H2Av_Dro	antibody=CEC-5_ChIP	biological_replicate=replicate_1	dev_stage=adult	phenotype=absence of H3K9me2 and me3	sex=hermaphrodite	spike in=Drosophila chromatin	strain=met-2(ok2307)set-25(n5021)III
