UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho
P49711	Q9P0U1	10664	54543	CTCF	TOMM7	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P49711	Q99784	10664	10439	CTCF	OLFM1	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P49711	Q9Y2U2	10664	10089	CTCF	KCNK7	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P49711	Q00973	10664	2583	CTCF	B4GALNT1	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P49711	O60331	10664	23396	CTCF	PIP5K1C	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P04637	O60673	7157	5980	TP53	REV3L	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
Q9H3D4	A6NC97	8626		TP63	ARB2BP	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
Q9H3D4	Q9Y2L6	8626	23150	TP63	FRMD4B	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P03372	Q8N4T4	2099	84904	ESR1	ARHGEF39	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P49711	Q9NXX6	10664	54780	CTCF	NSMCE4A	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
Q9H3D4	Q96L34	8626	57787	TP63	MARK4	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P49711	Q9H1U9	10664	92014	CTCF	SLC25A51	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P55317	P17028	3169	7572	FOXA1	ZNF24	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P49711	Q9H1H9	10664	63971	CTCF	KIF13A	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P49711	O75907	10664	8694	CTCF	DGAT1	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P49711	P55010	10664	1983	CTCF	EIF5	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
Q9H3D4	Q9P2R3	8626	51479	TP63	ANKFY1	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P49711	Q8N4S7	10664	124222	CTCF	PAQR4	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P04637	Q86WK9	7157	164091	TP53	PAQR7	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P49711	O43795	10664	4430	CTCF	MYO1B	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P49711	Q9ULK4	10664	9439	CTCF	MED23	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P49711	Q92522	10664	8971	CTCF	H1-10	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P49711	O94988	10664	10144	CTCF	FAM13A	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P49711	Q9Y6P5	10664	27244	CTCF	SESN1	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P03372	Q86SG6	2099	284086	ESR1	NEK8	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P49711	Q9Y4K3	10664	7189	CTCF	TRAF6	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
