UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho
Q96AQ6	O75840	57326	8609	PBXIP1	KLF7	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
Q96AQ6	P48039	57326	4543	PBXIP1	MTNR1A	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
Q96AQ6	Q9GZR7	57326	57062	PBXIP1	DDX24	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
Q96AQ6	Q9P2P5	57326	57520	PBXIP1	HECW2	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P04637	Q5T1J5	7157		TP53	CHCHD2P9	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P04637	Q9Y6M9	7157	4715	TP53	NDUFB9	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P04637	P02751	7157	2335	TP53	FN1	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
Q96AQ6	P08581	57326	4233	PBXIP1	MET	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P04637	P05386	7157	6176	TP53	RPLP1	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
Q96AQ6	Q9BUE6	57326	81689	PBXIP1	ISCA1	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
Q96AQ6	Q9H1Z8	57326	84417	PBXIP1	ECRG4	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
Q96AQ6	O75054	57326	3321	PBXIP1	IGSF3	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P04637	Q71UM5	7157	51065	TP53	RPS27L	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P04637	Q9H4B4	7157	1263	TP53	PLK3	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P04637	O95298	7157	4718	TP53	NDUFC2	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
Q96AQ6	Q86UE6	57326	347730	PBXIP1	LRRTM1	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
Q96AQ6	Q01064	57326	5153	PBXIP1	PDE1B	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
Q96AQ6	P02794	57326	2495	PBXIP1	FTH1	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P04637	P07203	7157	2876	TP53	GPX1	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
Q96AQ6	P23468	57326	5789	PBXIP1	PTPRD	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
Q96AQ6	Q9Y2F9	57326	22903	PBXIP1	BTBD3	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
P04637	Q92466	7157	1643	TP53	DDB2	chromatin immunoprecipitation assay	38749504	Homo sapiens	Chip-Atlas	-	-	-	-
