DRX044425	CTCF	Blood	T cells	sample_name=003_ED_ChIP_CTCF_1	cell_line=ED cells	cell_type=T cell	replicate=biological replicate 1
DRX044426	CTCF	Blood	T cells	sample_name=004_ED_ChIP_CTCF_2	cell_line=ED cells	cell_type=T cell	replicate=biological replicate 2										
DRX440344	EZH2	Blood	CD4+ T cells	sample_name=ChIPseq EZH2 of hCD4	age=not applicable	cell_type=CD4 positive T cell	isolate=not applicable	tissue=PBMC									
ERX200492	CTCF	Blood	B cells														
ERX200493	CTCF	Blood	B cells														
ERX200494	CTCF	Blood	B cells														
ERX200495	CTCF	Blood	B cells														
ERX200496	CTCF	Blood	B cells														
ERX200497	CTCF	Blood	B cells														
ERX200498	CTCF	Blood	B cells														
ERX200499	CTCF	Blood	B cells														
ERX200500	CTCF	Blood	B cells														
ERX200501	CTCF	Blood	B cells														
ERX200502	CTCF	Blood	B cells														
ERX200503	CTCF	Blood	B cells														
ERX200504	CTCF	Blood	B cells														
ERX200505	CTCF	Blood	B cells														
ERX200512	CTCF	Blood	B cells														
ERX200513	CTCF	Blood	B cells														
ERX200514	CTCF	Blood	B cells														
ERX200515	CTCF	Blood	B cells														
ERX200526	CTCF	Blood	B cells														
ERX200532	CTCF	Blood	B cells														
ERX200534	CTCF	Blood	B cells														
ERX200536	CTCF	Blood	B cells														
ERX664196	CTCF	Blood	B cells														
ERX664197	CTCF	Blood	B cells														
ERX664198	CTCF	Blood	B cells														
ERX664199	CTCF	Blood	B cells														
ERX664200	CTCF	Blood	B cells														
ERX664201	CTCF	Blood	B cells														
ERX664210	CTCF	Blood	B cells														
SRX003794	CTCF	Blood	CD4+ T cells	cell type=primary CD4+ T cells													
SRX017698	CREBBP	Blood	CD4+ T cells	source_name=CD4+ T cell	cell type=CD4+ T cell	sirna=n/a	treatment=n/a										
SRX017699	EP300	Blood	CD4+ T cells	source_name=CD4+ T cell	cell type=CD4+ T cell	sirna=n/a	treatment=n/a										
SRX017700	KAT2B	Blood	CD4+ T cells	source_name=CD4+ T cell	cell type=CD4+ T cell	sirna=n/a	treatment=n/a										
SRX017701	KAT8	Blood	CD4+ T cells	source_name=CD4+ T cell	cell type=CD4+ T cell	sirna=n/a	treatment=n/a										
SRX017702	KAT5	Blood	CD4+ T cells	source_name=CD4+ T cell	cell type=CD4+ T cell	sirna=n/a	treatment=n/a										
SRX017703	HDAC1	Blood	CD4+ T cells	source_name=CD4+ T cell	cell type=CD4+ T cell	sirna=n/a	treatment=n/a										
SRX017704	HDAC2	Blood	CD4+ T cells	source_name=CD4+ T cell	cell type=CD4+ T cell	sirna=n/a	treatment=n/a										
SRX017705	HDAC3	Blood	CD4+ T cells	source_name=CD4+ T cell	cell type=CD4+ T cell	sirna=n/a	treatment=n/a										
SRX017706	HDAC6	Blood	CD4+ T cells	source_name=CD4+ T cell	cell type=CD4+ T cell	sirna=n/a	treatment=n/a										
