DRX440349	EZH2	Blood	CD4+ T cells	sample_name=ChIPseq EZH2 of TL-Om1	age=not applicable	cell_type=CD4 positive T cell	isolate=not applicable	tissue=not applicable									
DRX440350	TP73	Blood	CD4+ T cells	sample_name=ChIPseq TAp73 of TL-Om1	age=not applicable	cell_type=CD4 positive T cell	isolate=not applicable	tissue=not applicable									
DRX486779	SMAD3	Blood	CD4+ T cells	sample_name=ChIP-seq_ED-pSmad3	age=not applicable	cell_type=CD4 positive T cell	isolate=not applicable	tissue=not applicable									
DRX486781	SMAD3	Blood	CD4+ T cells	sample_name=ChIP-seq_MT1-pSmad3	age=not applicable	cell_type=CD4 positive T cell	isolate=not applicable	tissue=not applicable									
DRX486783	SMAD3	Blood	CD4+ T cells	sample_name=ChIP-seq_Hut78-pSmad3	age=not applicable	cell_type=CD4 positive T cell	isolate=not applicable	tissue=not applicable									
ERX200506	CTCF	Blood	B cells														
ERX200507	CTCF	Blood	B cells														
ERX200508	CTCF	Blood	B cells														
ERX200509	CTCF	Blood	B cells														
ERX200535	CTCF	Blood	B cells														
ERX200537	CTCF	Blood	B cells														
ERX200540	CTCF	Blood	B cells														
ERX200543	CTCF	Blood	B cells														
ERX2242375	BCL11A	Breast	Breast cells	ArrayExpress-OrganismPart=BREAST	sample description=ChIPSeq_BCL11A												
ERX2242379	BCL11A	Breast	Mammary epithelial cells	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Phenotype=TNBC cancer	sample description=BCL11A chipseq											
ERX2242380	CHD8	Breast	Mammary epithelial cells	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Phenotype=TNBC cancer	sample description=CHD8 chipseq											
ERX2242381	ARID1A	Breast	Mammary epithelial cells	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Phenotype=TNBC cancer	sample description=ARID1A chipseq											
ERX2242385	BCL11A	Breast	Mammary epithelial cells	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Phenotype=TNBC cancer (with BCL11A KD)	sample description=BCL11A chipseq											
ERX2242386	CHD8	Breast	Mammary epithelial cells	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Phenotype=TNBC cancer (with BCL11A KD)	sample description=CHD8 chipseq											
ERX2242387	ARID1A	Breast	Mammary epithelial cells	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Phenotype=TNBC cancer (with BCL11A KD)	sample description=ARID1A chipseq											
ERX2242391	BCL11A	Breast	Mammary epithelial cells	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Phenotype=TNBC cancer	sample description=BCL11A chipseq											
ERX2242392	CHD8	Breast	Mammary epithelial cells	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Phenotype=TNBC cancer	sample description=CHD8 chipseq											
ERX2242393	ARID1A	Breast	Mammary epithelial cells	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Phenotype=TNBC cancer	sample description=ARID1A chipseq											
ERX2242397	BCL11A	Breast	Mammary epithelial cells	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Phenotype=TNBC cancer (with BCL11A KD)	sample description=BCL11A chipseq											
ERX2242398	CHD8	Breast	Mammary epithelial cells	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Phenotype=TNBC cancer (with BCL11A KD)	sample description=CHD8 chipseq											
ERX2242399	ARID1A	Breast	Mammary epithelial cells	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Phenotype=TNBC cancer (with BCL11A KD)	sample description=ARID1A chipseq											
ERX2242403	BCL11A	Breast	Mammary epithelial cells	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Phenotype=TNBC cancer	sample description=BCL11A chipseq											
ERX2242404	CHD8	Breast	Mammary epithelial cells	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Phenotype=TNBC cancer	sample description=CHD8 chipseq											
ERX2242405	BCL11A	Breast	Mammary epithelial cells	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Phenotype=TNBC cancer (with BCL11A KD)	sample description=BCL11A chipseq											
ERX2242406	CHD8	Breast	Mammary epithelial cells	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Phenotype=TNBC cancer (with BCL11A KD)	sample description=CHD8 chipseq											
ERX2242409	ARID1A	Breast	Mammary epithelial cells	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Phenotype=TNBC cancer (with BCL11A KD)	sample description=ARID1A chipseq											
ERX2242411	ARID1A	Breast	Mammary epithelial cells	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Phenotype=TNBC cancer	sample description=ARID1A chipseq											
ERX2242414	ARID1A	Breast	Mammary epithelial cells	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Phenotype=TNBC cancer (with BCL11A KD)	sample description=ARID1A chipseq											
ERX2666242	ARID1A	Breast	Mammary epithelial cells	ArrayExpress-DevelopmentalStage=Tumour	ArrayExpress-Phenotype=TNBC cancer	sample description=ARID1A chipseq											
ERX371659	BCL11A	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=MDA231 cells BCL11A pulldown									
ERX371660	BRD4	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=MDA231 cells BRD4 pulldown									
ERX371663	BCL11A	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=MDA157 cells BCL11A pulldown									
ERX371664	BRD4	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=MDA157 cells BRD4 pulldown									
ERX371667	BCL11A	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=MCF10A cells BCL11A pulldown									
ERX371668	BRD4	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=MCF10A cells BRD4 pulldown									
ERX371671	BRD4	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=T47D cell line									
ERX371674	BCL11A	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=MDA231 cells BCL11A pulldown									
ERX371675	BRD4	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=MDA231 cells BRD4 pulldown									
ERX371678	BCL11A	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=MDA157 cells BCL11A pulldown									
ERX371679	BRD4	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=MDA157 cells BRD4 pulldown									
ERX371682	BCL11A	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=MCF10A cells BCL11A pulldown									
ERX371683	BRD4	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=MCF10A cells BRD4 pulldown									
ERX371686	BRD4	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=T47D cell line									
ERX371689	BCL11A	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=MDA231 cells BCL11A pulldown									
ERX371690	BRD4	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=MDA231 cells BRD4 pulldown									
ERX371693	BCL11A	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=MDA157 cells BCL11A pulldown									
ERX371694	BRD4	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=MDA157 cells BRD4 pulldown									
ERX371697	BCL11A	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=MCF10A cells BCL11A pulldown									
ERX371698	BRD4	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=MCF10A cells BRD4 pulldown									
ERX371701	BRD4	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=T47D cell line									
ERX371704	BCL11A	Breast	Mammary epithelial cells	ArrayExpress-Genotype=Wildtype	ArrayExpress-GrowthCondition=As described on ATCC	ArrayExpress-OrganismPart=Mammary gland	ArrayExpress-Phenotype=Cancer	sample description=MDA231 cells BCL11A pulldown									
