ID,keyword_classification,keyword_confidence,keyword_reason,final_classification,llm_reason,classification_method
DRX440344,unknown,0,No relevant keywords,non-native,LLM Classification (Non-Native). Reason: sample_name=ChIPseq EZH2,LLM (Fallback)
DRX440349,unknown,0,No relevant keywords,non-native,LLM Classification (Non-Native). Reason: sample_name=ChIPseq EZH2 of TL-Om1,LLM (Fallback)
SRX017709,unknown,0,No relevant keywords,native,LLM Classification (Native). Reason: Cell_type=CD4+ T cells | Metadata=activated CD4+ T cell | treatment=n/a,LLM (Fallback)
SRX037935,native,75,"Highest weight keyword: 'wt' (category: native, score: 100.0). Matches found: 'wt' in 'condition' (native/100.0)",native,LLM Classification (Native). Reason: condition=CD34 WT,LLM (Native Validation)
SRX037940,non-native,100,"Highest weight keyword: 'RNAi' (category: strong_non_native, score: 100.0). Matches found: 'RNAi' in 'condition' (strong_non_native/100.0); 'kd' in 'condition' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX037941,non-native,100,"Highest weight keyword: 'kd' (category: strong_non_native, score: 100.0). Matches found: 'kd' in 'condition' (strong_non_native/100.0); 'control' in 'condition' (native/100.0)",non-native,,Keyword (Non-Native)
SRX11513464,native,75,"Highest weight keyword: 'donor' (category: native, score: 100.0). Matches found: 'donor' in 'individual' (native/100.0)",non-native,LLM Classification (Non-Native). Reason: source_name=Dendritic cells differentiated from monocytes 24 hours,LLM (Native Validation)
SRX11513465,native,75,"Highest weight keyword: 'donor' (category: native, score: 100.0). Matches found: 'donor' in 'individual' (native/100.0)",non-native,LLM Classification (Non-Native). Reason: differentiated from monocytes,LLM (Native Validation)
SRX12118509,unknown,0,No relevant keywords,non-native,LLM Classification (Non-Native). Reason: knock down=NA,LLM (Fallback)
SRX12209241,native,75,"Highest weight keyword: 'control' (category: native, score: 100.0). Matches found: 'stimulated' in 'source_name' (weak_non_native/100.0); 'control' in 'case or control' (native/100.0)",native,LLM Classification (Native). Reason: case or control=Control,LLM (Native Validation)
SRX14280060,unknown,0,No relevant keywords,non-native,LLM Classification (Non-Native). Reason: disease state=NAFLD,LLM (Fallback)
SRX14280087,native,75,"Highest weight keyword: 'normal' (category: native, score: 100.0). Matches found: 'normal' in 'disease state' (native/100.0); 'control' in 'disease state' (native/100.0)",native,LLM Classification (Native). Reason: disease state=Normal control,LLM (Native Validation)
SRX15717771,native,75,"Highest weight keyword: 'untreated' (category: native, score: 100.0). Matches found: 'untreated' in 'treatment' (native/100.0)",native,LLM Classification (Native). Reason: treatment=untreated,LLM (Native Validation)
SRX16495661,unknown,0,No relevant keywords,native,"LLM Classification (Native). Reason: Cell_type=CD8+ T cells, sample type=primary cell, cell type=CD8-positive, alpha-beta T cell, dev stage=adult",LLM (Fallback)
SRX16495698,unknown,0,No relevant keywords,native,LLM Classification (Native). Reason: Cell_type_class=Neural | Cell_type=Frontal cortex | sample type=tissue | dev stage=adult,LLM (Fallback)
SRX170349,native,75,"Highest weight keyword: 'wild-type' (category: native, score: 100.0). Matches found: 'wild-type' in 'genotype/variation' (native/100.0)",native,LLM Classification (Native). Reason: genotype/variation=wild type,LLM (Native Validation)
SRX1738529,unknown,0,No relevant keywords,non-native,LLM Classification (Non-Native). Reason: Metadata=source_name=Human Stem and Progenitor Cell,LLM (Fallback)
SRX18672590,native,75,"Highest weight keyword: 'untreated' (category: native, score: 100.0). Matches found: 'untreated' in 'treatment' (native/100.0)",non-native,LLM Classification (Non-Native). Reason: cell line=C20,LLM (Native Validation)
SRX18672592,unknown,0,No relevant keywords,non-native,LLM Classification (Non-Native). Reason: cell line=C20 | treatment=CTCF-KD,LLM (Fallback)
SRX18768994,unknown,0,No relevant keywords,native,LLM Classification (Native). Reason: cell type=Human primary adipose stem cells,LLM (Fallback)
SRX19123217,native,75,"Highest weight keyword: 'control' (category: native, score: 100.0). Matches found: 'control' in 'disease state' (native/100.0)",native,LLM Classification (Native). Reason: disease state=healthy control,LLM (Native Validation)
SRX212182,non-native,100,"Highest weight keyword: 'fetal' (category: strong_non_native, score: 100.0). Matches found: 'fetal' in 'source_name' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX212351,unknown,0,No relevant keywords,native,LLM Classification (Native). Reason: treatment=none | stress=Normoxy 20% O2,LLM (Fallback)
SRX212353,unknown,0,No relevant keywords,non-native,LLM Classification (Non-Native). Reason: stress=Hypoxy 1% O2 4 hours,LLM (Fallback)
SRX2166886,non-native,100,"Highest weight keyword: 'fetal' (category: strong_non_native, score: 100.0). Matches found: 'fetal' in 'age' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX2253220,unknown,0,No relevant keywords,non-native,LLM Classification (Non-Native). Reason: diagnosis=CLL,LLM (Fallback)
SRX23045261,native,75,"Highest weight keyword: 'vehicle' (category: native, score: 100.0). Matches found: 'vehicle' in 'treatment' (native/100.0)",native,LLM Classification (Native). Reason: treatment=Vehicle,LLM (Native Validation)
SRX23045263,unknown,0,No relevant keywords,non-native,LLM Classification (Non-Native). Reason: treatment=TGFb,LLM (Fallback)
SRX23335286,unknown,0,No relevant keywords,non-native,LLM Classification (Non-Native). Reason: age=0 | passage number=2,LLM (Fallback)
SRX23335288,unknown,0,No relevant keywords,non-native,LLM Classification (Non-Native). Reason: passage number=2,LLM (Fallback)
SRX23335289,unknown,0,No relevant keywords,non-native,LLM Classification (Non-Native). Reason: passage number=2,LLM (Fallback)
SRX23335290,unknown,0,No relevant keywords,non-native,LLM Classification (Non-Native). Reason: passage number=2,LLM (Fallback)
SRX23335291,unknown,0,No relevant keywords,native,LLM Classification (Native). Reason: Cell_type=CD4+ T cells | Metadata=source_name=CD4 T-cells | cell type=CD4 T-cells,LLM (Fallback)
SRX23383575,non-native,100,"Highest weight keyword: 'neonatal' (category: strong_non_native, score: 100.0). Matches found: 'neonatal' in 'cell line' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
SRX23548768,native,75,"Highest weight keyword: 'control' (category: native, score: 100.0). Matches found: 'control' in 'genotype' (native/100.0)",native,LLM Classification (Native). Reason: genotype=control,LLM (Native Validation)
SRX23548770,non-native,100,"Highest weight keyword: 'overexpression' (category: strong_non_native, score: 100.0). Matches found: 'overexpression' in 'genotype' (strong_non_native/100.0)",non-native,,Keyword (Non-Native)
