ID	Transcription_Factor	Cell_type_class	Cell_type	Metadata
SRX017709	KAT5	Blood	CD4+ T cells	source_name=CD4+ T cell | cell type=activated CD4+ T cell | sirna=n/a | treatment=n/a
SRX037935	CTCF	Blood	CD34+	source_name=CD34 | condition=CD34 WT
SRX12209241	NFKB1	Blood	CD4+ T cells	source_name=CD3/CD28 stimulated CD4+ T cells | cell type=CD4+ T cells | case or control=Control | age=53
SRX14280087	LMNB1	Liver	Liver	source_name=Liver | tissue=liver | disease state=Normal control
SRX15717771	HNF4A	Pancreas	Pancreatic islets	source_name=Human islets | cell type=Primary human islets | treatment=untreated
SRX16495661	CTCF	Blood	CD8+ T cells	age=21 year | sample type=primary cell | cell type=CD8-positive, alpha-beta T cell | dev stage=adult | donor ID=ENCDO781BMZ
SRX16495698	CTCF	Neural	Frontal cortex	age=90 or above year | sample type=tissue | tissue=middle frontal area 46 | dev stage=adult | donor ID=ENCDO470GFA
SRX170349	EP300	Blood	CD36+	source_name=Blood | tissue=Blood | developmental stage=Adult | genotype/variation=wild type | cell type=CD36
SRX18768994	LMNA	Adipocyte	Adipose stem cells	source_name=Adipose | cell type=Human primary adipose stem cells | tissue=Adipose | time=Day 0 | replicate=Rep2
SRX19123217	DAXX	Blood	B cells	source_name=Human B lymphocytes | cell line=Human B lymphocytes | disease state=healthy control
SRX212351	HIF1A	Blood	Macrophages	source_name=macrophage | donor=1 | stress=Normoxy 20% O2 | treatment=none
SRX23045261	GLI1	Epidermis	Dermal fibroblast	source_name=Human dermal fibroblasts | cell type=Human dermal fibroblasts | treatment=Vehicle
SRX23335291	EZH2	Blood	CD4+ T cells	source_name=CD4 T-cells | cell type=CD4 T-cells | age=23 | passage number=None
SRX23548768	TP53	Cardiovascular	Vascular smooth muscle cells	source_name=vascular smooth muscle cell | cell type=vascular smooth muscle cell | genotype=control
SRX3195440	MLLT3	Blood	CD34+ cells	source_name=FLAG MLL-AF9 ChIPseq | cell type=human CD34+ | genotype=control untreated
SRX3322085	CTCF	Digestive tract	Gastroesophageal sphincter	tissue=gastroesophageal sphincter | sample_type=tissue | age=37 year | donor ID=ENCDO845WKR | dev_stage=adult
SRX3584198	RUNX1	Gonad	Epididymis	source_name=Epididymis | cell type=Primary human epididymis cells
SRX5360085	EZH2	Epidermis	Dermal fibroblast	source_name=Dermal Fibroblasts | neoplastic stage=untransformed
SRX5371741	NFKB1	Blood	CD4+ T cells	source_name=primary blood | individual=donor 206 | cell type=CD4pos_T | lineage=CD4
SRX5574342	SPI1	Blood	Monocytes	source_name=cMO_PU.1-ChIP | donr id=donorA | tissue/cell type=peripheral blood | cell subtype=primary monocytes
SRX5716451	SOX2	Neural	Neural progenitor cells	source_name=hNPCs | genotype/variation=wild type | sirna=none | lentiviral expression=none
SRX5839978	CREBBP	Blood	Macrophages	source_name=Primary human monocyte-derived macrophages | tissue=peripheral blood | cell type=monocytes
SRX6578928	CTCF	Blood	T cells	source_name=Peripheral blood T cells | tissue=Peripheral blood | disease state=Healthy T cells | treatment=N/A
SRX6784062	CTCF	Lung	Lung	sample_type=tissue | tissue=upper lobe of left lung | dev_stage=adult | age=51 year | donor ID=ENCDO271OUW
SRX7509594	CTCF	Gonad	Testis	sample_type=tissue | tissue=testis | dev_stage=adult | age=37 year | donor ID=ENCDO845WKR
SRX8841631	RAD21	Blood	Lymphoblasts	source_name=RAD21-ChIP-seq-WT | condition=Normal | cell type=Lymphoblast cells
SRX885892	CEBPB	Blood	Macrophages	source_name=Macrophage-control | treatment=Control | cell type=Macrophage
SRX9867030	CTCF	Blood	CD8+ T cells	source_name=1818759_CD8_CTCF_REP1 | cell type=CD8
