ID	Reason
DRX440349	Tumor cell line
DRX486781	Immortalized cell line
ERX2242379	Cancer
ERX2242380	Cancer
ERX2242381	Cancer
ERX2242385	Knockdown (KD)
ERX2242386	Knockdown (KD)
ERX2242387	Knockdown (KD)
ERX2242391	TNBC cancer
ERX2242392	TNBC cancer
ERX2242393	TNBC cancer
ERX2242397	(with BCL11A KD)
ERX2242398	(with BCL11A KD)
ERX2242399	(with BCL11A KD)
ERX2242403	cancer
ERX2242404	cancer
ERX2242405	cancer with KD
ERX2242406	cancer with KD
ERX2242409	cancer with KD
ERX2242411	cancer
ERX371667	Cancer phenotype
ERX371668	Cancer phenotype, immortalized cell line(MCF10A)
ERX371671	Cancer phenotype, immortalized cell line(T47D)
ERX371674	Cancer phenotype, immortalized cell line(MDA231)
ERX371675	Cancer phenotype, immortalized cell line(MDA231)
ERX371678	Cancer phenotype, immortalized cell line(MDA157)
ERX371679	Cancer phenotype and MDA157 cell line
ERX371682	Cancer phenotype and MCF10A cell line
ERX371683	Cancer phenotype and MCF10A cell line
ERX371686	Cancer phenotype and T47D cell line
ERX371689	Cancer phenotype and MDA231 cell line
ERX371690	Cancer phenotype and MDA231 cell line
ERX371693	Phenotype=cancer
ERX371694	Phenotype=cancer
ERX371697	Phenotype=cancer
ERX371698	sample is an immortal cell line
ERX371698	Phenotype=cancer
ERX371705	Cancer phenotype
ERX371708	Immortalized cell line (MDA157)
ERX371709	Immortalized cell line (MDA157)
ERX371712	Immortalized cell line (MCF10A)
ERX371713	Immortalized cell line (MCF10A)
ERX371716	Immortalized cell line(T47D)
SRX017709	Activated
SRX021983	Mentioned non-native sample
SRX022392	Treated with calcitriol
SRX022393	Treated with calcitriol
SRX022396	Treated with calcitriol
SRX022397	Treated with calcitriol
SRX026659	Leukemia
SRX026660	Treatment with zinc
SRX029433	Cultured cells
SRX029434	Cultured cells
SRX029435	Cultured cells
SRX029436	Cultured cells
SRX029437	Cultured cells
SRX037935	No non-native indicators found, but the condition is not clearly native.
SRX037936	Condition indicates BRG1 KD shLuc control
SRX037937	Condition indicates BRG1 RNAi KD
SRX037938	Condition indicates BRG1 RNAi KD
SRX037939	Condition indicates BRG1 KD shLuc control
SRX037940	Condition indicates BRG1 RNAi KD
SRX037941	Knockdown (KD)
SRX038908	Fetal indicator
SRX038909	Fetal indicator
SRX038910	Fetal indicator
SRX038911	Fetal indicator
SRX038912	Fetal indicator
SRX038913	Fetal indicator
SRX038914	Expanded UCB cells
SRX038915	Expanded UCB cells
SRX038916	Expanded UCB cells
SRX041287	Treated with IFNg
SRX041289	Treated with IL-12
SRX041291	Treated with IL-2
SRX041293	Treated with IL-2
SRX062339	Cancer patient
SRX097069	BMP treatment
SRX097070	BMP treatment
SRX097072	Progenitors BIO
SRX097073	Progenitors BMP
SRX099053	Neonatal sample
SRX099055	Neonatal sample
SRX099629	Fetal sample
SRX10056752	Treated
SRX10059518	Treated with cortisol
SRX10059519	Treated with cortisol
SRX10059520	Treated with cortisol
SRX10131662	Immortalized cell line (HBTEC)
SRX10131663	Immortalized Cell Line
SRX10131679	 Treated with A-485
SRX10131681	Treated with A-485
SRX10131682	Treated with DMSO
SRX10131683	Treated with A-485
SRX10142206	Cancer
SRX10142207	Cancer
SRX10145208	Treated with PMA
SRX10145211	Treated with CD40L-IgM
SRX10145212	Treated with PMA
SRX10206211	Immortalized cell line
SRX10206213	Immortalized cell line
SRX10206214	Immortalized cell line
SRX10212065	Stimulated cells
SRX10212066	Stimulated, treated with low arginine
SRX10212067	 Treated with arginine-free media
SRX10212068	Stimulated cells 
SRX10212070	Treated with arginines-free media
SRX1023790	Treated
SRX1023791	Treated
SRX1023796	Treated with GM-CSF and IL4
SRX1023797	Treated with multiple compounds (GM-CSF + TNF-a + PGE2 + Pam3CSK4)
