0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
DRX044425	CTCF	Blood	T cells	NA	47350725,83.9,12.9,33514	NextSeq 500 sequencing of SAMD00043218	sample_name=003_ED_ChIP_CTCF_1	collection_date=2015-03-10	cell_line=ED cells	cell_type=T cell	replicate=biological replicate 1																							
DRX044426	CTCF	Blood	T cells	NA	38944220,94.6,11.9,33923	NextSeq 500 sequencing of SAMD00043219	sample_name=004_ED_ChIP_CTCF_2	collection_date=2015-03-18	cell_line=ED cells	cell_type=T cell	replicate=biological replicate 2																							
DRX440344	EZH2	Blood	CD4+ T cells	NA	23398587,57.6,41.8,108	Illumina NovaSeq 6000 paired end sequencing of SAMD00590213	sample_name=ChIPseq EZH2 of hCD4	age=not applicable	biomaterial_provider=not applicable	cell_type=CD4 positive T cell	isolate=not applicable	sex=not applicable	tissue=PBMC	collection_date=missing	geo_loc_name=missing																			
DRX440349	EZH2	Blood	CD4+ T cells	NA	22805889,95.9,5.1,687	Illumina NovaSeq 6000 paired end sequencing of SAMD00590218	sample_name=ChIPseq EZH2 of TL-Om1	age=not applicable	biomaterial_provider=not applicable	cell_type=CD4 positive T cell	isolate=not applicable	sex=not applicable	tissue=not applicable	collection_date=missing	geo_loc_name=missing																			
DRX440350	TP73	Blood	CD4+ T cells	NA	23848338,96.2,5.9,1453	Illumina NovaSeq 6000 paired end sequencing of SAMD00590219	sample_name=ChIPseq TAp73 of TL-Om1	age=not applicable	biomaterial_provider=not applicable	cell_type=CD4 positive T cell	isolate=not applicable	sex=not applicable	tissue=not applicable	collection_date=missing	geo_loc_name=missing																			
DRX486779	SMAD3	Blood	CD4+ T cells	NA	21557106,97.6,8.8,717	ChIP-sequencing of SAMD00642770	sample_name=ChIP-seq_ED-pSmad3	age=not applicable	biomaterial_provider=not applicable	cell_type=CD4 positive T cell	collection_date=not applicable	geo_loc_name=not applicable	isolate=not applicable	sex=not applicable	tissue=not applicable																			
DRX486781	SMAD3	Blood	CD4+ T cells	NA	23246115,97.5,9.9,351	ChIP-sequencing of SAMD00642772	sample_name=ChIP-seq_MT1-pSmad3	age=not applicable	biomaterial_provider=not applicable	cell_type=CD4 positive T cell	collection_date=not applicable	geo_loc_name=not applicable	isolate=not applicable	sex=not applicable	tissue=not applicable																			
DRX486783	SMAD3	Blood	CD4+ T cells	NA	24927447,97.8,10.9,276	ChIP-sequencing of SAMD00642774	sample_name=ChIP-seq_Hut78-pSmad3	age=not applicable	biomaterial_provider=not applicable	cell_type=CD4 positive T cell	collection_date=not applicable	geo_loc_name=not applicable	isolate=not applicable	sex=not applicable	tissue=not applicable																			
ERX200492	CTCF	Blood	B cells	NA	52387607,98.7,18.3,17558	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=male	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706514	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:24Z	INSDC status=public	Submitter Id=GM12005-sc-2011-06-09T13:38:28Z-1162237	common name=human	sample name=GM12005-sc-2011-06-09T13:38:28Z-1162237													
ERX200493	CTCF	Blood	B cells	NA	53495659,99.1,12.2,16782	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=female	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706516	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:25Z	INSDC status=public	Submitter Id=GM12006-sc-2011-06-09T13:38:29Z-1162238	common name=human	sample name=GM12006-sc-2011-06-09T13:38:29Z-1162238													
ERX200494	CTCF	Blood	B cells	NA	54416440,98.3,28.5,13711	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=male	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706509	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:23Z	INSDC status=public	Submitter Id=GM11992-sc-2011-06-09T13:38:24Z-1162231	common name=human	sample name=GM11992-sc-2011-06-09T13:38:24Z-1162231													
ERX200495	CTCF	Blood	B cells	NA	47303159,98.9,24.5,37858	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=male	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706511	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:02Z	INSDC status=public	Submitter Id=GM11994-sc-2011-06-09T13:38:25Z-1162233	common name=human	sample name=GM11994-sc-2011-06-09T13:38:25Z-1162233													
ERX200496	CTCF	Blood	B cells	NA	46288632,98.3,36.9,17374	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=female	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706504	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:25Z	INSDC status=public	Submitter Id=GM11894-sc-2011-06-09T13:38:21Z-1162226	common name=human	sample name=GM11894-sc-2011-06-09T13:38:21Z-1162226													
ERX200497	CTCF	Blood	B cells	NA	41810245,98.5,42.1,1226	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=female	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706505	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:02Z	INSDC status=public	Submitter Id=GM11918-sc-2011-06-09T13:38:22Z-1162227	common name=human	sample name=GM11918-sc-2011-06-09T13:38:22Z-1162227													
ERX200498	CTCF	Blood	B cells	NA	43710215,96.5,44.5,665	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=female	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706501	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:24Z	INSDC status=public	Submitter Id=GM11832-sc-2011-06-09T13:38:20Z-1162223	common name=human	sample name=GM11832-sc-2011-06-09T13:38:20Z-1162223													
ERX200499	CTCF	Blood	B cells	NA	54528341,99.3,24.2,27003	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=male	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706503	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:23Z	INSDC status=public	Submitter Id=GM11881-sc-2011-06-09T13:38:21Z-1162225	common name=human	sample name=GM11881-sc-2011-06-09T13:38:21Z-1162225													
ERX200500	CTCF	Blood	B cells	NA	41701981,98.9,18.4,18787	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=female	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706504	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:25Z	INSDC status=public	Submitter Id=GM11894-sc-2011-06-09T13:38:21Z-1162226	common name=human	sample name=GM11894-sc-2011-06-09T13:38:21Z-1162226													
ERX200501	CTCF	Blood	B cells	NA	44181697,99.5,20.3,978	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=female	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706505	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:02Z	INSDC status=public	Submitter Id=GM11918-sc-2011-06-09T13:38:22Z-1162227	common name=human	sample name=GM11918-sc-2011-06-09T13:38:22Z-1162227													
ERX200502	CTCF	Blood	B cells	NA	45399240,98.7,14.5,13653	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=male	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706509	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:23Z	INSDC status=public	Submitter Id=GM11992-sc-2011-06-09T13:38:24Z-1162231	common name=human	sample name=GM11992-sc-2011-06-09T13:38:24Z-1162231													
ERX200503	CTCF	Blood	B cells	NA	36058602,99.0,7.2,36114	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=male	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706511	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:02Z	INSDC status=public	Submitter Id=GM11994-sc-2011-06-09T13:38:25Z-1162233	common name=human	sample name=GM11994-sc-2011-06-09T13:38:25Z-1162233													
ERX200504	CTCF	Blood	B cells	NA	30736003,99.6,7.2,9521	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=male	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706514	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:24Z	INSDC status=public	Submitter Id=GM12005-sc-2011-06-09T13:38:28Z-1162237	common name=human	sample name=GM12005-sc-2011-06-09T13:38:28Z-1162237													
ERX200505	CTCF	Blood	B cells	NA	47692614,99.2,8.4,13931	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=female	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706516	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:25Z	INSDC status=public	Submitter Id=GM12006-sc-2011-06-09T13:38:29Z-1162238	common name=human	sample name=GM12006-sc-2011-06-09T13:38:29Z-1162238													
ERX200506	CTCF	Blood	B cells	NA	42740826,98.2,4.5,25238	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=female	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706519	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:24Z	INSDC status=public	Submitter Id=GM12234-sc-2011-06-09T13:38:33Z-1162246	common name=human	sample name=GM12234-sc-2011-06-09T13:38:33Z-1162246													
ERX200507	CTCF	Blood	B cells	NA	43360285,97.7,12.9,11734	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=female	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706520	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:25Z	INSDC status=public	Submitter Id=GM12249-sc-2011-06-09T13:38:34Z-1162247	common name=human	sample name=GM12249-sc-2011-06-09T13:38:34Z-1162247													
ERX200508	CTCF	Blood	B cells	NA	51156155,98.0,5.7,24620	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=female	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706523	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:24Z	INSDC status=public	Submitter Id=GM12749-sc-2011-06-09T13:38:36Z-1162252	common name=human	sample name=GM12749-sc-2011-06-09T13:38:36Z-1162252													
ERX200509	CTCF	Blood	B cells	NA	50705263,99.2,15.7,1157	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=male	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706524	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:02Z	INSDC status=public	Submitter Id=GM12812-sc-2011-06-09T13:38:41Z-1162260	common name=human	sample name=GM12812-sc-2011-06-09T13:38:41Z-1162260													
ERX200512	CTCF	Blood	B cells	NA	41223862,98.1,23.6,26475	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=male	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706525	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:25Z	INSDC status=public	Submitter Id=GM12814-sc-2011-06-09T13:38:42Z-1162262	common name=human	sample name=GM12814-sc-2011-06-09T13:38:42Z-1162262													
ERX200513	CTCF	Blood	B cells	NA	37079967,95.9,23.5,17439	-	ArrayExpress-CellType=B-Lymphocyte	ArrayExpress-Immunoprecipitate=CTCF	ArrayExpress-Sex=female	ArrayExpress-Species=Homo sapiens	ENA first public=2013-01-30	ENA last update=2018-03-08	External Id=SAMEA1706529	INSDC center alias=SC	INSDC center name=Wellcome Sanger Institute	INSDC first public=2013-01-30T11:24:07Z	INSDC last update=2018-03-08T15:27:04Z	INSDC status=public	Submitter Id=GM12815-sc-2011-06-09T13:38:42Z-1162263	common name=human	sample name=GM12815-sc-2011-06-09T13:38:42Z-1162263													
