Experiment ID,Track type,Cell type class,Cell type,Keyword
SRX1403228,JMJD6,Others,Tumor,tumor
SRX1403231,JMJD6,Others,Tumor,tumor
SRX14718976,TCF21,Others,Tumor,tumor
SRX1670478,RBPJ,Others,Tumor,tumor
SRX1670479,RBPJ,Others,Tumor,tumor
SRX1744213,PGBD5,Kidney,Rhabdoid Tumor,tumor
SRX2270409,JMJD6,Others,Tumor,tumor
SRX2270413,JMJD6,Others,Tumor,tumor
SRX695881,ASCL1,Others,Tumor,tumor
SRX695882,ASCL1,Others,Tumor,tumor
SRX695883,ASCL1,Others,Tumor,tumor
SRX695884,ASCL1,Others,Tumor,tumor
SRX695885,ASCL1,Others,Tumor,tumor
SRX695886,ASCL1,Others,Tumor,tumor
SRX695887,ASCL1,Others,Tumor,tumor
SRX695888,ASCL1,Others,Tumor,tumor
SRX695889,ASCL1,Others,Tumor,tumor
SRX695890,ASCL1,Others,Tumor,tumor
SRX695891,ASCL1,Others,Tumor,tumor
SRX8726280,BMI1,Others,Tumor,tumor
SRX8726281,BMI1,Others,Tumor,tumor
SRX8726286,BMI1,Others,Tumor,tumor
SRX8726289,BMI1,Others,Tumor,tumor
SRX8726294,BMI1,Others,Tumor,tumor
SRX8726297,BMI1,Others,Tumor,tumor
SRX8726304,BMI1,Others,Tumor,tumor
SRX8726306,BMI1,Others,Tumor,tumor
SRX8898037,SUZ12,Others,Tumor-derived cell line,tumor
SRX8898038,SUZ12,Others,Tumor-derived cell line,tumor
SRX8898039,SUZ12,Others,Tumor-derived cell line,tumor
SRX8898040,SUZ12,Others,Tumor-derived cell line,tumor
SRX8898041,SUZ12,Others,Tumor-derived cell line,tumor
SRX8898042,SUZ12,Others,Tumor-derived cell line,tumor
SRX9794645,EZH2,Others,Tumor,tumor
SRX9794646,EZH2,Others,Tumor,tumor
SRX1745724,ESR1,Uterus,Endometrial Stromal Tumors,tumors
SRX1745725,FOXA1,Uterus,Endometrial Stromal Tumors,tumors
SRX1745728,ESR1,Uterus,Endometrial Stromal Tumors,tumors
SRX1745729,FOXA1,Uterus,Endometrial Stromal Tumors,tumors
SRX1745732,ESR1,Uterus,Endometrial Stromal Tumors,tumors
SRX1745733,FOXA1,Uterus,Endometrial Stromal Tumors,tumors
SRX1745736,ESR1,Uterus,Endometrial Stromal Tumors,tumors
SRX1745738,ESR1,Uterus,Endometrial Stromal Tumors,tumors
SRX1745739,FOXA1,Uterus,Endometrial Stromal Tumors,tumors
SRX1745742,ESR1,Uterus,Endometrial Stromal Tumors,tumors
SRX1745743,FOXA1,Uterus,Endometrial Stromal Tumors,tumors
SRX3944340,BRD4,Digestive tract,Gastrointestinal Stromal Tumors,tumors
SRX3944342,BRD4,Digestive tract,Gastrointestinal Stromal Tumors,tumors
SRX3944344,BRD4,Digestive tract,Gastrointestinal Stromal Tumors,tumors
SRX371427,ESR1,Others,Tumour tissues,tumour
SRX371428,ESR1,Others,Tumour tissues,tumour
SRX371429,ESR1,Others,Tumour tissues,tumour
SRX371430,ESR1,Others,Tumour tissues,tumour
SRX371431,ESR1,Others,Tumour tissues,tumour
SRX371432,ESR1,Others,Tumour tissues,tumour
SRX371433,ESR1,Others,Tumour tissues,tumour
SRX371434,ESR1,Others,Tumour tissues,tumour
SRX371435,ESR1,Others,Tumour tissues,tumour
SRX371436,ESR1,Others,Tumour tissues,tumour
SRX371437,ESR1,Others,Tumour tissues,tumour
SRX371438,ESR1,Others,Tumour tissues,tumour
SRX371439,ESR1,Others,Tumour tissues,tumour
SRX371440,ESR1,Others,Tumour tissues,tumour
SRX371441,ESR1,Others,Tumour tissues,tumour
SRX371442,ESR1,Others,Tumour tissues,tumour
SRX371443,ESR1,Others,Tumour tissues,tumour
SRX371444,ESR1,Others,Tumour tissues,tumour
SRX371445,ESR1,Others,Tumour tissues,tumour
SRX371446,ESR1,Others,Tumour tissues,tumour
SRX371447,ESR1,Others,Tumour tissues,tumour
SRX371448,ESR1,Others,Tumour tissues,tumour
SRX371449,ESR1,Others,Tumour tissues,tumour
ERX2260037,BCL11A,Lung,Lung cancer,cancer
ERX2260038,SOX2,Lung,Lung cancer,cancer
ERX2260039,BCL11A,Lung,Lung cancer,cancer
ERX2260040,SOX2,Lung,Lung cancer,cancer
ERX2260043,BCL11A,Lung,Lung cancer,cancer
ERX2260044,SOX2,Lung,Lung cancer,cancer
ERX2260045,BCL11A,Lung,Lung cancer,cancer
ERX2260046,SOX2,Lung,Lung cancer,cancer
SRX022577,AR,Prostate,Prostate cancer cells,cancer
SRX022578,ERG,Prostate,Prostate cancer cells,cancer
SRX10142202,CTCF,Breast,Breast cancer cell line,cancer
SRX10142203,CTCF,Breast,Breast cancer cell line,cancer
SRX10142204,CTCF,Breast,Breast cancer cells,cancer
SRX10142205,CTCF,Breast,Breast cancer cells,cancer
SRX10468615,ESR1,Breast,Breast cancer cells,cancer
SRX10468616,ESR1,Breast,Breast cancer cells,cancer
SRX10468617,ESR1,Breast,Breast cancer cells,cancer
SRX10468618,ESR1,Breast,Breast cancer cells,cancer
SRX10468619,ESR1,Breast,Breast cancer cells,cancer
SRX10468620,ESR1,Breast,Breast cancer cells,cancer
SRX10468621,ESR1,Breast,Breast cancer cells,cancer
SRX10468622,ESR1,Breast,Breast cancer cells,cancer
SRX10468633,FOXA1,Breast,Breast cancer cells,cancer
SRX10468634,FOXA1,Breast,Breast cancer cells,cancer
SRX10468635,FOXA1,Breast,Breast cancer cells,cancer
SRX10468636,FOXA1,Breast,Breast cancer cells,cancer
SRX1067063,FOXA1,Prostate,Prostate cancer cells,cancer
SRX1067064,HOXB13,Prostate,Prostate cancer cells,cancer
SRX11150129,GATA3,Breast,Breast cancer cells,cancer
SRX11150130,GATA3,Breast,Breast cancer cells,cancer
SRX11150132,GATA3,Breast,Breast cancer cells,cancer
SRX11150133,GATA3,Breast,Breast cancer cells,cancer
SRX11758129,CBX5,Digestive tract,Colon cancer cell line,cancer
SRX11758131,CTCF,Digestive tract,Colon cancer cell line,cancer
SRX11758132,CTCF,Digestive tract,Colon cancer cell line,cancer
SRX11758133,SMC3,Digestive tract,Colon cancer cell line,cancer
SRX11758134,SMC3,Digestive tract,Colon cancer cell line,cancer
SRX11758135,RAD21,Digestive tract,Colon cancer cell line,cancer
SRX11758136,RAD21,Digestive tract,Colon cancer cell line,cancer
SRX12008006,NKX2-1,Lung,Small cell lung cancer,cancer
SRX12008007,NKX2-1,Lung,Small cell lung cancer,cancer
SRX12008008,NKX2-1,Lung,Small cell lung cancer,cancer
SRX12008009,NKX2-1,Lung,Small cell lung cancer,cancer
SRX12008010,NKX2-1,Lung,Small cell lung cancer,cancer
SRX12008011,NKX2-1,Lung,Small cell lung cancer,cancer
SRX12008016,NKX2-1,Lung,Small cell lung cancer,cancer
SRX12008017,NKX2-1,Lung,Small cell lung cancer,cancer
SRX12008018,NKX2-1,Lung,Small cell lung cancer,cancer
SRX12008019,NKX2-1,Lung,Small cell lung cancer,cancer
SRX12008020,NKX2-1,Lung,Small cell lung cancer,cancer
SRX12008021,SOX1,Lung,Small cell lung cancer,cancer
SRX12008022,SOX1,Lung,Small cell lung cancer,cancer
SRX12008023,SOX1,Lung,Small cell lung cancer,cancer
SRX12008024,SOX1,Lung,Small cell lung cancer,cancer
SRX12694140,IRF1,Lung,Non-small cell lung cancer,cancer
SRX12694142,IRF1,Lung,Non-small cell lung cancer,cancer
SRX13255928,Epitope tags,Breast,Breast cancer cells,cancer
